Type,LocalAirport,ForeignAirport,Airline,PlannedDate,ActualDate,Delay
ARRIVAL,BASEL,PARIS CHARLES DE GAULLE,FEDEX,2024-11-07 05:29:00,2024-11-07 05:27:00,-2
ARRIVAL,BASEL,LIEGE,FEDEX,2024-11-07 05:11:00,2024-11-07 05:07:00,-4
ARRIVAL,BASEL,BRUSSELS,EUROPEAN AIR TRANSPORT / DHL,2024-11-07 05:14:00,2024-11-07 05:11:00,-3
ARRIVAL,BASEL,COLOGNE BONN,SPRINTAIR,2024-11-07 05:18:00,2024-11-07 05:16:00,-2
ARRIVAL,BASEL,COLOGNE BONN,SPRINTAIR,2024-11-07 05:54:00,2024-11-07 05:51:00,-3
ARRIVAL,BASEL,LEIPZIG,EUROPEAN AIR TRANSPORT / DHL,2024-11-07 05:26:00,2024-11-07 05:22:00,-4
ARRIVAL,BASEL,COLOGNE BONN,EUROPEAN AIR TRANSPORT / DHL,2024-11-07 05:49:00,2024-11-07 05:45:00,-4
ARRIVAL,BASEL,BELGRADE,WIZZ AIR,2024-11-07 07:53:00,2024-11-07 07:49:00,-4
ARRIVAL,BASEL,NAPLES,EASYJET,2024-11-07 08:36:00,2024-11-07 08:31:00,-5
ARRIVAL,BASEL,MUNICH,LUFTHANSA,2024-11-07 09:01:00,2024-11-07 08:56:00,-5
ARRIVAL,BASEL,SKOPJE,WIZZ AIR,2024-11-07 08:42:00,2024-11-07 08:38:00,-4
ARRIVAL,BASEL,BARCELONA,EASYJET,2024-11-07 08:54:00,2024-11-07 08:52:00,-2
ARRIVAL,BASEL,VIENNA,AUSTRIAN AIRLINES,2024-11-07 09:26:00,2024-11-07 09:23:00,-3
ARRIVAL,BASEL,PARIS CHARLES DE GAULLE,AIR FRANCE,2024-11-07 09:41:00,2024-11-07 09:42:00,1
ARRIVAL,BASEL,BERLIN,EASYJET,2024-11-07 09:48:00,2024-11-07 09:48:00,0
ARRIVAL,BASEL,OLBIA,EASYJET,2024-11-07 10:03:00,2024-11-07 10:00:00,-3
ARRIVAL,BASEL,NICE,EASYJET,2024-11-07 09:49:00,2024-11-07 09:55:00,6
ARRIVAL,BASEL,ISTANBUL,TURKISH AIRLINES,2024-11-07 09:43:00,2024-11-07 09:38:00,-5
ARRIVAL,BASEL,CONSTANTINE,AIR ALG̩RIE,2024-11-07 11:04:00,2024-11-07 11:02:00,-2
ARRIVAL,BASEL,AMSTERDAM,EASYJET,2024-11-07 10:09:00,2024-11-07 10:05:00,-4
ARRIVAL,BASEL,LONDON HEATHROW,BRITISH AIRWAYS,2024-11-07 10:14:00,2024-11-07 10:11:00,-3
ARRIVAL,BASEL,LONDON LUTON,EASYJET,2024-11-07 10:31:00,2024-11-07 10:27:00,-4
ARRIVAL,BASEL,FRANKFURT,LUFTHANSA,2024-11-07 10:37:00,2024-11-07 10:34:00,-3
ARRIVAL,BASEL,AMSTERDAM,KLM,2024-11-07 11:39:00,2024-11-07 11:37:00,-2
ARRIVAL,BASEL,LONDON GATWICK,EASYJET,2024-11-07 10:44:00,2024-11-07 10:41:00,-3
ARRIVAL,BASEL,PALMA,EASYJET,2024-11-07 10:23:00,2024-11-07 10:21:00,-2
ARRIVAL,BASEL,LISBON,EASYJET,2024-11-07 10:59:00,2024-11-07 10:55:00,-4
ARRIVAL,BASEL,ISTANBUL SABIHA G̦KCEN,AJET,2024-11-07 10:51:00,2024-11-07 10:47:00,-4
ARRIVAL,BASEL,ISTANBUL SABIHA G̦KCEN,PEGASUS AIRLINES,2024-11-07 11:46:00,2024-11-07 11:43:00,-3
ARRIVAL,BASEL,BUDAPEST,EASYJET,2024-11-07 11:21:00,2024-11-07 11:18:00,-3
ARRIVAL,BASEL,HANOVER,NETJETS,2024-11-07 12:06:00,2024-11-07 12:01:00,-5
ARRIVAL,BASEL,PRISTINA,EASYJET,2024-11-07 12:08:00,2024-11-07 12:05:00,-3
ARRIVAL,BASEL,PORTO,EASYJET,2024-11-07 12:51:00,2024-11-07 12:46:00,-5
ARRIVAL,BASEL,ANTALYA,SUNEXPRESS,2024-11-07 12:36:00,2024-11-07 12:33:00,-3
ARRIVAL,BASEL,FRANKFURT,LUFTHANSA,2024-11-07 13:16:00,2024-11-07 13:13:00,-3
ARRIVAL,BASEL,MADRID,EASYJET,2024-11-07 13:54:00,2024-11-07 13:54:00,0
ARRIVAL,BASEL,BORDEAUX,EASYJET,2024-11-07 14:14:00,2024-11-07 14:10:00,-4
ARRIVAL,BASEL,VENICE,NETJETS,2024-11-07 13:52:00,2024-11-07 13:47:00,-5
ARRIVAL,BASEL,PARIS CHARLES DE GAULLE,AIR FRANCE,2024-11-07 14:26:00,2024-11-07 14:23:00,-3
ARRIVAL,BASEL,ROME,EASYJET,2024-11-07 14:44:00,2024-11-07 14:39:00,-5
ARRIVAL,BASEL,BELGRADE,SWIFTAIR,2024-11-07 15:31:00,2024-11-07 15:26:00,-5
ARRIVAL,BASEL,LONDON HEATHROW,BRITISH AIRWAYS,2024-11-07 14:54:00,2024-11-07 14:51:00,-3
ARRIVAL,BASEL,WARSAW,WIZZ AIR,2024-11-07 14:48:00,2024-11-07 14:43:00,-5
