Date,Type,LocalAirport,ForeignAirport,Airline,Status,Planned,Expected
2024-10-26,arrival,Zurich,Geneva,swiss,Landed,21:00,21:07
2024-10-26,arrival,Zurich,Menorca,edelweiss,Landed,21:00,20:51
2024-10-26,arrival,Zurich,Izmir,sun,Landed,21:05,20:59
2024-10-26,arrival,Zurich,London LGW,easyjet,Landed,21:10,21:08
2024-10-26,arrival,Zurich,Berlin,swiss,Landed,21:15,21:19
2024-10-26,arrival,Zurich,Vienna,swiss,Landed,21:15,21:23
2024-10-26,arrival,Zurich,Reykjavík,edelweiss,Landed,21:15,21:32
2024-10-26,arrival,Zurich,Paris CDG,swiss,Landed,21:20,21:27
2024-10-26,arrival,Zurich,Brussels,swiss,Landed,21:20,21:31
2024-10-26,arrival,Zurich,Ibiza,edelweiss,Landed,21:25,21:54
2024-10-26,arrival,Zurich,London LGW,swiss,Landed,21:25,21:12
2024-10-26,arrival,Zurich,Kalamata,edelweiss,Landed,21:25,21:19
2024-10-26,arrival,Zurich,Geneva,swiss,Landed,21:30,21:40
2024-10-26,arrival,Zurich,Amsterdam,swiss,Landed,21:30,22:04
2024-10-26,arrival,Zurich,Palma De Mallorca,edelweiss,Landed,21:35,22:17
2024-10-26,arrival,Zurich,London LHR,swiss,Landed,21:35,21:23
2024-10-26,arrival,Zurich,Copenhagen,swiss,Landed,21:35,21:37
2024-10-26,arrival,Zurich,Budapest,swiss,Landed,21:35,22:05
2024-10-26,arrival,Zurich,Palma De Mallorca,swiss,Landed,21:40,22:08
2024-10-26,arrival,Zurich,Palermo,swiss,Landed,21:40,21:48
2024-10-26,arrival,Zurich,Rome FCO,swiss,Landed,21:45,22:08
2024-10-26,arrival,Zurich,Manchester,swiss,Landed,21:45,21:46
2024-10-26,arrival,Zurich,Geneva,swiss,Cancelled,21:45,
2024-10-26,arrival,Zurich,Belgrade,swiss,Landed,21:45,22:27
2024-10-26,arrival,Zurich,Naples,swiss,Landed,21:50,21:43
2024-10-26,arrival,Zurich,Barcelona,swiss,Landed,21:50,22:30
2024-10-26,arrival,Zurich,Dublin,swiss,Landed,21:50,21:59
2024-10-26,arrival,Zurich,Frankfurt FRA,swiss,Landed,21:55,22:39
2024-10-26,arrival,Zurich,Munich,swiss,Landed,21:55,22:00
2024-10-26,arrival,Zurich,Olbia,edelweiss,Landed,21:55,21:51
2024-10-26,arrival,Zurich,Madrid,swiss,Landed,22:00,21:57
2024-10-26,arrival,Zurich,Skopje,chair,Landed,22:05,22:15
2024-10-26,arrival,Zurich,Thessaloniki,swiss,Landed,22:15,22:30
2024-10-26,arrival,Zurich,Madrid,iberia,Landed,22:20,22:11
2024-10-26,arrival,Zurich,Istanbul IST,turkish,Landed,22:20,21:49
2024-10-26,arrival,Zurich,Milas–Bodrum,edelweiss,Landed,22:25,22:23
2024-10-26,arrival,Zurich,Rhodes,edelweiss,Landed,22:25,22:45
2024-10-26,arrival,Zurich,Brindisi,swiss,Landed,22:25,22:42
2024-10-26,arrival,Zurich,Amsterdam,klm,Landed,22:25,22:37
