Date,Type,LocalAirport,ForeignAirport,Airline,Status,Planned,Expected
2024-10-26,arrival,Zurich,Dubai DXB,swiss,To details page,06:10,06:11
2024-10-26,arrival,Zurich,Montreal,swiss,To details page,06:10,06:19
2024-10-26,arrival,Zurich,New York,swiss,To details page,06:10,05:44
2024-10-26,arrival,Zurich,Singapore,swiss,To details page,06:15,06:34
2024-10-26,arrival,Zurich,Mumbai,swiss,To details page,06:15,06:31
2024-10-26,arrival,Zurich,Johannesburg,swiss,To details page,06:15,06:24
2024-10-26,arrival,Zurich,Hong Kong,swiss,To details page,06:15,06:11
2024-10-26,arrival,Zurich,Delhi,swiss,To details page,06:20,06:41
2024-10-26,arrival,Zurich,Boston,swiss,To details page,06:20,06:29
2024-10-26,arrival,Zurich,Toronto,swiss,To details page,06:25,06:23
2024-10-26,arrival,Zurich,Cairo,swiss,To details page,06:30,
2024-10-26,arrival,Zurich,Antalya,edelweiss,To details page,06:30,
2024-10-26,arrival,Zurich,Muscat,edelweiss,To details page,06:35,06:54
2024-10-26,arrival,Zurich,Geneva,swiss,To details page,06:45,
2024-10-26,arrival,Zurich,Heraklion,edelweiss,To details page,06:55,
2024-10-26,arrival,Zurich,Milan MXP,swiss,To details page,06:55,
2024-10-26,arrival,Zurich,Dubai DXB,swiss,To details page,06:10,06:11
2024-10-26,arrival,Zurich,Montreal,swiss,To details page,06:10,06:19
2024-10-26,arrival,Zurich,New York,swiss,To details page,06:10,05:44
2024-10-26,arrival,Zurich,Singapore,swiss,To details page,06:15,06:34
2024-10-26,arrival,Zurich,Mumbai,swiss,To details page,06:15,06:31
2024-10-26,arrival,Zurich,Johannesburg,swiss,To details page,06:15,06:24
2024-10-26,arrival,Zurich,Hong Kong,swiss,To details page,06:15,06:11
2024-10-26,arrival,Zurich,Delhi,swiss,To details page,06:20,06:41
2024-10-26,arrival,Zurich,Boston,swiss,To details page,06:20,06:29
2024-10-26,arrival,Zurich,Toronto,swiss,To details page,06:25,06:23
2024-10-26,arrival,Zurich,Cairo,swiss,To details page,06:30,
2024-10-26,arrival,Zurich,Antalya,edelweiss,To details page,06:30,
2024-10-26,arrival,Zurich,Muscat,edelweiss,To details page,06:35,06:54
2024-10-26,arrival,Zurich,Geneva,swiss,To details page,06:45,
2024-10-26,arrival,Zurich,Heraklion,edelweiss,To details page,06:55,
2024-10-26,arrival,Zurich,Milan MXP,swiss,To details page,06:55,
2024-10-26,arrival,Zurich,Dubai DXB,swiss,To details page,06:10,06:11
2024-10-26,arrival,Zurich,Montreal,swiss,To details page,06:10,06:19
2024-10-26,arrival,Zurich,New York,swiss,To details page,06:10,05:44
2024-10-26,arrival,Zurich,Singapore,swiss,To details page,06:15,06:34
2024-10-26,arrival,Zurich,Mumbai,swiss,To details page,06:15,06:31
2024-10-26,arrival,Zurich,Johannesburg,swiss,To details page,06:15,06:24
2024-10-26,arrival,Zurich,Hong Kong,swiss,To details page,06:15,06:11
2024-10-26,arrival,Zurich,Delhi,swiss,To details page,06:20,06:41
2024-10-26,arrival,Zurich,Boston,swiss,To details page,06:20,06:29
2024-10-26,arrival,Zurich,Toronto,swiss,To details page,06:25,06:23
2024-10-26,arrival,Zurich,Cairo,swiss,To details page,06:30,
2024-10-26,arrival,Zurich,Antalya,edelweiss,To details page,06:30,
2024-10-26,arrival,Zurich,Muscat,edelweiss,To details page,06:35,06:54
2024-10-26,arrival,Zurich,Geneva,swiss,To details page,06:45,
2024-10-26,arrival,Zurich,Heraklion,edelweiss,To details page,06:55,
2024-10-26,arrival,Zurich,Milan MXP,swiss,To details page,06:55,
2024-10-26,arrival,Zurich,Dubai DXB,swiss,To details page,06:10,06:11
2024-10-26,arrival,Zurich,Montreal,swiss,To details page,06:10,06:19
2024-10-26,arrival,Zurich,New York,swiss,To details page,06:10,05:44
2024-10-26,arrival,Zurich,Singapore,swiss,To details page,06:15,06:34
2024-10-26,arrival,Zurich,Mumbai,swiss,To details page,06:15,06:31
2024-10-26,arrival,Zurich,Johannesburg,swiss,To details page,06:15,06:24
2024-10-26,arrival,Zurich,Hong Kong,swiss,To details page,06:15,06:11
2024-10-26,arrival,Zurich,Delhi,swiss,To details page,06:20,06:41
2024-10-26,arrival,Zurich,Boston,swiss,To details page,06:20,06:29
2024-10-26,arrival,Zurich,Toronto,swiss,To details page,06:25,06:23
2024-10-26,arrival,Zurich,Cairo,swiss,To details page,06:30,
2024-10-26,arrival,Zurich,Antalya,edelweiss,To details page,06:30,
2024-10-26,arrival,Zurich,Muscat,edelweiss,To details page,06:35,06:54
