Date,Type,LocalAirport,ForeignAirport,Airline,Status,Planned,Expected
2024-11-06,arrival,Zurich,Berlin,swiss,Landed,21:05,20:59
2024-11-06,arrival,Zurich,Geneva,swiss,Landed,21:05,20:50
2024-11-06,arrival,Zurich,Venice,swiss,Landed,21:10,21:04
2024-11-06,arrival,Zurich,Paris CDG,swiss,Landed,21:10,20:57
2024-11-06,arrival,Zurich,Luxembourg,swiss,Landed,21:10,20:58
2024-11-06,arrival,Zurich,Bremen,swiss,Landed,21:15,20:49
2024-11-06,arrival,Zurich,Dresden,swiss,Landed,21:15,20:54
2024-11-06,arrival,Zurich,Prague,swiss,Landed,21:20,21:00
2024-11-06,arrival,Zurich,Brussels,swiss,Landed,21:20,21:12
2024-11-06,arrival,Zurich,Nice,swiss,Landed,21:20,21:01
2024-11-06,arrival,Zurich,London LGW,swiss,Landed,21:25,21:09
2024-11-06,arrival,Zurich,Düsseldorf,swiss,Landed,21:25,21:20
2024-11-06,arrival,Zurich,Hanover,swiss,Landed,21:25,21:16
2024-11-06,arrival,Zurich,London LHR,swiss,Landed,21:30,21:15
2024-11-06,arrival,Zurich,Wroclaw,swiss,Landed,21:30,21:13
2024-11-06,arrival,Zurich,Amsterdam,swiss,Landed,21:30,21:10
2024-11-06,arrival,Zurich,Rome FCO,swiss,Landed,21:35,21:26
2024-11-06,arrival,Zurich,Vienna,swiss,Landed,21:35,21:23
2024-11-06,arrival,Zurich,Hamburg,swiss,Landed,21:35,21:33
2024-11-06,arrival,Zurich,Cairo,swiss,Landed,21:40,21:39
2024-11-06,arrival,Zurich,Budapest,swiss,Landed,21:40,21:42
2024-11-06,arrival,Zurich,Manchester,swiss,Landed,21:45,21:43
2024-11-06,arrival,Zurich,Munich,swiss,Landed,21:45,21:55
2024-11-06,arrival,Zurich,Copenhagen,swiss,Landed,21:45,21:30
2024-11-06,arrival,Zurich,Barcelona,swiss,Landed,21:50,21:53
2024-11-06,arrival,Zurich,Warsaw,swiss,Landed,21:50,
2024-11-06,arrival,Zurich,Dublin,swiss,Landed,21:50,21:47
2024-11-06,arrival,Zurich,Frankfurt,swiss,Landed,21:50,21:39
2024-11-06,arrival,Zurich,Valencia,swiss,Landed,21:55,21:33
2024-11-06,arrival,Zurich,Madrid,swiss,Landed,21:55,22:30
2024-11-06,arrival,Zurich,London LHR,british,Landed,22:00,21:36
2024-11-06,arrival,Zurich,London LCY,swiss,Cancelled,22:00,
2024-11-06,arrival,Zurich,Larnaca,edelweiss,Landed,22:00,22:17
2024-11-06,arrival,Zurich,Berlin,swiss,Landed,22:10,21:54
2024-11-06,arrival,Zurich,Skopje,chair,Landed,22:15,22:09
2024-11-06,arrival,Zurich,Madrid,iberia,Landed,22:20,22:44
2024-11-06,arrival,Zurich,Istanbul IST,turkish,Landed,22:20,21:59
2024-11-06,arrival,Zurich,Paris CDG,airfrance,Landed,22:30,22:24
2024-11-06,arrival,Zurich,Amsterdam,klm,Landed,22:30,22:43
2024-11-06,arrival,Zurich,Lisbon,tap,Landed,22:35,22:27
2024-11-06,arrival,Zurich,Pristina,chair,Landed,22:35,22:08
2024-11-06,arrival,Zurich,London LHR,swiss,Landed,22:45,23:11
2024-11-06,arrival,Zurich,Skopje,edelweiss,Landed,22:55,22:36
2024-11-06,arrival,Zurich,Pristina,edelweiss,Landed,22:55,22:38
2024-11-06,arrival,Zurich,Shanghai,swiss,Landed,19:00,18:53
2024-11-06,arrival,Zurich,Marrakeshvia Agadir,edelweiss,Landed,19:05,19:16
2024-11-06,arrival,Zurich,Warsaw,lot,Landed,19:05,19:06
2024-11-06,arrival,Zurich,Muscat,oman,Landed,19:05,18:48
2024-11-06,arrival,Zurich,Tromsø,edelweiss,Landed,19:10,18:56
2024-11-06,arrival,Zurich,Frankfurt,lufthansa_neu,Landed,19:10,19:04
2024-11-06,arrival,Zurich,Malaga,swiss,Landed,19:10,19:11
2024-11-06,arrival,Zurich,Lisbon,swiss,Landed,19:15,20:00
2024-11-06,arrival,Zurich,Gran Canaria,edelweiss,Landed,19:15,19:10
2024-11-06,arrival,Zurich,Tenerife,edelweiss,Landed,19:15,
2024-11-06,arrival,Zurich,Zagreb,croatia_v2,Landed,19:15,
2024-11-06,arrival,Zurich,Pristina,gp-aviation,Landed,19:20,19:34
2024-11-06,arrival,Zurich,Bangkok,swiss,Landed,19:25,19:20
2024-11-06,arrival,Zurich,Hamburg,euro,Landed,19:30,19:27
2024-11-06,arrival,Zurich,Berlin,euro,Landed,19:30,19:21
2024-11-06,arrival,Zurich,Cologne Bonn,euro,Landed,19:30,19:28
2024-11-06,arrival,Zurich,Munich,lufthansa_neu,Landed,19:35,19:25
2024-11-06,arrival,Zurich,Athens,swiss,Landed,19:35,19:25
2024-11-06,arrival,Zurich,London LGW,easyjet,Landed,19:35,
2024-11-06,arrival,Zurich,Copenhagen,sas,Landed,19:45,19:43
2024-11-06,arrival,Zurich,Düsseldorf,swiss,Landed,19:45,19:31
2024-11-06,arrival,Zurich,Brussels,swiss,Landed,19:50,19:43
2024-11-06,arrival,Zurich,Dubai DXB,emirates-neu,Landed,19:50,19:32
2024-11-06,arrival,Zurich,Vienna,austrian,Landed,19:50,20:18
2024-11-06,arrival,Zurich,Hurghada,edelweiss,Landed,19:55,19:46
2024-11-06,arrival,Zurich,Belgrade,serbia,Landed,19:55,19:42
2024-11-06,arrival,Zurich,London LHR,swiss,Landed,20:00,19:53
2024-11-06,arrival,Zurich,Milan MXP,swiss,Landed,20:00,20:08
2024-11-06,arrival,Zurich,Barcelona,vueling,Landed,20:05,20:00
2024-11-06,arrival,Zurich,Berlin,swiss,Landed,20:05,
2024-11-06,arrival,Zurich,Stuttgart,swiss,Landed,20:05,19:57
2024-11-06,arrival,Zurich,Hamburg,swiss,Landed,20:10,20:04
2024-11-06,arrival,Zurich,Graz,swiss,Landed,20:10,20:05
2024-11-06,arrival,Zurich,Düsseldorf,euro,Landed,20:10,20:01
2024-11-06,arrival,Zurich,Geneva,swiss,Landed,20:10,20:19
2024-11-06,arrival,Zurich,Palma De Mallorca,swiss,Landed,20:15,20:11
2024-11-06,arrival,Zurich,Florence,swiss,Landed,20:15,20:11
2024-11-06,arrival,Zurich,London LCY,swiss,Cancelled,20:20,
2024-11-06,arrival,Zurich,Amsterdam,swiss,Landed,20:25,20:12
2024-11-06,arrival,Zurich,Berlin,easyjet,Landed,20:35,20:34
2024-11-06,arrival,Zurich,Manchester,easyjet,Landed,20:50,21:04
2024-11-06,arrival,Zurich,Heraklion,edelweiss,Landed,17:00,16:36
2024-11-06,arrival,Zurich,Lisbon,tap,Landed,17:10,19:13
2024-11-06,arrival,Zurich,Istanbul IST,turkish,Landed,17:10,16:58
2024-11-06,arrival,Zurich,Berlin,swiss,Landed,17:15,17:04
2024-11-06,arrival,Zurich,Madrid,europa,Landed,17:15,17:12
2024-11-06,arrival,Zurich,Frankfurt,lufthansa_neu,Landed,17:15,17:13
2024-11-06,arrival,Zurich,Stockholm ARN,swiss,Landed,17:50,17:58
2024-11-06,arrival,Zurich,Paris CDG,airfrance,Landed,17:55,17:49
2024-11-06,arrival,Zurich,Mauritius,edelweiss,Landed,18:10,18:11
2024-11-06,arrival,Zurich,London LHR,british,Landed,18:15,18:24
2024-11-06,arrival,Zurich,Delhi,air_india_logo,Landed,18:15,17:55
2024-11-06,arrival,Zurich,Bucharest OTP,swiss,Landed,18:15,17:58
2024-11-06,arrival,Zurich,Helsinki,finnair,Landed,18:20,18:05
2024-11-06,arrival,Zurich,Amsterdam,klm,Landed,18:25,18:27
2024-11-06,arrival,Zurich,Riga,baltic,Landed,18:35,18:33
2024-11-06,arrival,Zurich,London LCY,british,Cancelled,18:35,
2024-11-06,arrival,Zurich,Vienna,austrian,Landed,18:40,18:22
2024-11-06,arrival,Zurich,Madrid,iberia,Landed,18:55,18:36
2024-11-06,arrival,Zurich,Düsseldorf,euro,Landed,15:10,15:09
2024-11-06,arrival,Zurich,Los Angeles,swiss,Landed,15:15,15:03
2024-11-06,arrival,Zurich,Alicante,swiss,Landed,15:25,
2024-11-06,arrival,Zurich,Valencia,swiss,Landed,15:25,15:18
