Date,Type,LocalAirport,ForeignAirport,Airline,Status,Planned,Expected
2024-10-23,arrival,Zurich,Graz,swiss,Landed,21:00,20:49
2024-10-23,arrival,Zurich,Amsterdam,swiss,Landed,21:00,21:01
2024-10-23,arrival,Zurich,Geneva,swiss,Landed,21:00,20:58
2024-10-23,arrival,Zurich,Hanover,swiss,Landed,21:00,20:58
2024-10-23,arrival,Zurich,Copenhagen,swiss,Landed,21:05,20:52
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,21:15,21:14
2024-10-23,arrival,Zurich,Düsseldorf,swiss,Landed,21:20,21:25
2024-10-23,arrival,Zurich,Dresden,swiss,Landed,21:20,21:23
2024-10-23,arrival,Zurich,Brussels,swiss,Landed,21:20,21:19
2024-10-23,arrival,Zurich,London LGW,swiss,Landed,21:25,21:18
2024-10-23,arrival,Zurich,Vienna,swiss,Landed,21:30,21:33
2024-10-23,arrival,Zurich,Amsterdam,swiss,Landed,21:30,22:01
2024-10-23,arrival,Zurich,Paris CDG,swiss,Landed,21:30,21:24
2024-10-23,arrival,Zurich,Budapest,swiss,Landed,21:35,21:55
2024-10-23,arrival,Zurich,Naples,swiss,Landed,21:35,21:10
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,21:35,21:44
2024-10-23,arrival,Zurich,Bremen,swiss,Landed,21:40,21:39
2024-10-23,arrival,Zurich,Hamburg,swiss,Landed,21:40,21:33
2024-10-23,arrival,Zurich,Rome FCO,swiss,Landed,21:45,21:29
2024-10-23,arrival,Zurich,Copenhagen,swiss,Landed,21:45,21:26
2024-10-23,arrival,Zurich,Birmingham,swiss,Landed,21:45,21:58
2024-10-23,arrival,Zurich,Manchester,swiss,Landed,21:45,21:35
2024-10-23,arrival,Zurich,Warsaw,swiss,Landed,21:50,21:47
2024-10-23,arrival,Zurich,Barcelona,swiss,Landed,21:50,21:44
2024-10-23,arrival,Zurich,Belgrade,swiss,Landed,21:55,22:08
2024-10-23,arrival,Zurich,Munich,swiss,Landed,21:55,21:59
2024-10-23,arrival,Zurich,Dublin,swiss,Landed,21:55,22:04
2024-10-23,arrival,Zurich,Frankfurt FRA,swiss,Landed,21:55,22:14
2024-10-23,arrival,Zurich,Wroclaw,swiss,Landed,22:00,21:53
2024-10-23,arrival,Zurich,Ibiza,edelweiss,Landed,22:00,21:41
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,22:00,22:04
2024-10-23,arrival,Zurich,Madrid,swiss,Landed,22:00,22:10
2024-10-23,arrival,Zurich,Skopje,chair,Landed,22:05,21:50
2024-10-23,arrival,Zurich,Madrid,iberia,Landed,22:20,22:28
2024-10-23,arrival,Zurich,Istanbul IST,turkish,Landed,22:20,22:23
2024-10-23,arrival,Zurich,Brindisi,swiss,Landed,22:25,22:17
2024-10-23,arrival,Zurich,Amsterdam,klm,Landed,22:25,22:18
2024-10-23,arrival,Zurich,Pristina,chair,Landed,22:25,22:20
2024-10-23,arrival,Zurich,Paris CDG,airfrance,Landed,22:30,22:26
2024-10-23,arrival,Zurich,London LHR,british,Landed,22:30,23:07
2024-10-23,arrival,Zurich,Hurghada,edelweiss,Landed,22:35,
2024-10-23,arrival,Zurich,Catania,edelweiss,Landed,22:40,22:39
2024-10-23,arrival,Zurich,Kos,edelweiss,Landed,22:40,
2024-10-23,arrival,Zurich,Skopje,edelweiss,Landed,22:45,22:30
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,22:45,23:18
2024-10-23,arrival,Zurich,Heraklion,chair,Landed,22:50,22:32
2024-10-23,arrival,Zurich,Gran Canaria,edelweiss,Landed,22:50,23:21
2024-10-23,arrival,Zurich,Antalya,edelweiss,Landed,22:50,22:43
2024-10-23,arrival,Zurich,Pristina,edelweiss,Landed,22:55,22:47
2024-10-23,arrival,Zurich,Marrakeshvia Agadir,edelweiss,Landed,22:55,23:12
2024-10-23,arrival,Zurich,Larnaca,edelweiss,Landed,22:55,23:03
2024-10-23,arrival,Zurich,Warsaw,lot,Landed,19:05,19:23
2024-10-23,arrival,Zurich,Delhi,air_india_logo,Landed,19:15,18:56
2024-10-23,arrival,Zurich,Zagreb,croatia_v2,Landed,19:20,19:39
2024-10-23,arrival,Zurich,Pristina,gp-aviation,Landed,19:20,19:36
2024-10-23,arrival,Zurich,Lisbon,swiss,Landed,19:30,19:45
2024-10-23,arrival,Zurich,Edinburgh,edelweiss,Landed,19:30,19:40
2024-10-23,arrival,Zurich,Berlin,euro,Landed,19:35,19:25
2024-10-23,arrival,Zurich,Munich,lufthansa_neu,Landed,19:35,19:51
2024-10-23,arrival,Zurich,Bangkok,swiss,Landed,19:35,19:49
2024-10-23,arrival,Zurich,Malaga,swiss,Landed,19:40,20:14
2024-10-23,arrival,Zurich,Geneva,swiss,Landed,19:40,19:43
2024-10-23,arrival,Zurich,Cologne Bonn,euro,Landed,19:40,20:22
2024-10-23,arrival,Zurich,Copenhagen,sas,Landed,19:45,19:30
2024-10-23,arrival,Zurich,Hamburg,euro,Landed,19:50,20:43
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,19:55,20:33
2024-10-23,arrival,Zurich,Belgrade,serbia,Landed,20:00,19:54
2024-10-23,arrival,Zurich,Vienna,austrian,Landed,20:00,20:02
2024-10-23,arrival,Zurich,Düsseldorf,swiss,Landed,20:05,20:12
2024-10-23,arrival,Zurich,Milan MXP,swiss,Landed,20:05,20:17
2024-10-23,arrival,Zurich,Luxembourg,swiss,Landed,20:05,20:22
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,20:10,20:30
2024-10-23,arrival,Zurich,Berlin,easyjet,Landed,20:15,20:47
2024-10-23,arrival,Zurich,Stuttgart,swiss,Landed,20:15,20:23
2024-10-23,arrival,Zurich,Palma De Mallorca,swiss,Landed,20:15,20:19
2024-10-23,arrival,Zurich,Dubai,emirates-neu,Landed,20:20,20:01
2024-10-23,arrival,Zurich,Florence,swiss,Landed,20:20,20:21
2024-10-23,arrival,Zurich,Brussels,swiss,Landed,20:25,20:51
2024-10-23,arrival,Zurich,Nice,swiss,Landed,20:25,20:27
2024-10-23,arrival,Zurich,Barcelona,swiss,Landed,20:25,20:13
2024-10-23,arrival,Zurich,Prague,swiss,Landed,20:30,20:54
2024-10-23,arrival,Zurich,Hamburg,swiss,Landed,20:30,20:44
2024-10-23,arrival,Zurich,Venice,swiss,Landed,20:30,20:33
2024-10-23,arrival,Zurich,London LCY,swiss,Landed,20:35,20:49
2024-10-23,arrival,Zurich,London LGW,easyjet,Landed,20:50,20:57
2024-10-23,arrival,Zurich,Alicante,easyjet,Landed,20:55,
2024-10-23,arrival,Zurich,Valencia,swiss,Landed,17:05,17:35
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,17:10,17:20
2024-10-23,arrival,Zurich,Madrid,europa,Landed,17:10,17:02
2024-10-23,arrival,Zurich,Lisbon,tap,Landed,17:15,17:10
2024-10-23,arrival,Zurich,Sharm El Sheikh,edelweiss,Landed,17:15,17:37
2024-10-23,arrival,Zurich,Barcelona,vueling,Landed,17:20,17:16
2024-10-23,arrival,Zurich,Brindisi,swiss,Landed,17:20,18:11
2024-10-23,arrival,Zurich,Frankfurt FRA,lufthansa_neu,Landed,17:25,17:38
2024-10-23,arrival,Zurich,Istanbul IST,turkish,Landed,17:35,17:21
2024-10-23,arrival,Zurich,Bucharest,swiss,Landed,17:35,17:51
2024-10-23,arrival,Zurich,Antalya,sun,Landed,17:35,17:52
2024-10-23,arrival,Zurich,Heraklion,aegan,Landed,17:55,17:39
2024-10-23,arrival,Zurich,Vienna,austrian,Landed,18:00,18:01
2024-10-23,arrival,Zurich,Paris CDG,airfrance,Landed,18:05,18:16
2024-10-23,arrival,Zurich,Corfu,edelweiss,Landed,18:05,17:52
2024-10-23,arrival,Zurich,Athens,aegan,Landed,18:05,17:55
2024-10-23,arrival,Zurich,Mauritius,edelweiss,Landed,18:10,17:57
2024-10-23,arrival,Zurich,Shanghai,swiss,Landed,18:15,17:24
2024-10-23,arrival,Zurich,Stockholm ARN,swiss,Landed,18:20,18:14
2024-10-23,arrival,Zurich,Riga,baltic,Landed,18:20,18:30
2024-10-23,arrival,Zurich,Helsinki,finnair,Landed,18:20,18:19
2024-10-23,arrival,Zurich,Düsseldorf,euro,Landed,18:30,18:34
2024-10-23,arrival,Zurich,Athens,swiss,Landed,18:35,18:54
2024-10-23,arrival,Zurich,Antalya,sun,Landed,18:35,18:19
2024-10-23,arrival,Zurich,Amsterdam,klm,Landed,18:40,18:57
2024-10-23,arrival,Zurich,London LCY,british,Landed,18:40,18:46
2024-10-23,arrival,Zurich,Madrid,iberia,Landed,18:55,19:13
2024-10-23,arrival,Zurich,London LHR,british,Landed,18:55,20:14
2024-10-23,arrival,Zurich,Porto,easyjet,Landed,15:00,14:48
2024-10-23,arrival,Zurich,Düsseldorf,euro,Landed,15:00,14:54
2024-10-23,arrival,Zurich,Alicante,swiss,Landed,15:00,15:10
2024-10-23,arrival,Zurich,Istanbul SAW,pegasus,Landed,15:05,14:57
2024-10-23,arrival,Zurich,Hamburg,euro,Landed,15:15,15:32
2024-10-23,arrival,Zurich,Las Vegas,edelweiss,Landed,15:20,15:16
2024-10-23,arrival,Zurich,Fuerteventura,edelweiss,Landed,15:20,
2024-10-23,arrival,Zurich,Sofia,swiss,Landed,15:30,15:08
2024-10-23,arrival,Zurich,Stuttgart,swiss,Cancelled,15:35,
2024-10-23,arrival,Zurich,Cologne Bonn,euro,Landed,15:35,15:59
2024-10-23,arrival,Zurich,Tenerife,edelweiss,Landed,15:40,15:36
2024-10-23,arrival,Zurich,Los Angeles,swiss,Landed,15:40,15:21
2024-10-23,arrival,Zurich,London LCY,swiss,Landed,15:40,16:04
2024-10-23,arrival,Zurich,Luxembourg,swiss,Landed,15:45,15:42
2024-10-23,arrival,Zurich,Milan MXP,swiss,Landed,15:45,15:46
2024-10-23,arrival,Zurich,Stockholm ARN,swiss,Landed,15:45,15:31
2024-10-23,arrival,Zurich,Geneva,swiss,Landed,15:50,16:24
2024-10-23,arrival,Zurich,San Francisco,swiss,Landed,15:50,15:23
2024-10-23,arrival,Zurich,Vienna,swiss,Landed,15:50,15:37
2024-10-23,arrival,Zurich,Malaga,swiss,Landed,15:55,15:56
2024-10-23,arrival,Zurich,Podgorica,air-montenegro,Landed,15:55,15:43
2024-10-23,arrival,Zurich,Porto,swiss,Landed,15:55,16:19
2024-10-23,arrival,Zurich,Frankfurt FRA,swiss,Landed,15:55,16:12
2024-10-23,arrival,Zurich,Palma De Mallorca,edelweiss,Landed,16:00,16:05
2024-10-23,arrival,Zurich,Marseille,swiss,Landed,16:00,15:50
2024-10-23,arrival,Zurich,Düsseldorf,swiss,Landed,16:00,16:45
2024-10-23,arrival,Zurich,Venice,swiss,Landed,16:05,16:00
2024-10-23,arrival,Zurich,Nice,swiss,Landed,16:05,16:55
2024-10-23,arrival,Zurich,Palma De Mallorca,chair,Landed,16:10,16:05
2024-10-23,arrival,Zurich,Florence,swiss,Landed,16:10,17:19
2024-10-23,arrival,Zurich,Bologna,swiss,Landed,16:10,15:51
2024-10-23,arrival,Zurich,Athens,swiss,Landed,16:15,16:08
2024-10-23,arrival,Zurich,Prague,swiss,Landed,16:15,16:12
2024-10-23,arrival,Zurich,Brussels,swiss,Landed,16:15,16:16
2024-10-23,arrival,Zurich,Dublin,swiss,Landed,16:15,
2024-10-23,arrival,Zurich,Munich,lufthansa_neu,Landed,16:20,16:43
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,16:20,16:22
2024-10-23,arrival,Zurich,Paris CDG,swiss,Landed,16:20,16:16
2024-10-23,arrival,Zurich,Hamburg,swiss,Landed,16:25,16:33
2024-10-23,arrival,Zurich,Budapest,swiss,Landed,16:25,16:18
2024-10-23,arrival,Zurich,Oslo OSL,swiss,Landed,16:25,16:09
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,16:30,17:01
2024-10-23,arrival,Zurich,Hurghada,chair,Landed,16:30,16:27
2024-10-23,arrival,Zurich,Naples,swiss,Landed,16:30,17:00
2024-10-23,arrival,Zurich,Palermo,swiss,Landed,16:35,16:37
2024-10-23,arrival,Zurich,Belgrade,swiss,Landed,16:35,16:51
2024-10-23,arrival,Zurich,Košice,swiss,Landed,16:35,16:40
2024-10-23,arrival,Zurich,Amsterdam,swiss,Landed,16:35,17:31
2024-10-23,arrival,Zurich,Gdansk,swiss,Landed,16:40,17:13
2024-10-23,arrival,Zurich,Barcelona,swiss,Landed,16:40,16:42
2024-10-23,arrival,Zurich,Tirana,swiss,Landed,16:40,16:54
2024-10-23,arrival,Zurich,Amsterdam,klm,Landed,16:45,17:10
2024-10-23,arrival,Zurich,Rome FCO,swiss,Landed,16:45,17:28
2024-10-23,arrival,Zurich,Seoul,swiss,Landed,16:50,16:33
2024-10-23,arrival,Zurich,Warsaw,swiss,Landed,16:50,16:40
2024-10-23,arrival,Zurich,Palma De Mallorca,swiss,Landed,16:55,16:50
2024-10-23,arrival,Zurich,Copenhagen,swiss,Landed,16:55,16:51
2024-10-23,arrival,Zurich,Gothenburg,swiss,Landed,16:55,17:47
2024-10-23,arrival,Zurich,Palma De Mallorca,vueling,Landed,13:05,13:08
2024-10-23,arrival,Zurich,Reykjavík,iceland,Landed,13:05,12:56
2024-10-23,arrival,Zurich,Faro,edelweiss,Landed,13:10,13:13
2024-10-23,arrival,Zurich,Malta,km_malta_airlines,Landed,13:10,13:49
2024-10-23,arrival,Zurich,Dubai,emirates-neu,Landed,13:20,13:14
2024-10-23,arrival,Zurich,Oslo OSL,sas,Landed,13:20,13:35
2024-10-23,arrival,Zurich,Rhodes,edelweiss,Landed,13:25,13:47
2024-10-23,arrival,Zurich,Paris CDG,airfrance,Landed,13:45,14:00
2024-10-23,arrival,Zurich,Amsterdam,klm,Landed,13:45,15:28
2024-10-23,arrival,Zurich,Cairo,egypt-air,Landed,13:55,13:37
2024-10-23,arrival,Zurich,Doha,qatar,Landed,14:00,13:49
2024-10-23,arrival,Zurich,Frankfurt FRA,lufthansa_neu,Landed,14:00,13:58
2024-10-23,arrival,Zurich,Naples,easyjet,Landed,14:05,
2024-10-23,arrival,Zurich,Istanbul IST,turkish,Landed,14:05,13:53
2024-10-23,arrival,Zurich,Vienna,austrian,Landed,14:20,14:15
2024-10-23,arrival,Zurich,London LCY,british,Cancelled,14:20,
2024-10-23,arrival,Zurich,Valencia,swiss,Landed,14:30,14:34
2024-10-23,arrival,Zurich,Larnaca,edelweiss,Landed,14:30,14:32
2024-10-23,arrival,Zurich,London LHR,british,Landed,14:35,15:06
2024-10-23,arrival,Zurich,Palma De Mallorca,swiss,Landed,14:45,14:39
2024-10-23,arrival,Zurich,Larnaca,chair,Landed,14:45,14:46
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,14:45,15:55
2024-10-23,arrival,Zurich,Riyadh,saudia_logo,Landed,14:45,
2024-10-23,arrival,Zurich,Madeira,edelweiss,Landed,14:50,14:52
2024-10-23,arrival,Zurich,Hamburg,swiss,Landed,11:00,11:40
2024-10-23,arrival,Zurich,Vienna,swiss,Landed,11:00,11:24
2024-10-23,arrival,Zurich,Hanover,swiss,Landed,11:00,11:13
2024-10-23,arrival,Zurich,Madrid,iberia,Landed,11:05,11:02
2024-10-23,arrival,Zurich,Paris CDG,swiss,Landed,11:05,11:37
2024-10-23,arrival,Zurich,Amsterdam,klm,Landed,11:05,12:36
2024-10-23,arrival,Zurich,Brussels,swiss,Landed,11:05,11:51
2024-10-23,arrival,Zurich,Menorca,edelweiss,Landed,11:10,11:07
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,11:10,11:03
2024-10-23,arrival,Zurich,Krakow,swiss,Landed,11:10,11:13
2024-10-23,arrival,Zurich,Boston,swiss,Landed,11:10,11:34
2024-10-23,arrival,Zurich,Amsterdam,swiss,Landed,11:15,11:38
2024-10-23,arrival,Zurich,Florence,swiss,Landed,11:15,12:11
2024-10-23,arrival,Zurich,Budapest,swiss,Landed,11:20,12:33
2024-10-23,arrival,Zurich,Rome FCO,swiss,Landed,11:20,11:34
2024-10-23,arrival,Zurich,Vancouver,edelweiss,Landed,11:25,11:16
2024-10-23,arrival,Zurich,Barcelona,swiss,Landed,11:25,11:42
2024-10-23,arrival,Zurich,Copenhagen,swiss,Landed,11:30,12:36
2024-10-23,arrival,Zurich,Belgrade,swiss,Landed,11:30,11:38
2024-10-23,arrival,Zurich,Milan MXP,swiss,Landed,11:35,11:43
2024-10-23,arrival,Zurich,Newark,swiss,Landed,11:35,12:51
2024-10-23,arrival,Zurich,London LHR,swiss,Landed,11:35,11:51
2024-10-23,arrival,Zurich,Bristol,swiss,Landed,11:35,12:26
2024-10-23,arrival,Zurich,Bordeaux,swiss,Landed,11:40,12:03
2024-10-23,arrival,Zurich,Sarajevo,swiss,Landed,11:40,12:48
2024-10-23,arrival,Zurich,Palermo,swiss,Landed,11:45,12:23
2024-10-23,arrival,Zurich,Geneva,swiss,Landed,11:45,11:57
2024-10-23,arrival,Zurich,Palma De Mallorca,swiss,Landed,11:45,11:47
2024-10-23,arrival,Zurich,Luxembourg,swiss,Landed,11:45,11:46
2024-10-23,arrival,Zurich,Manchester,swiss,Landed,11:50,13:30
2024-10-23,arrival,Zurich,Stuttgart,swiss,Landed,11:50,12:19
2024-10-23,arrival,Zurich,Birmingham,swiss,Landed,11:50,12:07
2024-10-23,arrival,Zurich,Pristina,edelweiss,Landed,11:55,11:41
2024-10-23,arrival,Zurich,London LCY,swiss,Landed,11:55,12:21
2024-10-23,arrival,Zurich,Ljubljana,swiss,Landed,11:55,12:26
2024-10-23,arrival,Zurich,Malta,swiss,Landed,11:55,12:31
2024-10-23,arrival,Zurich,Bologna,swiss,Landed,12:00,12:21
2024-10-23,arrival,Zurich,London LHR,british,Landed,12:00,12:13
2024-10-23,arrival,Zurich,Venice,swiss,Landed,12:00,11:54
2024-10-23,arrival,Zurich,Thessaloniki,swiss,Landed,12:05,11:58
2024-10-23,arrival,Zurich,Geneva,swiss,Landed,12:05,12:34
2024-10-23,arrival,Zurich,Porto,swiss,Landed,12:10,12:18
2024-10-23,arrival,Zurich,Hamburg,swiss,Landed,12:10,12:30
2024-10-23,arrival,Zurich,Vienna,austrian,Landed,12:15,12:09
2024-10-23,arrival,Zurich,Berlin,swiss,Landed,12:20,12:17
2024-10-23,arrival,Zurich,Madrid,swiss,Landed,12:25,13:06
2024-10-23,arrival,Zurich,Heraklion,edelweiss,Landed,12:25,12:51
2024-10-23,arrival,Zurich,Munich,lufthansa_neu,Landed,12:40,12:46
2024-10-23,arrival,Zurich,Malaga,swiss,Landed,09:10,09:09
2024-10-23,arrival,Zurich,Berlin,euro,Landed,09:15,09:04
2024-10-23,arrival,Zurich,Istanbul IST,turkish,Landed,09:20,09:31
2024-10-23,arrival,Zurich,London LHR,british,Cancelled,09:25,
2024-10-23,arrival,Zurich,London LCY,british,Landed,09:30,09:21
