Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,6:30,5:21,Istanbul,Turkish Airlines,TK6351,Landed 05:19,Cargo,09-11-24 23:55
Arrivals,7:45,7:26,Zagreb,Ryanair,FR5862,Landed 07:21,,09-11-24 23:55
Arrivals,8:15,8:33,Geneva,European Air Transport / DHL,QY4958,Landed 08:30,Cargo,09-11-24 23:55
Arrivals,8:50,8:31,Naples,easyJet,EC4221,Landed 08:26,,09-11-24 23:55
Arrivals,8:55,8:49,Munich,Lufthansa,LH2394,Landed 08:45,,09-11-24 23:55
Arrivals,9:00,8:57,Nice,easyJet,DS1052,Landed 08:50,,09-11-24 23:55
Arrivals,9:05,8:52,Skopje,Wizz Air,W64731,Landed 08:47,,09-11-24 23:55
Arrivals,9:10,9:04,Tunis,Nouvelair,BJ166,Landed 08:58,,09-11-24 23:55
Arrivals,9:35,9:39,Paris Charles De Gaulle,Air France,AF1192,Landed 09:35,,09-11-24 23:55
Arrivals,9:35,9:36,Porto,easyJet,EC7731,Landed 09:31,,09-11-24 23:55
Arrivals,9:45,9:42,Pristina,GP Aviation,IV5612,Landed 09:38,,09-11-24 23:55
Arrivals,10:05,9:48,Istanbul,Turkish Airlines,TK1923,Landed 09:45,,09-11-24 23:55
Arrivals,10:05,10:43,Constantine,Air Alg̩rie,AH1170,Landed 10:39,,09-11-24 23:55
Arrivals,10:10,9:57,London Heathrow,British Airways,BA752,Landed 09:53,,09-11-24 23:55
Arrivals,10:20,10:02,Mahon,easyJet,DS1014,Landed 09:57,,09-11-24 23:55
Arrivals,10:30,10:26,Frankfurt,Lufthansa,LH1202,Landed 10:23,,09-11-24 23:55
Arrivals,10:40,10:31,Amsterdam,KLM,KL1943,Landed 10:29,,09-11-24 23:55
Arrivals,10:55,10:29,Edinburgh,easyJet,DS1232,Landed 10:27,,09-11-24 23:55
Arrivals,11:00,11:06,Pristina,Chair Airlines,GM611,Landed 11:03,,09-11-24 23:55
Arrivals,11:20,11:02,Budapest,easyJet,DS1212,Landed 10:59,,09-11-24 23:55
