Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,7:55,7:23,Antalya,SunExpress,XQ110, Landed 07:20,,10-11-24 23:55
Arrivals,8:15,7:54,Belgrade,Wizz Air,W64051, Landed 07:52,,10-11-24 23:55
Arrivals,8:25,8:04,Zagreb,Ryanair,FR5862, Landed 08:01,,10-11-24 23:55
Arrivals,8:55,8:46,Munich,Lufthansa,LH2394, Landed 08:45,,10-11-24 23:55
Arrivals,9:15,9:06,Barcelona,easyJet,EC7101, Landed 09:02,,10-11-24 23:55
Arrivals,9:30,9:14,Barcelona,Vueling,VY6278, Landed 09:11,,10-11-24 23:55
Arrivals,9:35,9:33,Paris Charles De Gaulle,Air France,AF1192, Landed 09:32,,10-11-24 23:55
Arrivals,9:40,9:42,Porto,easyJet,EC7731, Landed 09:39,,10-11-24 23:55
Arrivals,9:45,9:39,Lisbon,easyJet,EC7677, Landed 09:36,,10-11-24 23:55
Arrivals,10:00,9:52,Berlin,easyJet,DS1186, Landed 09:50,,10-11-24 23:55
Arrivals,10:05,9:44,Olbia,easyJet,DS1106, Landed 09:42,,10-11-24 23:55
Arrivals,10:15,10:11,Frankfurt,Lufthansa,LH1202, Landed 10:08,,10-11-24 23:55
Arrivals,10:20,10:16,London Heathrow,British Airways,BA752, Landed 10:12,,10-11-24 23:55
Arrivals,10:35,10:19,Hamburg,easyJet,DS1182, Landed 10:15,,10-11-24 23:55
Arrivals,10:40,10:31,Amsterdam,KLM,KL1943, Landed 10:28,,10-11-24 23:55
Arrivals,11:00,10:44,Pristina,Chair Airlines,GM611, Landed 10:41,,10-11-24 23:55
Arrivals,11:30,11:24,Paderborn,Globe Air,GAC848, Landed 11:22,Cargo,10-11-24 23:55
Arrivals,11:45,12:04,Zurich,Cat Aviation,CAZ403, Landed 12:01,Cargo,10-11-24 23:55
Arrivals,11:45,11:29,Palma,easyJet,DS1002, Landed 11:25,,10-11-24 23:55
Arrivals,11:45,11:31,Alicante,easyJet,DS1012, Landed 11:28,,10-11-24 23:55
Arrivals,11:55,12:01,Istanbul Sabiha Gökcen,Pegasus Airlines,PC939, Landed 11:58,,10-11-24 23:55
Arrivals,12:05,11:54,Madrid,easyJet,DS1016, Landed 11:50,,10-11-24 23:55
Arrivals,12:10,11:47,Dubai,Flydubai,FZ1425, Landed 11:44,,10-11-24 23:55
Arrivals,12:20,11:51,Pristina,easyJet,DS1210, Landed 11:47,,10-11-24 23:55
Arrivals,12:25,12:21,Munich,Lufthansa,LH2396, Landed 12:18,,10-11-24 23:55
Arrivals,12:25,12:08,Faro,easyJet,DS1278, Landed 12:05,,10-11-24 23:55
Arrivals,12:35,12:27,Toulouse,easyJet,EC4971, Landed 12:23,,10-11-24 23:55
Arrivals,12:50,12:48,London Gatwick,easyJet,DS8476, Landed 12:45,,10-11-24 23:55
Arrivals,13:00,12:56,Pristina,GP Aviation,IV800, Landed 12:53,,10-11-24 23:55
Arrivals,13:00,12:51,Budapest,Wizz Air,W62269, Landed 12:47,,10-11-24 23:55
Arrivals,13:25,14:18,Frankfurt,Lufthansa,LH1204, Landed 14:13,,10-11-24 23:55
Arrivals,13:40,13:31,Malaga,easyJet,DS1006, Landed 13:27,,10-11-24 23:55
Arrivals,13:40,13:58,Algiers,Air Algérie,AH1172, Landed 13:54,,10-11-24 23:55
Arrivals,14:05,14:21,Paris Charles De Gaulle,Air France,AF1292, Landed 14:16,,10-11-24 23:55
Arrivals,14:25,14:49,Marrakech,easyJet,DS1254, Landed 14:44,,10-11-24 23:55
Arrivals,14:30,14:04,Istanbul Sabiha Gökcen,Ajet,VF105, Landed 14:02,,10-11-24 23:55
Arrivals,14:40,14:52,Krakow,easyJet,DS1284, Landed 14:49,,10-11-24 23:55
Arrivals,15:00,14:41,Warsaw,Wizz Air,W61363, Landed 14:36,,10-11-24 23:55
Arrivals,15:00,14:39,Cagliari,easyJet,DS1110, Landed 14:34,,10-11-24 23:55
Arrivals,15:15,15:04,Skopje,Wizz Air,W64731, Landed 15:00,,10-11-24 23:55
Arrivals,15:20,14:56,Bucharest,Wizz Air,W43089, Landed 14:51,,10-11-24 23:55
Arrivals,15:30,15:16,Naples,easyJet,EC4221, Landed 15:11,,10-11-24 23:55
Arrivals,15:30,15:19,Istanbul Sabiha Gökcen,Pegasus Airlines,PC941, Landed 15:16,,10-11-24 23:55
Arrivals,15:35,15:38,London Heathrow,British Airways,BA754, Landed 15:34,,10-11-24 23:55
