Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,7:15,6:39,Montreal,Air Transat,TS296,Landed 06:37,,26-10-24 23:55
Arrivals,7:45,7:32,Budapest,Wizz Air,W62269,Landed 07:29,,26-10-24 23:55
Arrivals,7:50,7:41,Naples,easyJet,EC4221,Landed 07:37,,26-10-24 23:55
Arrivals,7:55,7:57,Frankfurt,Lufthansa,LH1200,Landed 07:54,,26-10-24 23:55
Arrivals,8:15,7:46,Iasi,Wizz Air,W43639,Landed 07:43,,26-10-24 23:55
Arrivals,8:15,8:14,Geneva,European Air Transport / DHL,QY4958,Landed 08:10,Cargo,26-10-24 23:55
Arrivals,8:20,8:04,Cluj,Wizz Air,W43371,Landed 08:01,,26-10-24 23:55
Arrivals,8:25,8:22,Warsaw,Wizz Air,W61363,Landed 08:19,,26-10-24 23:55
Arrivals,8:25,8:08,Hurghada,Air Cairo,SM2910,Landed 08:05,,26-10-24 23:55
Arrivals,8:55,8:56,Palma,easyJet,EC7271,Landed 08:52,,26-10-24 23:55
Arrivals,8:55,9:32,Antalya,SunExpress,XQ110,Landed 09:27,,26-10-24 23:55
Arrivals,9:05,9:02,Nice,easyJet,DS1052,Landed 08:58,,26-10-24 23:55
Arrivals,9:05,9:26,Munich,Lufthansa,LH2394,Landed 09:23,,26-10-24 23:55
Arrivals,9:05,9:22,Manchester,easyJet,U22181,Landed 09:19,,26-10-24 23:55
Arrivals,9:10,9:04,Tunis,Nouvelair,BJ166,Landed 09:01,,26-10-24 23:55
Arrivals,9:25,9:39,Alicante,easyJet,EC5501,Landed 09:36,,26-10-24 23:55
Arrivals,9:30,10:57,Antalya,SunExpress,XQ610,Landed 10:54,,26-10-24 23:55
Arrivals,9:35,9:58,Malaga,easyJet,EC7021,Landed 09:55,,26-10-24 23:55
Arrivals,9:40,9:36,Vienna,Austrian Airlines,OS471,Landed 09:32,,26-10-24 23:55
Arrivals,9:40,10:14,London Gatwick,easyJet,U28475,Landed 10:11,,26-10-24 23:55
Arrivals,9:40,9:17,Istanbul,Turkish Airlines,TK1923,Landed 09:14,,26-10-24 23:55
Arrivals,9:45,10:03,Hamburg,easyJet,DS1182,Landed 09:59,,26-10-24 23:55
Arrivals,9:45,9:53,Amsterdam,KLM,KL1943,Landed 09:50,,26-10-24 23:55
Arrivals,9:50,10:08,Split,easyJet,DS1162,Landed 10:05,,26-10-24 23:55
Arrivals,9:55,9:51,Berlin,easyJet,DS1186,Landed 09:47,,26-10-24 23:55
Arrivals,10:00,9:56,Rome,easyJet,DS1124,Landed 09:52,,26-10-24 23:55
Arrivals,10:00,10:31,Budapest,easyJet,DS1212,Landed 10:27,,26-10-24 23:55
Arrivals,10:15,10:24,Paris Charles De Gaulle,Air France,AF1192,Landed 10:20,,26-10-24 23:55
Arrivals,10:25,11:02,Porto,easyJet,EC7731,Landed 10:58,,26-10-24 23:55
Arrivals,10:30,10:29,Frankfurt,Lufthansa,LH1202,Landed 10:23,,26-10-24 23:55
Arrivals,10:35,11:06,Dublin,Ryanair,FR5131,Landed 11:02,,26-10-24 23:55
Arrivals,10:40,10:47,Lisbon,easyJet,EC7645,Landed 10:43,,26-10-24 23:55
Arrivals,10:40,10:53,Faro,easyJet,EC7521,Landed 10:50,,26-10-24 23:55
Arrivals,11:00,11:24,Pristina,Chair Airlines,GM611,Landed 11:21,,26-10-24 23:55
Arrivals,11:00,11:12,Istanbul Sabiha Gökcen,Ajet,VF105,Landed 11:10,,26-10-24 23:55
Arrivals,11:05,11:26,London Gatwick,easyJet,DS8481,Landed 11:24,,26-10-24 23:55
Arrivals,11:05,12:06,Istanbul,Turkish Airlines,TK6351,Landed 12:03,Cargo,26-10-24 23:55
Arrivals,11:05,11:14,Constantine,Air Algérie,AH1170,Landed 11:12,,26-10-24 23:55
Arrivals,11:10,11:28,London Heathrow,British Airways,BA752,Landed 11:27,,26-10-24 23:55
Arrivals,11:15,11:17,Venice,easyJet,EC4083,Landed 11:14,,26-10-24 23:55
Arrivals,11:15,11:19,Rabat Sale,Air Arabia Maroc,3O263,Landed 11:19,,26-10-24 23:55
Arrivals,11:30,12:44,Palma,easyJet,DS1004,Landed 12:41,,26-10-24 23:55
Arrivals,11:50,11:56,Thessaloniki,easyJet,DS1144,Landed 11:52,,26-10-24 23:55
Arrivals,12:10,12:02,Pristina,easyJet,DS1206,Landed 11:59,,26-10-24 23:55
Arrivals,12:20,12:09,Zagreb,Ryanair,FR5862,Landed 12:07,,26-10-24 23:55
Arrivals,12:20,12:16,Istanbul Sabiha Gökcen,Pegasus Airlines,PC939,Landed 12:13,,26-10-24 23:55
Arrivals,12:55,13:32,Rhodes,Enter Air,E4968,Landed 13:30,,26-10-24 23:55
Arrivals,12:55,13:24,Munich,Lufthansa,LH2396,Landed 13:22,,26-10-24 23:55
Arrivals,13:15,13:12,Pristina,GP Aviation,IV800,Landed 13:10,,26-10-24 23:55
Arrivals,13:30,13:34,Tirana,Wizz Air,W45123,Landed 13:33,,26-10-24 23:55
Arrivals,13:35,13:52,Naples,easyJet,EC4229,Landed 13:49,,26-10-24 23:55
Arrivals,13:35,13:48,London Gatwick,easyJet,DS8479,Landed 13:45,,26-10-24 23:55
Arrivals,13:40,14:57,Frankfurt,Lufthansa,LH1204,Landed 14:53,,26-10-24 23:55
Arrivals,13:45,14:02,Bordeaux,easyJet,DS1070,Landed 13:59,,26-10-24 23:55
Arrivals,13:45,13:56,Bastia,easyJet,DS1074,Landed 13:52,,26-10-24 23:55
Arrivals,13:50,13:57,Amsterdam,KLM,KL1945,Landed 13:55,,26-10-24 23:55
Arrivals,14:05,14:16,Barcelona,easyJet,EC7101,Landed 14:12,,26-10-24 23:55
Arrivals,14:10,14:31,Olbia,easyJet,DS1106,Landed 14:28,,26-10-24 23:55
Arrivals,14:10,14:27,Dubrovnik,Enter Air,E4756,Landed 14:23,,26-10-24 23:55
Arrivals,14:20,14:11,Izmir,SunExpress,XQ912,Landed 14:06,,26-10-24 23:55
Arrivals,14:20,14:13,Barcelona,Vueling,VY6260,Landed 14:09,,26-10-24 23:55
Arrivals,14:45,14:58,Skopje,Wizz Air,W64731,Landed 14:55,,26-10-24 23:55
Arrivals,15:00,14:59,Krakow,easyJet,DS1262,Landed 14:57,,26-10-24 23:55
Arrivals,15:00,15:36,Bolzano,Globe Air,GAC736,Landed 15:31,Cargo,26-10-24 23:55
Arrivals,15:10,14:51,Lanzarote,easyJet,DS1028,Landed 14:46,,26-10-24 23:55
Arrivals,15:20,20:54,Palma,easyJet,EC7273,Landed 20:47,,26-10-24 23:55
Arrivals,15:55,15:51,Belgrade,Wizz Air,W64051,Landed 15:46,,26-10-24 23:55
Arrivals,15:55,17:16,London Stansted,Ryanair,FR4182,Landed 17:12,,26-10-24 23:55
Arrivals,15:55,16:21,Copenhagen,easyJet,DS1264,Landed 16:17,,26-10-24 23:55
Arrivals,16:25,19:02,Lisbon,easyJet,EC7647,Landed 18:58,,26-10-24 23:55
Arrivals,16:40,18:54,Palermo,easyJet,DS1116,Landed 18:48,,26-10-24 23:55
Arrivals,16:45,17:14,Porto,easyJet,EC9733,Landed 17:09,,26-10-24 23:55
Arrivals,16:45,16:46,Istanbul Sabiha Gökcen,Pegasus Airlines,PC941,Landed 16:43,,26-10-24 23:55
Arrivals,17:40,17:44,Frankfurt,Lufthansa,LH1206,Landed 17:39,,26-10-24 23:55
Arrivals,17:40,17:19,Ajaccio,easyJet,DS1064,Landed 17:14,,26-10-24 23:55
Arrivals,17:55,17:57,Amsterdam,KLM,KL1947,Landed 17:54,,26-10-24 23:55
Arrivals,18:00,18:02,Paris Charles De Gaulle,Air France,AF1392,Landed 17:58,,26-10-24 23:55
Arrivals,18:00,17:41,Istanbul,Turkish Airlines,TK1925,Landed 17:34,,26-10-24 23:55
Arrivals,18:00,17:42,Antalya,SunExpress,XQ210,Landed 17:37,,26-10-24 23:55
Arrivals,18:05,17:56,Berlin,easyJet,DS1188,Landed 17:51,,26-10-24 23:55
Arrivals,18:10,17:49,Malta,easyJet,DS1282,Landed 17:45,,26-10-24 23:55
Arrivals,18:35,,London Stansted,Qatar Airways,QR8096,Cancelled,Cargo,26-10-24 23:55
Arrivals,19:30,19:16,Pristina,GP Aviation,IV802,Landed 19:10,,26-10-24 23:55
Arrivals,19:50,19:38,Amsterdam,easyJet,EC7863,Landed 19:33,,26-10-24 23:55
Arrivals,20:05,20:36,Mahon,easyJet,DS1014,Landed 20:32,,26-10-24 23:55
Arrivals,20:10,20:11,Nis,Wizz Air,W64195,Landed 20:07,,26-10-24 23:55
Arrivals,20:15,20:21,Budapest,Wizz Air,W62267,Landed 20:18,,26-10-24 23:55
Arrivals,20:25,19:59,Banja Luka,Wizz Air,W64359,Landed 19:58,,26-10-24 23:55
Arrivals,20:30,21:26,Barcelona,easyJet,EC7103,Landed 21:21,,26-10-24 23:55
Arrivals,20:40,21:04,Porto,easyJet,EC7733,Landed 21:00,,26-10-24 23:55
Arrivals,21:25,21:51,Alicante,easyJet,EC5541,Landed 21:50,,26-10-24 23:55
Arrivals,21:40,21:41,Amsterdam,KLM,KL1949,Landed 21:36,,26-10-24 23:55
Arrivals,22:00,22:11,Frankfurt,Lufthansa,LH1208,Landed 22:05,,26-10-24 23:55
Arrivals,22:20,22:56,Olbia,easyJet,DS1108,Landed 22:52,,26-10-24 23:55
Arrivals,22:50,22:51,Pristina,Chair Airlines,GM613,Landed 22:47,,26-10-24 23:55
Arrivals,22:50,0:15,Catania,easyJet,DS1118,,,26-10-24 23:55
Arrivals,22:55,22:39,London Heathrow,British Airways,BA756,Landed 22:36,,26-10-24 23:55
Arrivals,23:00,23:24,Tenerife,easyJet,DS1026,Landed 23:20,,26-10-24 23:55
Arrivals,23:10,23:21,Ibiza,easyJet,DS1018,Landed 23:15,,26-10-24 23:55
Arrivals,23:15,23:38,Fuerteventura,Enter Air,E4948,Landed 23:34,,26-10-24 23:55
Arrivals,23:15,23:59,Agadir,easyJet,DS1252,,,26-10-24 23:55
Arrivals,23:20,22:59,Pristina,easyJet,DS1208,Landed 22:55,,26-10-24 23:55
Arrivals,23:20,23:17,Larnaca,easyJet,DS1274,Landed 23:12,,26-10-24 23:55
Arrivals,23:20,0:30,Fuerteventura,easyJet,DS1024,,,26-10-24 23:55
Arrivals,23:30,,Porto,easyJet,DS1276,Cancelled,,26-10-24 23:55
Arrivals,23:30,0:30,Marrakech,easyJet,DS1254,,,26-10-24 23:55
Departures,6:00,,Lanzarote,easyJet,DS1027,Departed 06:10,,26-10-24 23:55
Departures,6:00,,Rhodes,Enter Air,E4967,Departed 06:21,,26-10-24 23:55
Departures,6:00,,Pristina,Chair Airlines,GM610,Departed 06:14,,26-10-24 23:55
Departures,6:00,,Budapest,easyJet,DS1211,Departed 06:17,,26-10-24 23:55
Departures,6:05,,Split,easyJet,DS1161,Departed 06:12,,26-10-24 23:55
Departures,6:05,,Nice,easyJet,DS1051,Departed 06:16,,26-10-24 23:55
Departures,6:10,,Rome,easyJet,DS1123,Departed 06:19,,26-10-24 23:55
Departures,6:15,,Berlin,easyJet,DS1185,Departed 06:23,,26-10-24 23:55
Departures,6:15,,Amsterdam,KLM,KL1942,Departed 06:41,,26-10-24 23:55
Departures,6:20,,Thessaloniki,easyJet,DS1143,Departed 06:27,,26-10-24 23:55
Departures,6:20,,Hamburg,easyJet,DS1181,Departed 06:25,,26-10-24 23:55
Departures,6:35,,London Heathrow,British Airways,BA751,Departed 07:13,,26-10-24 23:55
Departures,6:40,,Frankfurt,Lufthansa,LH1211,Departed 07:19,,26-10-24 23:55
Departures,7:00,,Pristina,easyJet,DS1205,Departed 07:02,,26-10-24 23:55
Departures,7:00,,Palma,easyJet,DS1003,Departed 07:32,,26-10-24 23:55
Departures,7:15,,London Gatwick,easyJet,DS8480,Departed 07:17,,26-10-24 23:55
Departures,7:35,,Istanbul Atatürk,Qatar Executive,QE799,Departed 07:35,Cargo,26-10-24 23:55
Departures,8:20,,Naples,easyJet,EC4222,Departed 08:26,,26-10-24 23:55
Departures,8:20,,Budapest,Wizz Air,W62270,Departed 08:30,,26-10-24 23:55
Departures,8:30,,Frankfurt,Lufthansa,LH1201,Departed 08:41,,26-10-24 23:55
Departures,8:50,,Iasi,Wizz Air,W43640,Departed 08:48,,26-10-24 23:55
Departures,8:55,,Cluj,Wizz Air,W43372,Departed 09:00,,26-10-24 23:55
Departures,9:00,,Montreal,Air Transat,TS297,Departed 09:11,,26-10-24 23:55
Departures,9:05,,Warsaw,Wizz Air,W61364,Departed 09:18,,26-10-24 23:55
Departures,9:25,,Hurghada,Air Cairo,SM2911,Departed 09:34,,26-10-24 23:55
Departures,9:30,,Palma,easyJet,EC7272,Departed 12:09,,26-10-24 23:55
Departures,9:35,,London Gatwick,easyJet,DS8478,Departed 09:49,,26-10-24 23:55
Departures,9:35,9:50,Manchester,easyJet,U22182,Departed 10:07,,26-10-24 23:55
Departures,9:40,10:00,Munich,Lufthansa,LH2395,Departed 10:02,,26-10-24 23:55
Departures,9:45,10:20,Antalya,SunExpress,XQ111,Departed 10:47,,26-10-24 23:55
Departures,10:00,,Tunis,Nouvelair,BJ167,Departed 10:13,,26-10-24 23:55
Departures,10:00,10:10,Alicante,easyJet,EC5500,Departed 10:25,,26-10-24 23:55
Departures,10:10,10:30,Malaga,easyJet,EC7022,Departed 10:45,,26-10-24 23:55
Departures,10:15,10:30,Bordeaux,easyJet,DS1069,Departed 10:52,,26-10-24 23:55
Departures,10:15,10:25,Amsterdam,KLM,KL1944,Departed 10:36,,26-10-24 23:55
Departures,10:20,,Vienna,Austrian Airlines,OS472,Departed 10:37,,26-10-24 23:55
Departures,10:20,10:40,Olbia,easyJet,DS1105,Departed 10:56,,26-10-24 23:55
Departures,10:20,10:45,London Gatwick,easyJet,U28476,Departed 11:04,,26-10-24 23:55
Departures,10:20,11:50,Antalya,SunExpress,XQ611,Departed 12:05,,26-10-24 23:55
Departures,10:35,,Istanbul,Turkish Airlines,TK1924,Departed 10:31,,26-10-24 23:55
Departures,10:35,,Bastia,easyJet,DS1073,Departed 11:01,,26-10-24 23:55
Departures,10:40,11:00,Krakow,easyJet,DS1261,Departed 11:13,,26-10-24 23:55
Departures,10:55,,Paris Charles De Gaulle,Air France,AF1193,Departed 11:06,,26-10-24 23:55
Departures,11:00,11:30,Porto,easyJet,EC7732,Departed 11:51,,26-10-24 23:55
Departures,11:05,,Frankfurt,Lufthansa,LH1203,Departed 11:20,,26-10-24 23:55
Departures,11:10,11:30,Dublin,Ryanair,FR5132,Departed 11:56,,26-10-24 23:55
Departures,11:20,11:25,Faro,easyJet,EC7522,Departed 11:40,,26-10-24 23:55
Departures,11:25,,Lisbon,easyJet,EC7646,Departed 11:41,,26-10-24 23:55
Departures,11:40,12:00,Copenhagen,easyJet,DS1263,Departed 12:32,,26-10-24 23:55
Departures,11:45,11:50,Venice,easyJet,EC4084,Departed 12:11,,26-10-24 23:55
Departures,11:45,12:10,Pristina,Chair Airlines,GM612,Departed 12:30,,26-10-24 23:55
Departures,11:55,12:15,London Heathrow,British Airways,BA753,Departed 12:24,,26-10-24 23:55
Departures,12:00,,Istanbul Sabiha Gökcen,Ajet,VF106,Departed 12:51,,26-10-24 23:55
Departures,12:10,15:00,Constantine,Air Algérie,AH1171,Departed 15:17,,26-10-24 23:55
Departures,12:10,14:15,Palermo,easyJet,DS1115,Departed 14:14,,26-10-24 23:55
Departures,12:15,,Rabat Sale,Air Arabia Maroc,3O264,Departed 12:26,,26-10-24 23:55
Departures,12:30,,Malta,easyJet,DS1281,Departed 12:31,,26-10-24 23:55
Departures,12:45,,Zagreb,Ryanair,FR5863,Departed 12:59,,26-10-24 23:55
Departures,13:05,16:00,Istanbul,Turkish Airlines,TK6351,Departed 16:23,Cargo,26-10-24 23:55
Departures,13:15,,Tenerife,easyJet,DS1025,Departed 13:32,,26-10-24 23:55
Departures,13:25,,Istanbul Sabiha Gökcen,Pegasus Airlines,PC940,Departed 13:35,,26-10-24 23:55
