Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,5:15,5:24,Paris Charles De Gaulle,FedEx,FX6257, Landed 05:23,Cargo,08-11-24 23:55
Arrivals,5:15,5:14,Liege,FedEx,FX4862, Landed 05:11,Cargo,08-11-24 23:55
Arrivals,5:15,5:26,Brussels,European Air Transport / DHL,QY4908, Landed 05:26,Cargo,08-11-24 23:55
Arrivals,5:20,5:09,Cologne Bonn,Sprintair,SRN6262, Landed 05:05,Cargo,08-11-24 23:55
Arrivals,5:40,5:42,Cologne Bonn,Sprintair,SRN1996, Landed 05:40,Cargo,08-11-24 23:55
Arrivals,5:45,5:32,Leipzig,European Air Transport / DHL,QY4904, Landed 05:31,Cargo,08-11-24 23:55
Arrivals,5:55,5:48,Cologne Bonn,European Air Transport / DHL,QY4906, Landed 05:44,Cargo,08-11-24 23:55
Arrivals,7:05,6:51,Hurghada,Air Cairo,SM2910, Landed 06:50,,08-11-24 23:55
Arrivals,7:20,6:56,Zagreb,Ryanair,FR5862, Landed 06:54,,08-11-24 23:55
Arrivals,8:15,8:21,Belgrade,Wizz Air,W64051, Landed 08:19,,08-11-24 23:55
Arrivals,9:00,8:44,Sofia,Wizz Air,W64323, Landed 08:43,,08-11-24 23:55
Arrivals,9:15,8:59,Barcelona,easyJet,EC7101, Landed 08:58,,08-11-24 23:55
Arrivals,9:20,9:05,Skopje,Wizz Air,W64731, Landed 09:03,,08-11-24 23:55
Arrivals,9:20,9:09,Naples,easyJet,EC4221, Landed 09:08,,08-11-24 23:55
Arrivals,9:25,9:33,Dublin,Ryanair,FR5131, Landed 09:30,,08-11-24 23:55
Arrivals,9:30,9:38,Vienna,Austrian Airlines,OS471, Landed 09:35,,08-11-24 23:55
Arrivals,9:30,9:26,Porto,easyJet,EC7731, Landed 09:25,,08-11-24 23:55
Arrivals,9:35,9:44,Paris Charles De Gaulle,Air France,AF1192, Landed 09:41,,08-11-24 23:55
Arrivals,9:40,9:19,Berlin,easyJet,DS1186, Landed 09:17,,08-11-24 23:55
Arrivals,10:05,10:09,Nice,easyJet,DS1052, Landed 10:06,,08-11-24 23:55
Arrivals,10:05,10:04,Istanbul,Turkish Airlines,TK1923, Landed 10:00,,08-11-24 23:55
Arrivals,10:05,9:59,Cagliari,easyJet,DS1110, Landed 09:55,,08-11-24 23:55
Arrivals,10:15,9:54,Casablanca,Air Arabia Maroc,3O265, Landed 09:50,,08-11-24 23:55
Arrivals,10:20,10:16,London Heathrow,British Airways,BA752, Landed 10:12,,08-11-24 23:55
