Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
24-10-24 23:55,Arrivals,Basel,London Gatwick,easyJet,Landed,2000-01-01 11:16:00,2000-01-01 11:11:00,-5.0
24-10-24 23:55,Arrivals,Basel,Istanbul Sabiha G̦kcen,Ajet,Landed,2000-01-01 11:01:00,2000-01-01 10:58:00,-3.0
24-10-24 23:55,Arrivals,Basel,Palma,easyJet,Landed,2000-01-01 11:22:00,2000-01-01 11:18:00,-4.0
24-10-24 23:55,Arrivals,Basel,Constantine,Air Alg̩rie,Landed,2000-01-01 11:46:00,2000-01-01 11:42:00,-4.0
24-10-24 23:55,Arrivals,Basel,Naples,easyJet,Landed,2000-01-01 11:27:00,2000-01-01 11:24:00,-3.0
24-10-24 23:55,Arrivals,Basel,London Heathrow,British Airways,Landed,2000-01-01 11:17:00,2000-01-01 11:14:00,-3.0
24-10-24 23:55,Arrivals,Basel,Istanbul Sabiha G̦kcen,Pegasus Airlines,Landed,2000-01-01 12:19:00,2000-01-01 12:16:00,-3.0
24-10-24 23:55,Arrivals,Basel,London Gatwick,easyJet,Landed,2000-01-01 12:29:00,2000-01-01 12:26:00,-3.0
24-10-24 23:55,Arrivals,Basel,Lisbon,easyJet,Landed,2000-01-01 12:34:00,2000-01-01 12:28:00,-6.0
24-10-24 23:55,Arrivals,Basel,Athens,easyJet,Landed,2000-01-01 12:42:00,2000-01-01 12:38:00,-4.0
24-10-24 23:55,Arrivals,Basel,Munich,Lufthansa,Landed,2000-01-01 13:01:00,2000-01-01 12:57:00,-4.0
24-10-24 23:55,Arrivals,Basel,Barcelona,Vueling,Landed,2000-01-01 13:03:00,2000-01-01 12:59:00,-4.0
24-10-24 23:55,Arrivals,Basel,Pristina,GP Aviation,Landed,2000-01-01 13:43:00,2000-01-01 13:40:00,-3.0
24-10-24 23:55,Arrivals,Basel,Nice,easyJet,Landed,2000-01-01 13:46:00,2000-01-01 13:42:00,-4.0
24-10-24 23:55,Arrivals,Basel,Frankfurt,Lufthansa,Landed,2000-01-01 13:56:00,2000-01-01 13:52:00,-4.0
24-10-24 23:55,Arrivals,Basel,Amsterdam,KLM,Landed,2000-01-01 14:37:00,2000-01-01 14:36:00,-1.0
24-10-24 23:55,Arrivals,Basel,Marrakech,easyJet,Landed,2000-01-01 14:19:00,2000-01-01 14:17:00,-2.0
24-10-24 23:55,Arrivals,Basel,Heraklion,easyJet,Landed,2000-01-01 13:34:00,2000-01-01 13:31:00,-3.0
24-10-24 23:55,Arrivals,Basel,Warsaw,Wizz Air,Landed,2000-01-01 14:11:00,2000-01-01 14:09:00,-2.0
24-10-24 23:55,Arrivals,Basel,Krakow,easyJet,Landed,2000-01-01 14:17:00,2000-01-01 14:14:00,-3.0
24-10-24 23:55,Arrivals,Basel,Bucharest,Wizz Air,Landed,2000-01-01 14:26:00,2000-01-01 14:24:00,-2.0
24-10-24 23:55,Arrivals,Basel,Belgrade,Wizz Air,Landed,2000-01-01 14:14:00,2000-01-01 14:12:00,-2.0
24-10-24 23:55,Arrivals,Basel,Berlin,easyJet,Landed,2000-01-01 15:04:00,2000-01-01 15:02:00,-2.0
24-10-24 23:55,Arrivals,Basel,Skopje,Wizz Air,Landed,2000-01-01 14:49:00,2000-01-01 14:48:00,-1.0
24-10-24 23:55,Arrivals,Basel,Palma,easyJet,Landed,2000-01-01 17:18:00,2000-01-01 17:16:00,-2.0
