Type,LocalAirport,ForeignAirport,Airline,PlannedDate,ActualDate,Delay
Arrivals,Basel,Paris Charles De Gaulle,FedEx,2024-11-07 05:29:00,2024-11-07 05:27:00,-2.0
Arrivals,Basel,Liege,FedEx,2024-11-07 05:11:00,2024-11-07 05:07:00,-4.0
Arrivals,Basel,Brussels,European Air Transport / DHL,2024-11-07 05:14:00,2024-11-07 05:11:00,-3.0
Arrivals,Basel,Cologne Bonn,Sprintair,2024-11-07 05:18:00,2024-11-07 05:16:00,-2.0
Arrivals,Basel,Cologne Bonn,Sprintair,2024-11-07 05:54:00,2024-11-07 05:51:00,-3.0
Arrivals,Basel,Leipzig,European Air Transport / DHL,2024-11-07 05:26:00,2024-11-07 05:22:00,-4.0
Arrivals,Basel,Cologne Bonn,European Air Transport / DHL,2024-11-07 05:49:00,2024-11-07 05:45:00,-4.0
Arrivals,Basel,Belgrade,Wizz Air,2024-11-07 07:53:00,2024-11-07 07:49:00,-4.0
Arrivals,Basel,Naples,easyJet,2024-11-07 08:36:00,2024-11-07 08:31:00,-5.0
Arrivals,Basel,Munich,Lufthansa,2024-11-07 09:01:00,2024-11-07 08:56:00,-5.0
Arrivals,Basel,Skopje,Wizz Air,2024-11-07 08:42:00,2024-11-07 08:38:00,-4.0
Arrivals,Basel,Barcelona,easyJet,2024-11-07 08:54:00,2024-11-07 08:52:00,-2.0
Arrivals,Basel,Vienna,Austrian Airlines,2024-11-07 09:26:00,2024-11-07 09:23:00,-3.0
Arrivals,Basel,Paris Charles De Gaulle,Air France,2024-11-07 09:41:00,2024-11-07 09:42:00,1.0
Arrivals,Basel,Berlin,easyJet,2024-11-07 09:48:00,2024-11-07 09:48:00,0.0
Arrivals,Basel,Olbia,easyJet,2024-11-07 10:03:00,2024-11-07 10:00:00,-3.0
Arrivals,Basel,Nice,easyJet,2024-11-07 09:49:00,2024-11-07 09:55:00,6.0
Arrivals,Basel,Istanbul,Turkish Airlines,2024-11-07 09:43:00,2024-11-07 09:38:00,-5.0
Arrivals,Basel,Constantine,Air Alg̩rie,2024-11-07 11:04:00,2024-11-07 11:02:00,-2.0
Arrivals,Basel,Amsterdam,easyJet,2024-11-07 10:09:00,2024-11-07 10:05:00,-4.0
Arrivals,Basel,London Heathrow,British Airways,2024-11-07 10:14:00,2024-11-07 10:11:00,-3.0
Arrivals,Basel,London Luton,easyJet,2024-11-07 10:31:00,2024-11-07 10:27:00,-4.0
Arrivals,Basel,Frankfurt,Lufthansa,2024-11-07 10:37:00,2024-11-07 10:34:00,-3.0
Arrivals,Basel,Amsterdam,KLM,2024-11-07 11:39:00,2024-11-07 11:37:00,-2.0
Arrivals,Basel,London Gatwick,easyJet,2024-11-07 10:44:00,2024-11-07 10:41:00,-3.0
Arrivals,Basel,Palma,easyJet,2024-11-07 10:23:00,2024-11-07 10:21:00,-2.0
Arrivals,Basel,Lisbon,easyJet,2024-11-07 10:59:00,2024-11-07 10:55:00,-4.0
Arrivals,Basel,Istanbul Sabiha G̦kcen,Ajet,2024-11-07 10:51:00,2024-11-07 10:47:00,-4.0
Arrivals,Basel,Istanbul Sabiha G̦kcen,Pegasus Airlines,2024-11-07 11:46:00,2024-11-07 11:43:00,-3.0
Arrivals,Basel,Budapest,easyJet,2024-11-07 11:21:00,2024-11-07 11:18:00,-3.0
Arrivals,Basel,Hanover,Netjets,2024-11-07 12:06:00,2024-11-07 12:01:00,-5.0
Arrivals,Basel,Pristina,easyJet,2024-11-07 12:08:00,2024-11-07 12:05:00,-3.0
Arrivals,Basel,Porto,easyJet,2024-11-07 12:51:00,2024-11-07 12:46:00,-5.0
Arrivals,Basel,Antalya,SunExpress,2024-11-07 12:36:00,2024-11-07 12:33:00,-3.0
Arrivals,Basel,Frankfurt,Lufthansa,2024-11-07 13:16:00,2024-11-07 13:13:00,-3.0
Arrivals,Basel,Madrid,easyJet,2024-11-07 13:54:00,2024-11-07 13:54:00,0.0
Arrivals,Basel,Bordeaux,easyJet,2024-11-07 14:14:00,2024-11-07 14:10:00,-4.0
