Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,05:10,05:03,Leipzig,European Air Transport / DHL,QY4904,Landed 05:00,Cargo,2024-11-04 23:55:03
Arrivals,05:20,05:27,Milan,European Air Transport / DHL,QY4910,Landed 05:25,Cargo,2024-11-04 23:55:03
Arrivals,05:20,05:49,Cologne Bonn,Sprintair,SRN6262,Landed 05:47,Cargo,2024-11-04 23:55:03
Arrivals,07:55,07:22,Antalya,SunExpress,XQ110,Landed 07:18,,2024-11-04 23:55:03
Arrivals,08:15,07:52,Belgrade,Wizz Air,W64051,Landed 07:47,,2024-11-04 23:55:03
Arrivals,08:55,08:58,Munich,Lufthansa,LH2394,Landed 08:55,,2024-11-04 23:55:03
Arrivals,09:00,08:36,Sofia,Wizz Air,W64323,Landed 08:32,,2024-11-04 23:55:03
Arrivals,09:10,09:02,Nice,easyJet,DS1052,Landed 08:57,,2024-11-04 23:55:03
Arrivals,09:20,08:53,Skopje,Wizz Air,W64731,Landed 08:50,,2024-11-04 23:55:03
Arrivals,09:25,09:42,Porto,easyJet,EC7731,Landed 09:37,,2024-11-04 23:55:03
Arrivals,09:30,09:38,Vienna,Austrian Airlines,OS471,Landed 09:35,,2024-11-04 23:55:03
Arrivals,09:35,09:28,Paris Charles De Gaulle,Air France,AF1192,Landed 09:25,,2024-11-04 23:55:03
Arrivals,09:40,09:13,Berlin,easyJet,DS1186,Landed 09:09,,2024-11-04 23:55:03
Arrivals,09:50,09:53,Salzburg,Airlink,JAR5,Landed 09:49,Cargo,2024-11-04 23:55:03
Arrivals,09:50,09:31,Hamburg,easyJet,DS1182,Landed 09:28,,2024-11-04 23:55:03
Arrivals,10:05,10:16,Nantes,easyJet,DS1062,Landed 10:12,,2024-11-04 23:55:03
Arrivals,10:05,11:21,London Heathrow,British Airways,BA752,Landed 11:18,,2024-11-04 23:55:03
Arrivals,10:05,09:44,Istanbul,Turkish Airlines,TK1923,Landed 09:42,,2024-11-04 23:55:03
