time,expected,origin,airline,status,scrape_time
07:3006:57,06:57,New York,UNITED AIRLINES,Arrived,2024-10-25 07:19:52
07:3007:04,07:04,Beijing,AIR CHINA,Arrived,2024-10-25 07:19:52
07:3507:43,07:43,Doha,QATAR AIRWAYS,,2024-10-25 07:19:52
07:4007:08,07:08,Washington,UNITED AIRLINES,Arrived,2024-10-25 07:19:52
07:5507:53,07:53,Abu Dhabi,ETIHAD AIRWAYS,,2024-10-25 07:19:52
07:5508:00,08:00,Palma de Mallorca,EASYJET,,2024-10-25 07:19:52
07:5508:09,08:09,Brussels,BRUSSELS AIRLINES,,2024-10-25 07:19:52
08:1508:02,08:02,Venice,EASYJET,,2024-10-25 07:19:52
08:2008:24,08:24,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 07:19:52
08:20,,Paris,AIR FRANCE,,2024-10-25 07:19:52
08:30,,Zurich,SWISS,Aheaded,2024-10-25 07:19:52
08:35,,Frankfurt,LUFTHANSA,,2024-10-25 07:19:52
08:3508:32,08:32,Malaga,EASYJET,,2024-10-25 07:19:52
08:4508:40,08:40,Naples,EASYJET,,2024-10-25 07:19:52
08:50,,Amsterdam,EASYJET,,2024-10-25 07:19:52
08:50,,Vienna,AUSTRIAN,,2024-10-25 07:19:52
08:55,,Munich,AIR DOLOMITI,,2024-10-25 07:19:52
08:55,,Barcelona,VUELING,,2024-10-25 07:19:52
09:0508:55,08:55,Alicante,EASYJET,,2024-10-25 07:19:52
09:05,,London,EASYJET,,2024-10-25 07:19:52
09:05,,Paris,EASYJET,,2024-10-25 07:19:52
09:10,,London,BRITISH AIRWAYS,,2024-10-25 07:19:52
09:15,,Nice,EASYJET,,2024-10-25 07:19:52
09:1508:30,08:30,New York,SWISS,,2024-10-25 07:19:52
09:15,,Madrid,IBERIA,,2024-10-25 07:19:52
09:20,,Barcelona,EASYJET,,2024-10-25 07:19:52
09:25,,Brussels,EASYJET,,2024-10-25 07:19:52
09:3009:07,09:07,Istanbul,TURKISH AIRLINES,,2024-10-25 07:19:52
09:30,,Porto,EASYJET,,2024-10-25 07:19:52
09:35,,London,SWISS,,2024-10-25 07:19:52
09:40,,Paris,AIR FRANCE,,2024-10-25 07:19:52
09:45,,Warsaw,LOT POLISH AIRLINES,,2024-10-25 07:19:52
09:4509:33,09:33,Faro,EASYJET,,2024-10-25 07:19:52
09:5009:30,09:30,Montreal,AIR CANADA,,2024-10-25 07:19:52
10:00,,Zurich,SWISS,,2024-10-25 07:19:52
10:05,,Frankfurt,SWISS,,2024-10-25 07:19:52
10:05,,Brussels,SWISS,,2024-10-25 07:19:52
10:0509:46,09:46,Helsinki,FINNAIR,,2024-10-25 07:19:52
10:10,,London,EASYJET,,2024-10-25 07:19:52
10:10,,Berlin,EASYJET,,2024-10-25 07:19:52
10:15,,Nantes,EASYJET,,2024-10-25 07:19:52
10:15,,Edinburgh,EASYJET,,2024-10-25 07:19:52
10:20,,Rome,EASYJET,,2024-10-25 07:19:52
10:25,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-25 07:19:52
