time,expected,destination,airline,status,scrape_time
12:30,,Geneva,EASYJET,Cancelled,2024-11-02 10:34:04
16:45,,Malaga,EASYJET,Took off,2024-11-02 10:34:04
16:5518:50,18:50,Casablanca,ROYAL AIR MAROC,,2024-11-02 10:34:04
17:0017:00,17:00,Brussels,BRUSSELS AIRLINES,Took off,2024-11-02 10:34:04
17:0017:00,17:00,Munich,AIR DOLOMITI,Took off,2024-11-02 10:34:04
17:0517:10,17:10,Palma de Mallorca,EASYJET,Took off,2024-11-02 10:34:04
17:05,,Lisbon,EASYJET,Took off,2024-11-02 10:34:04
17:10,,Malta,EASYJET,Took off,2024-11-02 10:34:04
17:3017:40,17:40,Amsterdam,KLM ROYAL DUTCH AIRLINES,Boarding,2024-11-02 10:34:04
17:35,,Palma de Mallorca,EASYJET,Took off,2024-11-02 10:34:04
17:4517:45,17:45,Berlin,SWISS,Departed,2024-11-02 10:34:04
17:45,,Barcelona,VUELING,Boarding,2024-11-02 10:34:04
17:50,,London,BRITISH AIRWAYS,Boarding,2024-11-02 10:34:04
17:5018:10,18:10,London,SWISS,Go to gate,2024-11-02 10:34:04
18:10,,Barcelona,EASYJET,Boarding,2024-11-02 10:34:04
18:15,,Paris,AIR FRANCE,Go to gate,2024-11-02 10:34:04
18:1519:40,19:40,Lisbon,TAP PORTUGAL,,2024-11-02 10:34:04
18:20,,Istanbul,TURKISH AIRLINES,Go to gate,2024-11-02 10:34:04
18:20,,Palermo,EASYJET,Go to gate,2024-11-02 10:34:04
18:25,,Frankfurt,AIR DOLOMITI,,2024-11-02 10:34:04
18:30,,Olbia,EASYJET,,2024-11-02 10:34:04
18:35,,Madrid,IBERIA,,2024-11-02 10:34:04
18:4519:00,19:00,Antalya,PEGASUS,,2024-11-02 10:34:04
18:5019:25,19:25,Nantes,EASYJET,,2024-11-02 10:34:04
18:55,,Zurich,SWISS,,2024-11-02 10:34:04
19:00,,Bordeaux,EASYJET,,2024-11-02 10:34:04
19:00,,Helsinki,FINNAIR,,2024-11-02 10:34:04
19:10,,Tunis,TUNISAIR,,2024-11-02 10:34:04
19:10,,Brussels,SWISS,,2024-11-02 10:34:04
19:15,,Porto,TAP PORTUGAL,,2024-11-02 10:34:04
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-02 10:34:04
19:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-02 10:34:04
19:55,,Vienna,AUSTRIAN,,2024-11-02 10:34:04
20:05,,London,EASYJET,,2024-11-02 10:34:04
20:15,,Zurich,SWISS,,2024-11-02 10:34:04
20:30,,Paris,AIR FRANCE,,2024-11-02 10:34:04
20:40,,Dubai,EMIRATES,,2024-11-02 10:34:04
20:45,,Madrid,IBERIA,,2024-11-02 10:34:04
20:50,,London,SWISS,,2024-11-02 10:34:04
21:10,,Porto,EASYJET,,2024-11-02 10:34:04
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-02 10:34:04
