time,expected,origin,airline,status,scrape_time
11:00,,London,EASYJET,Cancelled,2024-10-27 12:35:13
11:3511:27,11:27,Santiago de Compostela,EASYJET,Arrived,2024-10-27 12:35:13
11:4012:06,12:06,London,SWISS,Arrived,2024-10-27 12:35:13
11:4511:34,11:34,Belgrade,EASYJET,Arrived,2024-10-27 12:35:13
11:4511:25,11:25,London,EASYJET,Arrived,2024-10-27 12:35:13
11:5011:36,11:36,Madrid,IBERIA,Arrived,2024-10-27 12:35:13
11:5511:52,11:52,Copenhagen,EASYJET,Arrived,2024-10-27 12:35:13
12:0511:56,11:56,Malaga,EASYJET,Arrived,2024-10-27 12:35:13
12:2012:24,12:24,Enfidha,EASYJET,Arrived,2024-10-27 12:35:13
12:2012:26,12:26,Nice,EASYJET,Arrived,2024-10-27 12:35:13
12:3012:47,12:47,Bordeaux,EASYJET,,2024-10-27 12:35:13
12:4012:38,12:38,Porto,EASYJET,,2024-10-27 12:35:13
12:4012:17,12:17,Brindisi,EASYJET,Arrived,2024-10-27 12:35:13
12:4512:36,12:36,Tunis,NOUVELAIR TUNISIE,,2024-10-27 12:35:13
12:4513:02,13:02,Dubai,EMIRATES,,2024-10-27 12:35:13
12:50,,Zurich,SWISS,,2024-10-27 12:35:13
12:5513:06,13:06,Pristina,GP AVIATION,,2024-10-27 12:35:13
13:0513:10,13:10,Marrakech,EASYJET,,2024-10-27 12:35:13
13:05,,Frankfurt,LUFTHANSA,,2024-10-27 12:35:13
13:0512:46,12:46,Cairo,EGYPTAIR,,2024-10-27 12:35:13
13:10,,Porto,EASYJET,Delayed,2024-10-27 12:35:13
13:2013:06,13:06,Istanbul,PEGASUS,,2024-10-27 12:35:13
13:2513:18,13:18,Madrid,IBERIA,,2024-10-27 12:35:13
13:3013:36,13:36,London,BRITISH AIRWAYS,,2024-10-27 12:35:13
13:3013:01,13:01,Dublin,AER LINGUS,,2024-10-27 12:35:13
13:30,,Nice,EASYJET,,2024-10-27 12:35:13
13:3513:10,13:10,Jeddah,SAUDIA,,2024-10-27 12:35:13
13:4513:10,13:10,Doha,QATAR AIRWAYS,,2024-10-27 12:35:13
13:4513:22,13:22,Pristina,EASYJET,,2024-10-27 12:35:13
13:45,,Zurich,SWISS,,2024-10-27 12:35:13
13:50,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 12:35:13
13:5013:20,13:20,Istanbul,TURKISH AIRLINES,,2024-10-27 12:35:13
