time,expected,origin,airline,status,scrape_time
06:3006:21,06:21,Addis Ababa,ETHIOPIAN AIRLINES,Arrived,2024-10-24 07:12:38
07:3007:24,07:24,Beijing,AIR CHINA,,2024-10-24 07:12:38
07:3007:11,07:11,New York,UNITED AIRLINES,,2024-10-24 07:12:38
07:4007:23,07:23,Washington,UNITED AIRLINES,,2024-10-24 07:12:38
07:4007:32,07:32,Luxembourg,LUXAIR,,2024-10-24 07:12:38
07:4007:39,07:39,Palma de Mallorca,EASYJET,,2024-10-24 07:12:38
07:5507:58,07:58,Brussels,BRUSSELS AIRLINES,,2024-10-24 07:12:38
07:5508:20,08:20,Abu Dhabi,ETIHAD AIRWAYS,,2024-10-24 07:12:38
08:0007:44,07:44,Nice,EASYJET,,2024-10-24 07:12:38
08:20,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-24 07:12:38
08:20,,Paris,AIR FRANCE,,2024-10-24 07:12:38
08:2508:19,08:19,Barcelona,EASYJET,,2024-10-24 07:12:38
08:30,,Zurich,SWISS,,2024-10-24 07:12:38
08:35,,Frankfurt,LUFTHANSA,,2024-10-24 07:12:38
08:3508:36,08:36,Malaga,EASYJET,,2024-10-24 07:12:38
08:45,,Naples,EASYJET,,2024-10-24 07:12:38
08:50,,Vienna,AUSTRIAN,,2024-10-24 07:12:38
08:55,,Munich,AIR DOLOMITI,,2024-10-24 07:12:38
09:0009:02,09:02,Istanbul,TURKISH AIRLINES,,2024-10-24 07:12:38
09:05,,Paris,EASYJET,,2024-10-24 07:12:38
09:10,,London,EASYJET,,2024-10-24 07:12:38
09:1509:38,09:38,New York,SWISS,,2024-10-24 07:12:38
09:15,,Madrid,IBERIA,,2024-10-24 07:12:38
09:25,,Brussels,EASYJET,,2024-10-24 07:12:38
09:30,,Dublin,AER LINGUS,,2024-10-24 07:12:38
09:35,,London,SWISS,,2024-10-24 07:12:38
09:40,,Paris,AIR FRANCE,,2024-10-24 07:12:38
09:45,,Warsaw,LOT POLISH AIRLINES,,2024-10-24 07:12:38
09:45,,Porto,EASYJET,,2024-10-24 07:12:38
09:55,,Cagliari,EASYJET,,2024-10-24 07:12:38
10:00,,Tunis,TUNISAIR,,2024-10-24 07:12:38
10:00,,Zurich,SWISS,,2024-10-24 07:12:38
10:05,,Brussels,SWISS,,2024-10-24 07:12:38
10:05,,Frankfurt,SWISS,,2024-10-24 07:12:38
10:05,,Faro,EASYJET,,2024-10-24 07:12:38
10:10,,Berlin,EASYJET,,2024-10-24 07:12:38
10:20,,Rome,EASYJET,,2024-10-24 07:12:38
10:25,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-24 07:12:38
10:30,,Athens,AEGEAN AIRLINES,,2024-10-24 07:12:38
10:30,,Bordeaux,EASYJET,,2024-10-24 07:12:38
10:40,,London,BRITISH AIRWAYS,,2024-10-24 07:12:38
10:4510:32,10:32,New York,DELTA AIR LINES,,2024-10-24 07:12:38
10:45,,Rome,ITA AIRWAYS,,2024-10-24 07:12:38
10:50,,Lisbon,EASYJET,,2024-10-24 07:12:38
10:55,,Catania,EASYJET,,2024-10-24 07:12:38
11:00,,London,EASYJET,,2024-10-24 07:12:38
11:00,,Tel AvivVIA Larnaca,ARKIA,Delayed,2024-10-24 07:12:38
11:05,,Santiago de Compostela,EASYJET,,2024-10-24 07:12:38
11:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-24 07:12:38
11:10,,Paris,AIR FRANCE,,2024-10-24 07:12:38
11:15,,Porto,EASYJET,,2024-10-24 07:12:38
11:20,,Oslo,NORWEGIAN AIR SHUTTLE,,2024-10-24 07:12:38
11:20,,Valencia,SWISS,,2024-10-24 07:12:38
11:35,,London,SWISS,,2024-10-24 07:12:38
11:35,,Pristina,EASYJET,,2024-10-24 07:12:38
11:40,,Alicante,SWISS,,2024-10-24 07:12:38
11:50,,Madrid,IBERIA,,2024-10-24 07:12:38
11:55,,Copenhagen,EASYJET,,2024-10-24 07:12:38
12:00,,Casablanca,AIR ARABIA MAROC,,2024-10-24 07:12:38
12:10,,Lisbon,TAP PORTUGAL,,2024-10-24 07:12:38
12:10,,Pristina,SWISS,,2024-10-24 07:12:38
12:30,,Munich,AIR DOLOMITI,,2024-10-24 07:12:38
12:40,,Nice,EASYJET,,2024-10-24 07:12:38
12:45,,Zurich,SWISS,,2024-10-24 07:12:38
12:50,,Porto,EASYJET,,2024-10-24 07:12:38
