time,expected,origin,airline,status,scrape_time
06:1506:07,06:07,Addis Ababa,ETHIOPIAN AIRLINES,Arrived,2024-11-01 23:25:55
06:2506:15,06:15,New York,UNITED AIRLINES,Arrived,2024-11-01 23:25:55
06:3506:18,06:18,Washington,UNITED AIRLINES,Arrived,2024-11-01 23:25:55
06:5506:45,06:45,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-01 23:25:55
07:1506:23,06:23,Beijing,AIR CHINA,Arrived,2024-11-01 23:25:55
07:50,,Nice,EASYJET,,2024-11-01 23:25:55
07:50,,Barcelona,EASYJET,,2024-11-01 23:25:55
07:55,,Palma de Mallorca,EASYJET,,2024-11-01 23:25:55
07:55,,Brussels,BRUSSELS AIRLINES,,2024-11-01 23:25:55
08:00,,Berlin,EASYJET,,2024-11-01 23:25:55
08:00,,Naples,EASYJET,,2024-11-01 23:25:55
08:10,,Frankfurt,LUFTHANSA,,2024-11-01 23:25:55
08:15,,Paris,AIR FRANCE,,2024-11-01 23:25:55
08:15,,Madrid,IBERIA,,2024-11-01 23:25:55
08:15,,Barcelona,VUELING,,2024-11-01 23:25:55
08:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:25:55
08:25,,Zurich,SWISS,,2024-11-01 23:25:55
08:40,,Munich,AIR DOLOMITI,,2024-11-01 23:25:55
08:45,,Bristol,EASYJET,,2024-11-01 23:25:55
08:50,,Vienna,AUSTRIAN,,2024-11-01 23:25:55
08:50,,Amsterdam,EASYJET,,2024-11-01 23:25:55
09:00,,Paris,EASYJET,,2024-11-01 23:25:55
09:15,,Brussels,EASYJET,,2024-11-01 23:25:55
09:15,,Porto,EASYJET,,2024-11-01 23:25:55
09:20,,Istanbul,TURKISH AIRLINES,,2024-11-01 23:25:55
09:2009:15,09:15,New York,SWISS,,2024-11-01 23:25:55
09:35,,London,SWISS,,2024-11-01 23:25:55
09:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-01 23:25:55
09:40,,Paris,AIR FRANCE,,2024-11-01 23:25:55
09:40,,London,EASYJET,,2024-11-01 23:25:55
09:50,,Faro,EASYJET,,2024-11-01 23:25:55
10:0009:13,09:13,Montreal,AIR CANADA,,2024-11-01 23:25:55
10:00,,Zurich,SWISS,,2024-11-01 23:25:55
10:00,,London,EASYJET,,2024-11-01 23:25:55
10:05,,Helsinki,FINNAIR,,2024-11-01 23:25:55
10:10,,Athens,AEGEAN AIRLINES,,2024-11-01 23:25:55
