time,expected,origin,airline,status,scrape_time
21:4521:59,21:59,Biarritz,SWISS,Arrived,2024-10-25 22:23:57
21:5022:35,22:35,Zurich,SWISS,,2024-10-25 22:23:57
21:5521:51,21:51,Paris,AIR FRANCE,Arrived,2024-10-25 22:23:57
22:0022:24,22:24,London,SWISS,,2024-10-25 22:23:57
22:0022:02,22:02,Vienna,SWISS,Arrived,2024-10-25 22:23:57
22:0022:50,22:50,Nice,SWISS,,2024-10-25 22:23:57
22:1022:18,22:18,Nantes,EASYJET,Arrived,2024-10-25 22:23:57
22:1023:59,23:59,Chania,EASYJET,,2024-10-25 22:23:57
22:1022:07,22:07,Frankfurt,SWISS,Arrived,2024-10-25 22:23:57
22:1522:22,22:22,Amsterdam,KLM ROYAL DUTCH AIRLINES,Arrived,2024-10-25 22:23:57
22:2022:13,22:13,Madrid,IBERIA,Arrived,2024-10-25 22:23:57
22:2022:27,22:27,Paris,EASYJET,,2024-10-25 22:23:57
22:2023:40,23:40,Valencia,EASYJET,,2024-10-25 22:23:57
22:3022:05,22:05,Skopje,EASYJET,Arrived,2024-10-25 22:23:57
22:3022:16,22:16,Porto,EASYJET,Arrived,2024-10-25 22:23:57
22:30,,Rome,EASYJET,Delayed,2024-10-25 22:23:57
22:3522:20,22:20,Olbia,EASYJET,Arrived,2024-10-25 22:23:57
22:4023:03,23:03,London,BRITISH AIRWAYS,,2024-10-25 22:23:57
22:45,,Nice,EASYJET,,2024-10-25 22:23:57
22:45,,Bordeaux,EASYJET,Cancelled,2024-10-25 22:23:57
22:50,,Amsterdam,EASYJET,Delayed,2024-10-25 22:23:57
22:5522:49,22:49,London,EASYJET,,2024-10-25 22:23:57
22:5522:42,22:42,Dublin,SWISS,,2024-10-25 22:23:57
23:0023:01,23:01,Brussels,EASYJET,,2024-10-25 22:23:57
23:00,,Copenhagen,EASYJET,Delayed,2024-10-25 22:23:57
23:0023:17,23:17,Lisbon,EASYJET,,2024-10-25 22:23:57
23:0022:56,22:56,Marrakech,EASYJET,,2024-10-25 22:23:57
23:0523:17,23:17,Porto,SWISS,,2024-10-25 22:23:57
23:10,,Munich,AIR DOLOMITI,Delayed,2024-10-25 22:23:57
23:15,,Lisbon,TAP PORTUGAL,Delayed,2024-10-25 22:23:57
23:2523:17,23:17,Catania,SWISS,,2024-10-25 22:23:57
23:3023:22,23:22,Athens,SWISS,,2024-10-25 22:23:57
23:35,,Zurich,SWISS,,2024-10-25 22:23:57
