time,expected,origin,airline,status,scrape_time
18:2518:58,18:58,Lisbon,EASYJET,Arrived,2024-10-25 19:23:23
18:3018:24,18:24,Brussels,EASYJET,Arrived,2024-10-25 19:23:23
18:4018:38,18:38,Barcelona,EASYJET,Arrived,2024-10-25 19:23:23
18:4018:36,18:36,Amsterdam,KLM ROYAL DUTCH AIRLINES,Arrived,2024-10-25 19:23:23
18:4518:46,18:46,Frankfurt,LUFTHANSA,Arrived,2024-10-25 19:23:23
18:5520:40,20:40,Pristina,EASYJET,,2024-10-25 19:23:23
19:0018:48,18:48,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-25 19:23:23
19:0019:11,19:11,Nice,EASYJET,Arrived,2024-10-25 19:23:23
19:0019:13,19:13,Bordeaux,EASYJET,Arrived,2024-10-25 19:23:23
19:0019:08,19:08,Zurich,SWISS,Arrived,2024-10-25 19:23:23
19:0519:16,19:16,Vienna,AUSTRIAN,Arrived,2024-10-25 19:23:23
19:1519:28,19:28,Luxembourg,LUXAIR,,2024-10-25 19:23:23
19:2018:19,18:19,Maurice,AIR MAURITIUS,Arrived,2024-10-25 19:23:23
19:2019:05,19:05,Dubai,EMIRATES,Arrived,2024-10-25 19:23:23
19:2519:25,19:25,Munich,AIR DOLOMITI,,2024-10-25 19:23:23
19:2519:44,19:44,Prague,EUROWINGS,,2024-10-25 19:23:23
19:3019:18,19:18,Copenhagen,SAS SCANDINAVIAN AIRLINES,Arrived,2024-10-25 19:23:23
19:3019:31,19:31,Athens,AEGEAN AIRLINES,,2024-10-25 19:23:23
19:35,,London,EASYJET,Delayed,2024-10-25 19:23:23
19:3519:20,19:20,Barcelona,VUELING,Arrived,2024-10-25 19:23:23
19:5020:01,20:01,Paris,AIR FRANCE,,2024-10-25 19:23:23
19:5520:12,20:12,London,SWISS,,2024-10-25 19:23:23
20:0020:05,20:05,Madrid,IBERIA,,2024-10-25 19:23:23
20:00,,Palma de Mallorca,EASYJET,Delayed,2024-10-25 19:23:23
20:0520:15,20:15,Düsseldorf,EUROWINGS,,2024-10-25 19:23:23
20:20,,Edinburgh,EASYJET,Delayed,2024-10-25 19:23:23
20:2020:31,20:31,London,EASYJET,,2024-10-25 19:23:23
20:2020:08,20:08,Berlin,EASYJET,,2024-10-25 19:23:23
20:2020:23,20:23,Barcelona,EASYJET,,2024-10-25 19:23:23
20:30,,Brussels,BRUSSELS AIRLINES,,2024-10-25 19:23:23
20:35,,London,BRITISH AIRWAYS,Delayed,2024-10-25 19:23:23
20:4020:54,20:54,Porto,EASYJET,,2024-10-25 19:23:23
21:00,,Toulouse,EASYJET,,2024-10-25 19:23:23
21:45,,Biarritz,SWISS,,2024-10-25 19:23:23
21:50,,Zurich,SWISS,,2024-10-25 19:23:23
21:55,,Paris,AIR FRANCE,,2024-10-25 19:23:23
22:00,,London,SWISS,,2024-10-25 19:23:23
22:00,,Vienna,SWISS,,2024-10-25 19:23:23
22:00,,Nice,SWISS,,2024-10-25 19:23:23
22:10,,Nantes,EASYJET,,2024-10-25 19:23:23
22:10,,Chania,EASYJET,Delayed,2024-10-25 19:23:23
22:10,,Frankfurt,SWISS,,2024-10-25 19:23:23
22:15,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 19:23:23
22:20,,Madrid,IBERIA,,2024-10-25 19:23:23
22:20,,Paris,EASYJET,,2024-10-25 19:23:23
22:20,,Valencia,EASYJET,,2024-10-25 19:23:23
22:30,,Skopje,EASYJET,,2024-10-25 19:23:23
22:30,,Porto,EASYJET,,2024-10-25 19:23:23
22:30,,Rome,EASYJET,,2024-10-25 19:23:23
22:35,,Olbia,EASYJET,,2024-10-25 19:23:23
22:40,,London,BRITISH AIRWAYS,,2024-10-25 19:23:23
22:45,,Nice,EASYJET,,2024-10-25 19:23:23
22:45,,Bordeaux,EASYJET,,2024-10-25 19:23:23
22:50,,Amsterdam,EASYJET,,2024-10-25 19:23:23
22:55,,London,EASYJET,,2024-10-25 19:23:23
22:55,,Dublin,SWISS,,2024-10-25 19:23:23
23:00,,Brussels,EASYJET,,2024-10-25 19:23:23
23:00,,Copenhagen,EASYJET,,2024-10-25 19:23:23
23:00,,Lisbon,EASYJET,,2024-10-25 19:23:23
23:00,,Marrakech,EASYJET,,2024-10-25 19:23:23
23:05,,Porto,SWISS,,2024-10-25 19:23:23
23:10,,Munich,AIR DOLOMITI,,2024-10-25 19:23:23
23:15,,Lisbon,TAP PORTUGAL,,2024-10-25 19:23:23
23:25,,Catania,SWISS,,2024-10-25 19:23:23
23:30,,Athens,SWISS,,2024-10-25 19:23:23
23:35,,Zurich,SWISS,,2024-10-25 19:23:23
