time,expected,origin,airline,status,scrape_time
09:2509:26,09:26,Brussels,EASYJET,Arrived,2024-10-25 10:20:59
09:3009:10,09:10,Istanbul,TURKISH AIRLINES,Arrived,2024-10-25 10:20:59
09:3009:39,09:39,Porto,EASYJET,Arrived,2024-10-25 10:20:59
09:3509:31,09:31,London,SWISS,Arrived,2024-10-25 10:20:59
09:4009:48,09:48,Paris,AIR FRANCE,Arrived,2024-10-25 10:20:59
09:4509:55,09:55,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-25 10:20:59
09:4509:15,09:15,Faro,EASYJET,Arrived,2024-10-25 10:20:59
09:5009:34,09:34,Montreal,AIR CANADA,Arrived,2024-10-25 10:20:59
10:0010:08,10:08,Zurich,SWISS,Arrived,2024-10-25 10:20:59
10:0510:11,10:11,Frankfurt,SWISS,Arrived,2024-10-25 10:20:59
10:0510:28,10:28,Brussels,SWISS,,2024-10-25 10:20:59
10:0509:53,09:53,Helsinki,FINNAIR,Arrived,2024-10-25 10:20:59
10:1010:27,10:27,London,EASYJET,,2024-10-25 10:20:59
10:1009:50,09:50,Berlin,EASYJET,Arrived,2024-10-25 10:20:59
10:1510:26,10:26,Nantes,EASYJET,,2024-10-25 10:20:59
10:1510:00,10:00,Edinburgh,EASYJET,Arrived,2024-10-25 10:20:59
10:2010:22,10:22,Rome,EASYJET,,2024-10-25 10:20:59
10:2510:14,10:14,Copenhagen,SAS SCANDINAVIAN AIRLINES,Arrived,2024-10-25 10:20:59
10:3010:06,10:06,Lisbon,EASYJET,Arrived,2024-10-25 10:20:59
10:3510:22,10:22,Beirut,MEA MIDDLE EAST AIRLINES,,2024-10-25 10:20:59
10:4010:46,10:46,Rome,ITA AIRWAYS,,2024-10-25 10:20:59
10:4510:37,10:37,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
10:4510:02,10:02,New York,DELTA AIR LINES,Arrived,2024-10-25 10:20:59
10:5010:51,10:51,Toulouse,EASYJET,,2024-10-25 10:20:59
10:5510:40,10:40,Catania,EASYJET,,2024-10-25 10:20:59
11:00,,London,EASYJET,Delayed,2024-10-25 10:20:59
11:0010:46,10:46,Athens,AEGEAN AIRLINES,,2024-10-25 10:20:59
11:10,,Paris,AIR FRANCE,,2024-10-25 10:20:59
11:1511:27,11:27,Porto,EASYJET,,2024-10-25 10:20:59
11:2011:18,11:18,Valencia,SWISS,,2024-10-25 10:20:59
11:25,,Brindisi,SWISS,,2024-10-25 10:20:59
11:3511:35,11:35,Pristina,EASYJET,,2024-10-25 10:20:59
11:35,,London,SWISS,Delayed,2024-10-25 10:20:59
11:50,,Madrid,IBERIA,,2024-10-25 10:20:59
11:55,,Manchester,EASYJET,,2024-10-25 10:20:59
12:00,,Seville,EASYJET,,2024-10-25 10:20:59
12:0011:51,11:51,Alicante,SWISS,,2024-10-25 10:20:59
12:05,,Porto,EASYJET,,2024-10-25 10:20:59
12:10,,Lisbon,TAP PORTUGAL,,2024-10-25 10:20:59
12:15,,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
12:20,,Thessaloniki,SWISS,,2024-10-25 10:20:59
12:20,,Nice,EASYJET,,2024-10-25 10:20:59
12:40,,Warsaw,LOT POLISH AIRLINES,,2024-10-25 10:20:59
12:40,,Athens,EASYJET,,2024-10-25 10:20:59
12:45,,Zurich,SWISS,,2024-10-25 10:20:59
13:05,,Pristina,GP AVIATION,,2024-10-25 10:20:59
13:10,,Marrakech,EASYJET,Delayed,2024-10-25 10:20:59
13:1513:19,13:19,Dubai,EMIRATES,,2024-10-25 10:20:59
13:20,,Istanbul,PEGASUS,,2024-10-25 10:20:59
13:25,,Frankfurt,AIR DOLOMITI,,2024-10-25 10:20:59
13:25,,Madrid,IBERIA,,2024-10-25 10:20:59
13:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 10:20:59
13:45,,Istanbul,TURKISH AIRLINES,,2024-10-25 10:20:59
13:50,,Paris,AIR FRANCE,,2024-10-25 10:20:59
13:55,,Manchester,EASYJET,,2024-10-25 10:20:59
13:55,,Zurich,SWISS,,2024-10-25 10:20:59
13:55,,Bordeaux,EASYJET,,2024-10-25 10:20:59
14:00,,Ibiza,EASYJET,,2024-10-25 10:20:59
14:0014:13,14:13,Cairo,EGYPTAIR,,2024-10-25 10:20:59
14:0014:00,14:00,Kuwait,KUWAIT AIRWAYS,,2024-10-25 10:20:59
14:05,,Frankfurt,SWISS,,2024-10-25 10:20:59
14:10,,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
14:10,,Izmir,SUN EXPRESS,,2024-10-25 10:20:59
14:25,,Budapest,EASYJET,,2024-10-25 10:20:59
14:3514:21,14:21,Riyadh,SAUDIA,,2024-10-25 10:20:59
14:50,,Lille,EASYJET,,2024-10-25 10:20:59
14:50,,Marrakech,SWISS,,2024-10-25 10:20:59
14:50,,Bucharest,WIZZ AIR,,2024-10-25 10:20:59
14:55,,Nice,EASYJET,,2024-10-25 10:20:59
14:55,,Birmingham,EASYJET,,2024-10-25 10:20:59
15:05,,Malaga,EASYJET,,2024-10-25 10:20:59
15:20,,Porto,EASYJET,,2024-10-25 10:20:59
15:25,,Naples,EASYJET,,2024-10-25 10:20:59
15:35,,Belgrade,EASYJET,,2024-10-25 10:20:59
15:55,,Amsterdam,EASYJET,,2024-10-25 10:20:59
16:00,,Antalya,SUN EXPRESS,,2024-10-25 10:20:59
16:05,,Gran Canaria,EASYJET,,2024-10-25 10:20:59
16:10,,Prague,EASYJET,,2024-10-25 10:20:59
16:10,,London,EASYJET,,2024-10-25 10:20:59
16:10,,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
16:10,,Paris,AIR FRANCE,,2024-10-25 10:20:59
16:15,,Brindisi,EASYJET,,2024-10-25 10:20:59
16:30,,Algiers,AIR ALGERIE,,2024-10-25 10:20:59
16:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 10:20:59
16:30,,Dublin,AER LINGUS,,2024-10-25 10:20:59
16:30,,Barcelona,EASYJET,,2024-10-25 10:20:59
16:35,,Luxembourg,LUXAIR,,2024-10-25 10:20:59
16:45,,Munich,AIR DOLOMITI,,2024-10-25 10:20:59
16:45,,Palma de Mallorca,EASYJET,,2024-10-25 10:20:59
16:50,,Malaga,SWISS,,2024-10-25 10:20:59
16:50,,Stockholm,SWISS,,2024-10-25 10:20:59
16:55,,Casablanca,ROYAL AIR MAROC,,2024-10-25 10:20:59
17:00,,Tunis,TUNISAIR,,2024-10-25 10:20:59
17:05,,Copenhagen,SWISS,,2024-10-25 10:20:59
17:05,,London,SWISS,,2024-10-25 10:20:59
17:05,,Manchester,EASYJET,,2024-10-25 10:20:59
17:15,,Frankfurt,AIR DOLOMITI,,2024-10-25 10:20:59
17:20,,Santiago de Compostela,EASYJET,,2024-10-25 10:20:59
17:25,,Copenhagen,EASYJET,,2024-10-25 10:20:59
17:25,,Alicante,EASYJET,,2024-10-25 10:20:59
17:25,,Paris,AIR FRANCE,,2024-10-25 10:20:59
17:30,,Lisbon,TAP PORTUGAL,,2024-10-25 10:20:59
17:30,,Palma de Mallorca,SWISS,,2024-10-25 10:20:59
17:35,,Zurich,SWISS,,2024-10-25 10:20:59
17:35,,Bristol,EASYJET,,2024-10-25 10:20:59
17:40,,Istanbul,TURKISH AIRLINES,,2024-10-25 10:20:59
17:45,,Porto,SWISS,,2024-10-25 10:20:59
17:55,,Lisbon,SWISS,,2024-10-25 10:20:59
18:00,,Rome,ITA AIRWAYS,,2024-10-25 10:20:59
18:00,,Brindisi,EASYJET,,2024-10-25 10:20:59
18:05,,Hamburg,SWISS,,2024-10-25 10:20:59
18:10,,Helsinki,FINNAIR,,2024-10-25 10:20:59
18:15,,Stockholm,EASYJET,,2024-10-25 10:20:59
18:15,,Ibiza,EASYJET,,2024-10-25 10:20:59
18:20,,Brussels,BRUSSELS AIRLINES,,2024-10-25 10:20:59
18:25,,Lisbon,EASYJET,,2024-10-25 10:20:59
18:30,,Brussels,EASYJET,,2024-10-25 10:20:59
18:40,,Barcelona,EASYJET,,2024-10-25 10:20:59
18:40,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 10:20:59
18:45,,Frankfurt,LUFTHANSA,,2024-10-25 10:20:59
18:55,,Pristina,EASYJET,,2024-10-25 10:20:59
19:00,,Warsaw,LOT POLISH AIRLINES,,2024-10-25 10:20:59
19:00,,Nice,EASYJET,,2024-10-25 10:20:59
19:00,,Bordeaux,EASYJET,,2024-10-25 10:20:59
19:00,,Zurich,SWISS,,2024-10-25 10:20:59
19:05,,Vienna,AUSTRIAN,,2024-10-25 10:20:59
19:15,,Luxembourg,LUXAIR,,2024-10-25 10:20:59
19:2018:07,18:07,Maurice,AIR MAURITIUS,,2024-10-25 10:20:59
19:20,,Dubai,EMIRATES,,2024-10-25 10:20:59
19:25,,Munich,AIR DOLOMITI,,2024-10-25 10:20:59
19:25,,Prague,EUROWINGS,,2024-10-25 10:20:59
19:30,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-25 10:20:59
19:30,,Athens,AEGEAN AIRLINES,,2024-10-25 10:20:59
19:35,,London,EASYJET,,2024-10-25 10:20:59
19:35,,Barcelona,VUELING,,2024-10-25 10:20:59
19:50,,Paris,AIR FRANCE,,2024-10-25 10:20:59
19:55,,London,SWISS,,2024-10-25 10:20:59
20:00,,Madrid,IBERIA,,2024-10-25 10:20:59
20:00,,Palma de Mallorca,EASYJET,,2024-10-25 10:20:59
20:05,,Düsseldorf,EUROWINGS,,2024-10-25 10:20:59
20:20,,Edinburgh,EASYJET,,2024-10-25 10:20:59
20:20,,London,EASYJET,,2024-10-25 10:20:59
20:20,,Berlin,EASYJET,,2024-10-25 10:20:59
20:20,,Barcelona,EASYJET,,2024-10-25 10:20:59
20:30,,Brussels,BRUSSELS AIRLINES,,2024-10-25 10:20:59
20:35,,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
20:40,,Porto,EASYJET,,2024-10-25 10:20:59
21:00,,Toulouse,EASYJET,,2024-10-25 10:20:59
21:45,,Biarritz,SWISS,,2024-10-25 10:20:59
21:50,,Zurich,SWISS,,2024-10-25 10:20:59
21:55,,Paris,AIR FRANCE,,2024-10-25 10:20:59
22:00,,London,SWISS,,2024-10-25 10:20:59
22:00,,Vienna,SWISS,,2024-10-25 10:20:59
22:00,,Nice,SWISS,,2024-10-25 10:20:59
22:10,,Nantes,EASYJET,,2024-10-25 10:20:59
22:10,,Chania,EASYJET,,2024-10-25 10:20:59
22:10,,Frankfurt,SWISS,,2024-10-25 10:20:59
22:15,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 10:20:59
22:20,,Madrid,IBERIA,,2024-10-25 10:20:59
22:20,,Paris,EASYJET,,2024-10-25 10:20:59
22:20,,Valencia,EASYJET,,2024-10-25 10:20:59
22:30,,Skopje,EASYJET,,2024-10-25 10:20:59
22:30,,Porto,EASYJET,,2024-10-25 10:20:59
22:30,,Rome,EASYJET,,2024-10-25 10:20:59
22:35,,Olbia,EASYJET,,2024-10-25 10:20:59
22:40,,London,BRITISH AIRWAYS,,2024-10-25 10:20:59
22:45,,Nice,EASYJET,,2024-10-25 10:20:59
22:45,,Bordeaux,EASYJET,,2024-10-25 10:20:59
22:50,,Amsterdam,EASYJET,,2024-10-25 10:20:59
22:55,,London,EASYJET,,2024-10-25 10:20:59
22:55,,Dublin,SWISS,,2024-10-25 10:20:59
