time,expected,origin,airline,status,scrape_time
17:35,,Ankara,AJET,Cancelled,2024-10-26 19:29:54
18:3019:20,19:20,Antalya,PEGASUS,Arrived,2024-10-26 19:29:54
18:3019:03,19:03,Porto,TAP PORTUGAL,Arrived,2024-10-26 19:29:54
18:3519:11,19:11,Lisbon,EASYJET,Arrived,2024-10-26 19:29:54
18:4018:42,18:42,Amsterdam,KLM ROYAL DUTCH AIRLINES,Arrived,2024-10-26 19:29:54
18:4518:40,18:40,Frankfurt,LUFTHANSA,Arrived,2024-10-26 19:29:54
18:5519:30,19:30,Ibiza,EASYJET,,2024-10-26 19:29:54
19:0019:00,19:00,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-26 19:29:54
19:0019:13,19:13,Zurich,SWISS,Arrived,2024-10-26 19:29:54
19:0519:06,19:06,Vienna,AUSTRIAN,Arrived,2024-10-26 19:29:54
19:2019:17,19:17,Dubai,EMIRATES,Arrived,2024-10-26 19:29:54
19:2519:25,19:25,Munich,AIR DOLOMITI,Arrived,2024-10-26 19:29:54
19:2519:09,19:09,Madrid,IBERIA,Arrived,2024-10-26 19:29:54
19:5019:40,19:40,Paris,AIR FRANCE,,2024-10-26 19:29:54
19:5520:14,20:14,London,SWISS,,2024-10-26 19:29:54
20:2020:26,20:26,London,EASYJET,,2024-10-26 19:29:54
20:40,,Porto,EASYJET,Delayed,2024-10-26 19:29:54
20:45,,London,BRITISH AIRWAYS,,2024-10-26 19:29:54
20:4520:35,20:35,Pristina,EASYJET,,2024-10-26 19:29:54
21:1021:06,21:06,Corfu,SWISS,,2024-10-26 19:29:54
21:1021:04,21:04,Santorin,SWISS,,2024-10-26 19:29:54
21:15,,Manchester,ETHIOPIAN AIRLINES,Delayed,2024-10-26 19:29:54
21:35,,Palma de Mallorca,SWISS,,2024-10-26 19:29:54
21:3522:06,22:06,Tenerife,EASYJET,,2024-10-26 19:29:54
21:4021:33,21:33,Mykonos,EASYJET,,2024-10-26 19:29:54
21:50,,Zurich,SWISS,,2024-10-26 19:29:54
21:55,,Paris,AIR FRANCE,,2024-10-26 19:29:54
22:00,,Vienna,SWISS,,2024-10-26 19:29:54
22:00,,London,SWISS,,2024-10-26 19:29:54
22:1021:44,21:44,Oslo,SWISS,,2024-10-26 19:29:54
22:10,,Enfidha,EASYJET,,2024-10-26 19:29:54
22:10,,Frankfurt,SWISS,,2024-10-26 19:29:54
22:15,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-26 19:29:54
22:20,,Madrid,IBERIA,Delayed,2024-10-26 19:29:54
22:35,,Bordeaux,EASYJET,,2024-10-26 19:29:54
22:35,,Porto,EASYJET,,2024-10-26 19:29:54
22:40,,Palermo,EASYJET,,2024-10-26 19:29:54
22:40,,Brindisi,EASYJET,,2024-10-26 19:29:54
22:45,,Heraklion,EASYJET,,2024-10-26 19:29:54
22:45,,Antalya,SWISS,,2024-10-26 19:29:54
22:50,,Malta,EASYJET,,2024-10-26 19:29:54
22:50,,Nantes,EASYJET,,2024-10-26 19:29:54
22:50,,Nice,EASYJET,,2024-10-26 19:29:54
22:50,,Agadir,EASYJET,,2024-10-26 19:29:54
22:55,,Funchal,EASYJET,,2024-10-26 19:29:54
22:5523:22,23:22,Hurghada,EASYJET,,2024-10-26 19:29:54
23:00,,Lisbon,EASYJET,,2024-10-26 19:29:54
23:00,,Santorin,EASYJET,,2024-10-26 19:29:54
23:10,,Munich,AIR DOLOMITI,,2024-10-26 19:29:54
23:10,,London,BRITISH AIRWAYS,,2024-10-26 19:29:54
23:15,,Lisbon,TAP PORTUGAL,,2024-10-26 19:29:54
23:30,,Athens,SWISS,,2024-10-26 19:29:54
23:35,,Zurich,SWISS,,2024-10-26 19:29:54
