time,expected,origin,airline,status,scrape_time
12:3012:32,12:32,Munich,AIR DOLOMITI,Arrived,2024-10-24 13:14:41
12:4012:24,12:24,Nice,EASYJET,Arrived,2024-10-24 13:14:41
12:4512:52,12:52,Zurich,SWISS,Arrived,2024-10-24 13:14:41
12:5012:35,12:35,Porto,EASYJET,Arrived,2024-10-24 13:14:41
13:0513:16,13:16,Marrakech,EASYJET,,2024-10-24 13:14:41
13:1012:39,12:39,Santorin,EASYJET,Arrived,2024-10-24 13:14:41
13:1513:20,13:20,Dubai,EMIRATES,,2024-10-24 13:14:41
13:2013:09,13:09,Istanbul,PEGASUS,Arrived,2024-10-24 13:14:41
13:2513:31,13:31,Frankfurt,AIR DOLOMITI,,2024-10-24 13:14:41
13:2513:11,13:11,Madrid,IBERIA,Arrived,2024-10-24 13:14:41
13:2513:14,13:14,Athens,EASYJET,,2024-10-24 13:14:41
13:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Delayed,2024-10-24 13:14:41
13:4013:50,13:50,Barcelona,VUELING,,2024-10-24 13:14:41
13:4513:24,13:24,Istanbul,TURKISH AIRLINES,,2024-10-24 13:14:41
13:50,,Paris,AIR FRANCE,Delayed,2024-10-24 13:14:41
13:55,,Zurich,SWISS,,2024-10-24 13:14:41
14:0014:30,14:30,Manchester,EASYJET,,2024-10-24 13:14:41
14:0014:00,14:00,Edinburgh,EASYJET,,2024-10-24 13:14:41
14:05,,Frankfurt,SWISS,,2024-10-24 13:14:41
14:1014:20,14:20,Nantes,EASYJET,,2024-10-24 13:14:41
14:1014:11,14:11,London,BRITISH AIRWAYS,,2024-10-24 13:14:41
14:2014:22,14:22,Doha,QATAR AIRWAYS,,2024-10-24 13:14:41
14:30,,Barcelona,EASYJET,,2024-10-24 13:14:41
14:3014:33,14:33,Tunis,NOUVELAIR TUNISIE,,2024-10-24 13:14:41
14:3514:18,14:18,Jeddah,SAUDIA,,2024-10-24 13:14:41
14:40,,Budapest,EASYJET,,2024-10-24 13:14:41
14:40,,Ajaccio,EASYJET,,2024-10-24 13:14:41
14:4514:27,14:27,Heraklion,SWISS,,2024-10-24 13:14:41
14:5014:45,14:45,Marrakech,SWISS,,2024-10-24 13:14:41
14:50,,Enfidha,EASYJET,,2024-10-24 13:14:41
14:55,,Nice,EASYJET,,2024-10-24 13:14:41
15:0014:50,14:50,Malaga,EASYJET,,2024-10-24 13:14:41
15:10,,Alicante,EASYJET,,2024-10-24 13:14:41
15:15,,Olbia,EASYJET,,2024-10-24 13:14:41
