time,expected,origin,airline,status,scrape_time
09:20,,London,BRITISH AIRWAYS,Cancelled,2024-10-22 23:11:26
22:1522:14,22:14,Bari,EASYJET,Arrived,2024-10-22 23:11:26
22:1522:27,22:27,Amsterdam,KLM ROYAL DUTCH AIRLINES,Arrived,2024-10-22 23:11:26
22:2022:08,22:08,Madrid,IBERIA,Arrived,2024-10-22 23:11:26
22:2022:06,22:06,Paris,EASYJET,Arrived,2024-10-22 23:11:26
22:3022:02,22:02,Porto,EASYJET,Arrived,2024-10-22 23:11:26
22:3022:41,22:41,Athens,SWISS,Arrived,2024-10-22 23:11:26
22:3523:50,23:50,Bordeaux,EASYJET,,2024-10-22 23:11:26
22:4022:53,22:53,London,BRITISH AIRWAYS,Arrived,2024-10-22 23:11:26
22:4523:41,23:41,Nice,EASYJET,,2024-10-22 23:11:26
22:4523:30,23:30,Brussels,EASYJET,,2024-10-22 23:11:26
22:4522:39,22:39,Marrakech,EASYJET,Arrived,2024-10-22 23:11:26
22:4522:30,22:30,Edinburgh,EASYJET,Arrived,2024-10-22 23:11:26
22:5022:37,22:37,Barcelona,EASYJET,Arrived,2024-10-22 23:11:26
22:5523:10,23:10,Heraklion,EASYJET,,2024-10-22 23:11:26
22:5522:35,22:35,London,EASYJET,Arrived,2024-10-22 23:11:26
22:5522:50,22:50,Budapest,EASYJET,Arrived,2024-10-22 23:11:26
22:5523:28,23:28,Nantes,EASYJET,,2024-10-22 23:11:26
22:5523:04,23:04,Copenhagen,EASYJET,Arrived,2024-10-22 23:11:26
23:0022:56,22:56,Ibiza,EASYJET,Arrived,2024-10-22 23:11:26
23:0023:06,23:06,Antalya,SWISS,Arrived,2024-10-22 23:11:26
23:1023:02,23:02,Munich,AIR DOLOMITI,Arrived,2024-10-22 23:11:26
23:1023:00,23:00,Pristina,EASYJET,Arrived,2024-10-22 23:11:26
23:1523:19,23:19,Lisbon,TAP PORTUGAL,,2024-10-22 23:11:26
23:3023:27,23:27,Oslo,SWISS,,2024-10-22 23:11:26
23:3523:32,23:32,Zurich,SWISS,,2024-10-22 23:11:26
