time,expected,destination,airline,status,scrape_time
12:30,,Geneva,EASYJET,Cancelled,2024-11-02 12:06:48
18:1018:00,18:00,Barcelona,EASYJET,Took off,2024-11-02 12:06:48
18:15,,Paris,AIR FRANCE,Took off,2024-11-02 12:06:48
18:1519:40,19:40,Lisbon,TAP PORTUGAL,Go to gate,2024-11-02 12:06:48
18:20,,Istanbul,TURKISH AIRLINES,Took off,2024-11-02 12:06:48
18:2018:15,18:15,Palermo,EASYJET,Took off,2024-11-02 12:06:48
18:2518:25,18:25,Frankfurt,AIR DOLOMITI,Took off,2024-11-02 12:06:48
18:3018:20,18:20,Olbia,EASYJET,Took off,2024-11-02 12:06:48
18:3518:35,18:35,Madrid,IBERIA,Took off,2024-11-02 12:06:48
18:4519:00,19:00,Antalya,PEGASUS,Departed,2024-11-02 12:06:48
18:5019:20,19:20,Nantes,EASYJET,Departed,2024-11-02 12:06:48
18:5518:55,18:55,Zurich,SWISS,Took off,2024-11-02 12:06:48
19:0018:55,18:55,Bordeaux,EASYJET,Took off,2024-11-02 12:06:48
19:00,,Helsinki,FINNAIR,Departed,2024-11-02 12:06:48
19:10,,Tunis,TUNISAIR,Next info at 20:30,2024-11-02 12:06:48
19:1019:05,19:05,Brussels,SWISS,Departed,2024-11-02 12:06:48
19:15,,Porto,TAP PORTUGAL,Departed,2024-11-02 12:06:48
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Boarding,2024-11-02 12:06:48
19:40,,Warsaw,LOT POLISH AIRLINES,Go to gate,2024-11-02 12:06:48
19:55,,Vienna,AUSTRIAN,,2024-11-02 12:06:48
20:05,,London,EASYJET,Go to gate,2024-11-02 12:06:48
20:15,,Zurich,SWISS,,2024-11-02 12:06:48
20:30,,Paris,AIR FRANCE,,2024-11-02 12:06:48
20:40,,Dubai,EMIRATES,,2024-11-02 12:06:48
20:45,,Madrid,IBERIA,,2024-11-02 12:06:48
20:50,,London,SWISS,,2024-11-02 12:06:48
21:10,,Porto,EASYJET,,2024-11-02 12:06:48
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-02 12:06:48
