time,expected,destination,airline,status,scrape_time
06:4006:30,06:30,Santiago de Compostela,EASYJET,Took off,2024-11-03 00:37:21
06:4506:40,06:40,Rome,EASYJET,Took off,2024-11-03 00:37:21
06:5506:55,06:55,Frankfurt,LUFTHANSA,Took off,2024-11-03 00:37:21
07:0007:00,07:00,Malaga,SWISS,Took off,2024-11-03 00:37:21
07:0007:00,07:00,Brussels,SWISS,Took off,2024-11-03 00:37:21
07:00,,Belgrade,EASYJET,Took off,2024-11-03 00:37:21
07:0006:55,06:55,London,EASYJET,Took off,2024-11-03 00:37:21
07:00,,Nantes,EASYJET,Took off,2024-11-03 00:37:21
07:1006:55,06:55,Enfidha,EASYJET,Took off,2024-11-03 00:37:21
07:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Took off,2024-11-03 00:37:21
07:1507:12,07:12,Manchester,ETHIOPIAN AIRLINES,Took off,2024-11-03 00:37:21
07:1507:10,07:10,Copenhagen,EASYJET,Took off,2024-11-03 00:37:21
07:2507:25,07:25,London,SWISS,Departed,2024-11-03 00:37:21
07:3007:20,07:20,Porto,EASYJET,Departed,2024-11-03 00:37:21
07:4007:40,07:40,Zurich,SWISS,Departed,2024-11-03 00:37:21
08:00,,Porto,EASYJET,Boarding,2024-11-03 00:37:21
08:05,,Brindisi,EASYJET,Boarding,2024-11-03 00:37:21
08:05,,Marrakech,SWISS,Boarding,2024-11-03 00:37:21
08:20,,Pristina,EASYJET,Boarding,2024-11-03 00:37:21
08:25,,Palma de Mallorca,EASYJET,,2024-11-03 00:37:21
08:35,,Brussels,BRUSSELS AIRLINES,,2024-11-03 00:37:21
08:35,,Munich,AIR DOLOMITI,,2024-11-03 00:37:21
08:45,,Frankfurt,LUFTHANSA,,2024-11-03 00:37:21
08:50,,A Coruna,EASYJET,,2024-11-03 00:37:21
08:55,,Venice,EASYJET,,2024-11-03 00:37:21
09:00,,London,BRITISH AIRWAYS,,2024-11-03 00:37:21
09:05,,Paris,AIR FRANCE,,2024-11-03 00:37:21
09:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:37:21
09:15,,New York,UNITED AIRLINES,,2024-11-03 00:37:21
09:2009:55,09:55,Malaga,EASYJET,,2024-11-03 00:37:21
09:20,,Antalya,SUN EXPRESS,,2024-11-03 00:37:21
09:25,,Bordeaux,EASYJET,,2024-11-03 00:37:21
09:35,,Casablanca,AIR ARABIA MAROC,,2024-11-03 00:37:21
09:35,,Vienna,AUSTRIAN,,2024-11-03 00:37:21
09:40,,Barcelona,VUELING,,2024-11-03 00:37:21
09:50,,Amsterdam,EASYJET,,2024-11-03 00:37:21
09:50,,Marrakech,EASYJET,,2024-11-03 00:37:21
09:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-03 00:37:21
10:05,,Zurich,SWISS,,2024-11-03 00:37:21
10:15,,Porto,EASYJET,,2024-11-03 00:37:21
10:20,,Amsterdam,EASYJET,,2024-11-03 00:37:21
10:20,,Warsaw,LOT POLISH AIRLINES,,2024-11-03 00:37:21
10:30,,Athens,SWISS,,2024-11-03 00:37:21
10:30,,Paris,AIR FRANCE,,2024-11-03 00:37:21
10:35,,Zurich,SWISS,,2024-11-03 00:37:21
10:45,,Faro,EASYJET,,2024-11-03 00:37:21
10:45,,Manchester,EASYJET,,2024-11-03 00:37:21
10:45,,Edinburgh,EASYJET,,2024-11-03 00:37:21
10:50,,Helsinki,FINNAIR,,2024-11-03 00:37:21
10:50,,Nice,EASYJET,,2024-11-03 00:37:21
10:50,,Frankfurt,AIR DOLOMITI,,2024-11-03 00:37:21
10:55,,London,EASYJET,,2024-11-03 00:37:21
11:00,,Istanbul,TURKISH AIRLINES,,2024-11-03 00:37:21
11:05,,Lisbon,SWISS,,2024-11-03 00:37:21
11:10,,Brussels,EASYJET,,2024-11-03 00:37:21
11:10,,Zurich,SWISS,,2024-11-03 00:37:21
11:20,,Washington,UNITED AIRLINES,,2024-11-03 00:37:21
11:40,,New York,SWISS,,2024-11-03 00:37:21
11:50,,Naples,EASYJET,,2024-11-03 00:37:21
11:50,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:37:21
12:00,,Lisbon,TAP PORTUGAL,,2024-11-03 00:37:21
12:05,,Paris,AIR FRANCE,,2024-11-03 00:37:21
12:05,,London,EASYJET,,2024-11-03 00:37:21
12:10,,London,BRITISH AIRWAYS,,2024-11-03 00:37:21
12:20,,Montreal,AIR CANADA,,2024-11-03 00:37:21
12:30,,London,EASYJET,,2024-11-03 00:37:21
12:35,,Madrid,IBERIA,,2024-11-03 00:37:21
12:40,,Lisbon,EASYJET,,2024-11-03 00:37:21
12:50,,Seville,EASYJET,,2024-11-03 00:37:21
12:50,,London,SWISS,,2024-11-03 00:37:21
12:55,,Nice,EASYJET,,2024-11-03 00:37:21
13:00,,Paris,EASYJET,,2024-11-03 00:37:21
13:15,,Catania,EASYJET,,2024-11-03 00:37:21
13:30,,Porto,EASYJET,,2024-11-03 00:37:21
13:30,,Bari,EASYJET,,2024-11-03 00:37:21
13:40,,Frankfurt,LUFTHANSA,,2024-11-03 00:37:21
13:45,,Tunis,NOUVELAIR TUNISIE,,2024-11-03 00:37:21
13:50,,Olbia,EASYJET,,2024-11-03 00:37:21
13:50,,Hamburg,SWISS,,2024-11-03 00:37:21
13:55,,Pristina,GP AVIATION,,2024-11-03 00:37:21
14:05,,Cagliari,EASYJET,,2024-11-03 00:37:21
14:05,,Cairo,EGYPTAIR,,2024-11-03 00:37:21
14:10,,Madrid,IBERIA,,2024-11-03 00:37:21
14:10,,Lille,EASYJET,,2024-11-03 00:37:21
14:10,,Split,EASYJET,,2024-11-03 00:37:21
14:10,,Dublin,AER LINGUS,,2024-11-03 00:37:21
14:15,,Budapest,EASYJET,,2024-11-03 00:37:21
14:20,,Istanbul,PEGASUS,,2024-11-03 00:37:21
14:30,,London,BRITISH AIRWAYS,,2024-11-03 00:37:21
14:35,,London,EASYJET,,2024-11-03 00:37:21
14:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:37:21
14:45,,Istanbul,TURKISH AIRLINES,,2024-11-03 00:37:21
14:50,,Zurich,SWISS,,2024-11-03 00:37:21
15:00,,Paris,AIR FRANCE,,2024-11-03 00:37:21
15:00,,Dubai,EMIRATES,,2024-11-03 00:37:21
15:00,,Agadir,EASYJET,,2024-11-03 00:37:21
15:00,,Jeddah,SAUDIA,,2024-11-03 00:37:21
15:10,,Barcelona,EASYJET,,2024-11-03 00:37:21
15:15,,Prague,EASYJET,,2024-11-03 00:37:21
15:20,,Lisbon,EASYJET,,2024-11-03 00:37:21
15:25,,Doha,QATAR AIRWAYS,,2024-11-03 00:37:21
15:40,,Pristina,EASYJET,,2024-11-03 00:37:21
15:55,,London,SWISS,,2024-11-03 00:37:21
16:10,,Porto,SWISS,,2024-11-03 00:37:21
16:10,,Berlin,EASYJET,,2024-11-03 00:37:21
16:20,,Nantes,EASYJET,,2024-11-03 00:37:21
16:25,,Porto,TAP PORTUGAL,,2024-11-03 00:37:21
16:25,,Amsterdam,EASYJET,,2024-11-03 00:37:21
16:25,,London,BRITISH AIRWAYS,,2024-11-03 00:37:21
16:30,,Porto,EASYJET,,2024-11-03 00:37:21
16:35,,Bristol,EASYJET,,2024-11-03 00:37:21
16:40,,Barcelona,EASYJET,,2024-11-03 00:37:21
16:45,,Frankfurt,LUFTHANSA,,2024-11-03 00:37:21
16:45,,Lisbon,EASYJET,,2024-11-03 00:37:21
16:55,,Athens,AEGEAN AIRLINES,,2024-11-03 00:37:21
16:55,,Casablanca,ROYAL AIR MAROC,,2024-11-03 00:37:21
17:00,,Brussels,BRUSSELS AIRLINES,,2024-11-03 00:37:21
17:00,,Tunis,TUNISAIR,,2024-11-03 00:37:21
17:00,,Luxembourg,LUXAIR,,2024-11-03 00:37:21
17:05,,Paris,AIR FRANCE,,2024-11-03 00:37:21
17:10,,Munich,AIR DOLOMITI,,2024-11-03 00:37:21
17:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:37:21
17:40,,Vienna,AUSTRIAN,,2024-11-03 00:37:21
17:40,,Brussels,SWISS,,2024-11-03 00:37:21
17:40,,Porto,EASYJET,,2024-11-03 00:37:21
17:45,,Berlin,SWISS,,2024-11-03 00:37:21
17:50,,London,SWISS,,2024-11-03 00:37:21
17:55,,Nice,SWISS,,2024-11-03 00:37:21
17:55,,Copenhagen,EASYJET,,2024-11-03 00:37:21
18:00,,Naples,EASYJET,,2024-11-03 00:37:21
18:10,,Barcelona,VUELING,,2024-11-03 00:37:21
18:15,,Paris,AIR FRANCE,,2024-11-03 00:37:21
18:20,,Lisbon,TAP PORTUGAL,,2024-11-03 00:37:21
18:20,,Ibiza,EASYJET,,2024-11-03 00:37:21
18:20,,Alicante,EASYJET,,2024-11-03 00:37:21
18:25,,Frankfurt,AIR DOLOMITI,,2024-11-03 00:37:21
18:30,,Nice,EASYJET,,2024-11-03 00:37:21
18:35,,Madrid,IBERIA,,2024-11-03 00:37:21
18:35,,Istanbul,TURKISH AIRLINES,,2024-11-03 00:37:21
18:40,,London,EASYJET,,2024-11-03 00:37:21
18:40,,London,BRITISH AIRWAYS,,2024-11-03 00:37:21
18:45,,Rome,EASYJET,,2024-11-03 00:37:21
18:50,,Barcelona,EASYJET,,2024-11-03 00:37:21
18:55,,Bordeaux,EASYJET,,2024-11-03 00:37:21
18:55,,Rome,ITA AIRWAYS,,2024-11-03 00:37:21
19:00,,Toulouse,EASYJET,,2024-11-03 00:37:21
19:00,,Manchester,EASYJET,,2024-11-03 00:37:21
19:10,,Brussels,SWISS,,2024-11-03 00:37:21
19:15,,London,EASYJET,,2024-11-03 00:37:21
19:15,,Brussels,EASYJET,,2024-11-03 00:37:21
19:20,,Zurich,SWISS,,2024-11-03 00:37:21
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:37:21
19:35,,Paris,EASYJET,,2024-11-03 00:37:21
19:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-03 00:37:21
19:50,,Nantes,EASYJET,,2024-11-03 00:37:21
19:55,,Vienna,AUSTRIAN,,2024-11-03 00:37:21
20:05,,Munich,AIR DOLOMITI,,2024-11-03 00:37:21
20:10,,Nice,EASYJET,,2024-11-03 00:37:21
20:15,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-11-03 00:37:21
20:30,,Paris,AIR FRANCE,,2024-11-03 00:37:21
20:30,,Zurich,SWISS,,2024-11-03 00:37:21
20:40,,Dubai,EMIRATES,,2024-11-03 00:37:21
20:40,,Barcelona,EASYJET,,2024-11-03 00:37:21
20:45,,Madrid,IBERIA,,2024-11-03 00:37:21
20:50,,London,SWISS,,2024-11-03 00:37:21
21:00,,Berlin,EASYJET,,2024-11-03 00:37:21
21:00,,Prague,EUROWINGS,,2024-11-03 00:37:21
21:10,,Brussels,BRUSSELS AIRLINES,,2024-11-03 00:37:21
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-03 00:37:21
