time,expected,origin,airline,status,scrape_time
09:4009:24,09:24,Amsterdam,EASYJET,Arrived,2024-11-03 03:37:52
09:4009:19,09:19,Warsaw,LOT POLISH AIRLINES,Arrived,2024-11-03 03:37:52
09:4009:29,09:29,Paris,AIR FRANCE,Arrived,2024-11-03 03:37:52
09:4509:45,09:45,Zurich,SWISS,Arrived,2024-11-03 03:37:52
10:0009:56,09:56,Montreal,AIR CANADA,Arrived,2024-11-03 03:37:52
10:0009:31,09:31,Istanbul,TURKISH AIRLINES,Arrived,2024-11-03 03:37:52
10:0009:52,09:52,Manchester,EASYJET,Arrived,2024-11-03 03:37:52
10:0509:37,09:37,Helsinki,FINNAIR,Arrived,2024-11-03 03:37:52
10:1009:46,09:46,Faro,EASYJET,Arrived,2024-11-03 03:37:52
10:1010:17,10:17,Edinburgh,EASYJET,Arrived,2024-11-03 03:37:52
10:1510:10,10:10,Frankfurt,AIR DOLOMITI,Arrived,2024-11-03 03:37:52
10:1510:06,10:06,Brussels,SWISS,Arrived,2024-11-03 03:37:52
10:1510:00,10:00,Barcelona,EASYJET,Arrived,2024-11-03 03:37:52
10:2010:14,10:14,Nantes,EASYJET,Arrived,2024-11-03 03:37:52
10:3010:20,10:20,Rome,EASYJET,Arrived,2024-11-03 03:37:52
10:3010:12,10:12,Valencia,SWISS,Arrived,2024-11-03 03:37:52
11:0010:53,10:53,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 03:37:52
11:0010:56,10:56,London,EASYJET,,2024-11-03 03:37:52
11:1011:23,11:23,Lisbon,TAP PORTUGAL,,2024-11-03 03:37:52
11:1511:10,11:10,Paris,AIR FRANCE,,2024-11-03 03:37:52
11:2010:59,10:59,London,BRITISH AIRWAYS,,2024-11-03 03:37:52
11:3011:21,11:21,London,EASYJET,,2024-11-03 03:37:52
11:3511:36,11:36,Santiago de Compostela,EASYJET,,2024-11-03 03:37:52
11:4011:50,11:50,London,SWISS,,2024-11-03 03:37:52
11:4511:34,11:34,Belgrade,EASYJET,,2024-11-03 03:37:52
11:4511:40,11:40,London,EASYJET,,2024-11-03 03:37:52
11:5011:36,11:36,Madrid,IBERIA,,2024-11-03 03:37:52
11:5511:36,11:36,Copenhagen,EASYJET,,2024-11-03 03:37:52
12:0512:00,12:00,Malaga,EASYJET,,2024-11-03 03:37:52
12:2011:47,11:47,Enfidha,EASYJET,,2024-11-03 03:37:52
12:20,,Nice,EASYJET,,2024-11-03 03:37:52
12:30,,Bordeaux,EASYJET,,2024-11-03 03:37:52
12:40,,Porto,EASYJET,,2024-11-03 03:37:52
12:4012:21,12:21,Brindisi,EASYJET,,2024-11-03 03:37:52
12:45,,Tunis,NOUVELAIR TUNISIE,,2024-11-03 03:37:52
12:4512:49,12:49,Dubai,EMIRATES,,2024-11-03 03:37:52
12:50,,Zurich,SWISS,,2024-11-03 03:37:52
12:55,,Pristina,GP AVIATION,,2024-11-03 03:37:52
13:0513:30,13:30,Marrakech,EASYJET,,2024-11-03 03:37:52
13:05,,Frankfurt,LUFTHANSA,,2024-11-03 03:37:52
13:0513:02,13:02,Cairo,EGYPTAIR,,2024-11-03 03:37:52
