time,expected,origin,airline,status,scrape_time
06:5507:11,07:11,Abu Dhabi,ETIHAD AIRWAYS,Arrived,2024-11-03 00:36:51
07:5007:35,07:35,Palma de Mallorca,EASYJET,,2024-11-03 00:36:51
07:5507:50,07:50,Brussels,BRUSSELS AIRLINES,,2024-11-03 00:36:51
08:1008:02,08:02,Frankfurt,LUFTHANSA,,2024-11-03 00:36:51
08:1508:07,08:07,Paris,AIR FRANCE,,2024-11-03 00:36:51
08:2007:59,07:59,Venice,EASYJET,,2024-11-03 00:36:51
08:2008:05,08:05,Antalya,SUN EXPRESS,,2024-11-03 00:36:51
08:2508:31,08:31,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-03 00:36:51
08:25,,Zurich,SWISS,,2024-11-03 00:36:51
08:3509:18,09:18,Malaga,EASYJET,,2024-11-03 00:36:51
08:50,,Vienna,AUSTRIAN,,2024-11-03 00:36:51
08:5008:50,08:50,Casablanca,AIR ARABIA MAROC,,2024-11-03 00:36:51
09:00,,Ajaccio,EASYJET,,2024-11-03 00:36:51
09:00,,Barcelona,VUELING,,2024-11-03 00:36:51
09:00,,Amsterdam,EASYJET,,2024-11-03 00:36:51
09:2009:00,09:00,New York,SWISS,,2024-11-03 00:36:51
09:35,,London,SWISS,,2024-11-03 00:36:51
09:35,,Porto,EASYJET,,2024-11-03 00:36:51
09:40,,Amsterdam,EASYJET,,2024-11-03 00:36:51
09:4009:11,09:11,Warsaw,LOT POLISH AIRLINES,,2024-11-03 00:36:51
09:40,,Paris,AIR FRANCE,,2024-11-03 00:36:51
09:45,,Zurich,SWISS,,2024-11-03 00:36:51
10:0009:50,09:50,Montreal,AIR CANADA,,2024-11-03 00:36:51
10:0009:31,09:31,Istanbul,TURKISH AIRLINES,,2024-11-03 00:36:51
10:00,,Manchester,EASYJET,,2024-11-03 00:36:51
10:0509:35,09:35,Helsinki,FINNAIR,,2024-11-03 00:36:51
10:10,,Faro,EASYJET,,2024-11-03 00:36:51
10:10,,Edinburgh,EASYJET,,2024-11-03 00:36:51
10:15,,Frankfurt,AIR DOLOMITI,,2024-11-03 00:36:51
10:15,,Brussels,SWISS,,2024-11-03 00:36:51
10:15,,Barcelona,EASYJET,,2024-11-03 00:36:51
10:20,,Nantes,EASYJET,,2024-11-03 00:36:51
