time,expected,origin,airline,status,scrape_time
08:4008:33,08:33,Munich,AIR DOLOMITI,Arrived,2024-11-02 02:27:00
08:4508:30,08:30,Bristol,EASYJET,Arrived,2024-11-02 02:27:00
08:5008:39,08:39,Vienna,AUSTRIAN,Arrived,2024-11-02 02:27:00
08:50,,Amsterdam,EASYJET,Delayed,2024-11-02 02:27:00
09:0008:49,08:49,Paris,EASYJET,Arrived,2024-11-02 02:27:00
09:1509:07,09:07,Brussels,EASYJET,Arrived,2024-11-02 02:27:00
09:1509:10,09:10,Porto,EASYJET,Arrived,2024-11-02 02:27:00
09:2008:52,08:52,Istanbul,TURKISH AIRLINES,Arrived,2024-11-02 02:27:00
09:2009:14,09:14,New York,SWISS,Arrived,2024-11-02 02:27:00
09:3509:31,09:31,London,SWISS,,2024-11-02 02:27:00
09:4009:26,09:26,Warsaw,LOT POLISH AIRLINES,,2024-11-02 02:27:00
09:4009:35,09:35,Paris,AIR FRANCE,,2024-11-02 02:27:00
09:4010:13,10:13,London,EASYJET,,2024-11-02 02:27:00
09:5009:34,09:34,Faro,EASYJET,,2024-11-02 02:27:00
10:0009:22,09:22,Montreal,AIR CANADA,Arrived,2024-11-02 02:27:00
10:00,,Zurich,SWISS,,2024-11-02 02:27:00
10:0010:19,10:19,London,EASYJET,,2024-11-02 02:27:00
10:0510:10,10:10,Helsinki,FINNAIR,,2024-11-02 02:27:00
10:1010:06,10:06,Athens,AEGEAN AIRLINES,,2024-11-02 02:27:00
10:15,,Frankfurt,AIR DOLOMITI,,2024-11-02 02:27:00
10:1510:19,10:19,Brussels,SWISS,,2024-11-02 02:27:00
10:1509:59,09:59,Bordeaux,EASYJET,,2024-11-02 02:27:00
10:15,,Marrakech,EASYJET,Delayed,2024-11-02 02:27:00
10:3010:37,10:37,Manchester,EASYJET,,2024-11-02 02:27:00
10:4010:20,10:20,Beirut,MEA MIDDLE EAST AIRLINES,,2024-11-02 02:27:00
10:5010:37,10:37,Ibiza,EASYJET,,2024-11-02 02:27:00
11:00,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-02 02:27:00
11:05,,Rome,ITA AIRWAYS,,2024-11-02 02:27:00
11:1011:21,11:21,Lisbon,TAP PORTUGAL,,2024-11-02 02:27:00
11:10,,Figari,EASYJET,,2024-11-02 02:27:00
11:15,,Paris,AIR FRANCE,,2024-11-02 02:27:00
11:25,,Nice,SWISS,,2024-11-02 02:27:00
11:3011:15,11:15,Porto,EASYJET,,2024-11-02 02:27:00
11:30,,London,BRITISH AIRWAYS,,2024-11-02 02:27:00
11:40,,London,SWISS,,2024-11-02 02:27:00
11:50,,Djerba,EASYJET,,2024-11-02 02:27:00
11:50,,Bari,EASYJET,,2024-11-02 02:27:00
11:50,,Madrid,IBERIA,,2024-11-02 02:27:00
12:05,,Lisbon,EASYJET,,2024-11-02 02:27:00
12:10,,Alicante,EASYJET,,2024-11-02 02:27:00
12:30,,Munich,AIR DOLOMITI,,2024-11-02 02:27:00
12:30,,London,EASYJET,,2024-11-02 02:27:00
12:35,,Porto,EASYJET,,2024-11-02 02:27:00
12:35,,Athens,EASYJET,,2024-11-02 02:27:00
12:35,,Pristina,SWISS,Delayed,2024-11-02 02:27:00
12:4512:17,12:17,Dubai,EMIRATES,,2024-11-02 02:27:00
13:05,,Frankfurt,LUFTHANSA,,2024-11-02 02:27:00
13:05,,Marrakech,EASYJET,,2024-11-02 02:27:00
13:10,,Ajaccio,EASYJET,,2024-11-02 02:27:00
13:15,,Nice,EASYJET,,2024-11-02 02:27:00
13:20,,Malaga,EASYJET,,2024-11-02 02:27:00
13:20,,Istanbul,PEGASUS,,2024-11-02 02:27:00
13:3513:56,13:56,Jeddah,SAUDIA,,2024-11-02 02:27:00
13:4512:59,12:59,Doha,QATAR AIRWAYS,,2024-11-02 02:27:00
13:45,,Zurich,SWISS,,2024-11-02 02:27:00
13:50,,London,BRITISH AIRWAYS,,2024-11-02 02:27:00
13:50,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-02 02:27:00
13:50,,Istanbul,TURKISH AIRLINES,Aheaded,2024-11-02 02:27:00
13:5513:38,13:38,Amman,ROYAL JORDANIAN,,2024-11-02 02:27:00
14:00,,Toulouse,EASYJET,,2024-11-02 02:27:00
14:00,,Porto,SWISS,,2024-11-02 02:27:00
14:10,,Paris,AIR FRANCE,,2024-11-02 02:27:00
14:20,,Athens,SWISS,,2024-11-02 02:27:00
14:25,,Cairo,EGYPTAIR,,2024-11-02 02:27:00
14:30,,Bastia,EASYJET,,2024-11-02 02:27:00
14:50,,Palma de Mallorca,EASYJET,,2024-11-02 02:27:00
14:55,,Lanzarote,EASYJET,,2024-11-02 02:27:00
15:00,,Lisbon,EASYJET,,2024-11-02 02:27:00
15:10,,Edinburgh,EASYJET,,2024-11-02 02:27:00
15:15,,Algiers,AIR ALGERIE,,2024-11-02 02:27:00
15:25,,London,BRITISH AIRWAYS,,2024-11-02 02:27:00
15:45,,Enfidha,EASYJET,,2024-11-02 02:27:00
15:45,,Tenerife,EASYJET,,2024-11-02 02:27:00
15:55,,Casablanca,ROYAL AIR MAROC,,2024-11-02 02:27:00
16:10,,Brussels,BRUSSELS AIRLINES,,2024-11-02 02:27:00
