time,expected,origin,airline,status,scrape_time
07:55,,Brussels,BRUSSELS AIRLINES,Delayed,2024-10-27 09:34:20
08:3508:32,08:32,Zurich,SWISS,Arrived,2024-10-27 09:34:20
08:5008:49,08:49,Vienna,AUSTRIAN,Arrived,2024-10-27 09:34:20
08:5008:44,08:44,Casablanca,AIR ARABIA MAROC,Arrived,2024-10-27 09:34:20
09:0009:13,09:13,Ajaccio,EASYJET,Arrived,2024-10-27 09:34:20
09:0008:57,08:57,Barcelona,VUELING,Arrived,2024-10-27 09:34:20
09:0008:46,08:46,Amsterdam,EASYJET,Arrived,2024-10-27 09:34:20
09:2009:15,09:15,New York,SWISS,Arrived,2024-10-27 09:34:20
09:3509:23,09:23,London,EASYJET,Arrived,2024-10-27 09:34:20
09:3510:01,10:01,Porto,EASYJET,,2024-10-27 09:34:20
09:4009:28,09:28,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-27 09:34:20
09:4009:44,09:44,Paris,AIR FRANCE,,2024-10-27 09:34:20
09:4509:34,09:34,Zurich,SWISS,,2024-10-27 09:34:20
10:0009:20,09:20,Istanbul,TURKISH AIRLINES,Arrived,2024-10-27 09:34:20
10:0009:26,09:26,Montreal,AIR CANADA,Arrived,2024-10-27 09:34:20
10:0009:54,09:54,Manchester,EASYJET,,2024-10-27 09:34:20
10:0509:49,09:49,Helsinki,FINNAIR,,2024-10-27 09:34:20
10:1009:44,09:44,Faro,EASYJET,,2024-10-27 09:34:20
10:1009:50,09:50,Edinburgh,EASYJET,,2024-10-27 09:34:20
10:15,,Frankfurt,AIR DOLOMITI,,2024-10-27 09:34:20
10:15,,Brussels,SWISS,Delayed,2024-10-27 09:34:20
10:1510:15,10:15,Barcelona,EASYJET,,2024-10-27 09:34:20
10:20,,Nantes,EASYJET,Delayed,2024-10-27 09:34:20
10:3010:25,10:25,Rome,EASYJET,,2024-10-27 09:34:20
10:3010:32,10:32,Valencia,SWISS,,2024-10-27 09:34:20
11:00,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 09:34:20
11:00,,London,EASYJET,Cancelled,2024-10-27 09:34:20
11:00,,London,EASYJET,Delayed,2024-10-27 09:34:20
11:10,,Lisbon,TAP PORTUGAL,Delayed,2024-10-27 09:34:20
11:15,,Paris,AIR FRANCE,,2024-10-27 09:34:20
11:20,,London,BRITISH AIRWAYS,,2024-10-27 09:34:20
11:35,,Santiago de Compostela,EASYJET,,2024-10-27 09:34:20
11:40,,London,SWISS,,2024-10-27 09:34:20
11:45,,Belgrade,EASYJET,,2024-10-27 09:34:20
11:45,,London,EASYJET,,2024-10-27 09:34:20
11:50,,Madrid,IBERIA,,2024-10-27 09:34:20
11:55,,Copenhagen,EASYJET,,2024-10-27 09:34:20
12:05,,Malaga,EASYJET,,2024-10-27 09:34:20
12:20,,Enfidha,EASYJET,,2024-10-27 09:34:20
12:20,,Nice,EASYJET,,2024-10-27 09:34:20
12:30,,Bordeaux,EASYJET,,2024-10-27 09:34:20
12:40,,Porto,EASYJET,,2024-10-27 09:34:20
12:40,,Brindisi,EASYJET,,2024-10-27 09:34:20
12:45,,Tunis,NOUVELAIR TUNISIE,,2024-10-27 09:34:20
12:4513:02,13:02,Dubai,EMIRATES,,2024-10-27 09:34:20
12:50,,Zurich,SWISS,,2024-10-27 09:34:20
12:55,,Pristina,GP AVIATION,,2024-10-27 09:34:20
13:05,,Marrakech,EASYJET,,2024-10-27 09:34:20
13:05,,Frankfurt,LUFTHANSA,,2024-10-27 09:34:20
13:0512:43,12:43,Cairo,EGYPTAIR,,2024-10-27 09:34:20
13:10,,Porto,EASYJET,Delayed,2024-10-27 09:34:20
13:20,,Istanbul,PEGASUS,,2024-10-27 09:34:20
13:25,,Madrid,IBERIA,,2024-10-27 09:34:20
13:30,,London,BRITISH AIRWAYS,,2024-10-27 09:34:20
13:30,,Dublin,AER LINGUS,,2024-10-27 09:34:20
13:30,,Nice,EASYJET,,2024-10-27 09:34:20
13:3513:10,13:10,Jeddah,SAUDIA,,2024-10-27 09:34:20
13:4513:10,13:10,Doha,QATAR AIRWAYS,,2024-10-27 09:34:20
13:45,,Pristina,EASYJET,,2024-10-27 09:34:20
13:45,,Zurich,SWISS,,2024-10-27 09:34:20
13:50,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 09:34:20
13:50,,Istanbul,TURKISH AIRLINES,Aheaded,2024-10-27 09:34:20
13:50,,London,EASYJET,,2024-10-27 09:34:20
13:55,,A Coruna,EASYJET,,2024-10-27 09:34:20
14:10,,Paris,AIR FRANCE,,2024-10-27 09:34:20
14:20,,Malaga,SWISS,,2024-10-27 09:34:20
14:20,,Brussels,EASYJET,,2024-10-27 09:34:20
14:45,,London,EASYJET,,2024-10-27 09:34:20
14:45,,Lisbon,EASYJET,,2024-10-27 09:34:20
15:15,,Palma de Mallorca,EASYJET,,2024-10-27 09:34:20
15:25,,Marrakech,SWISS,,2024-10-27 09:34:20
15:30,,Porto,TAP PORTUGAL,,2024-10-27 09:34:20
15:30,,Berlin,EASYJET,,2024-10-27 09:34:20
15:35,,Paris,EASYJET,,2024-10-27 09:34:20
15:40,,London,BRITISH AIRWAYS,,2024-10-27 09:34:20
15:40,,Amsterdam,EASYJET,,2024-10-27 09:34:20
15:55,,Porto,EASYJET,,2024-10-27 09:34:20
15:55,,Casablanca,ROYAL AIR MAROC,,2024-10-27 09:34:20
15:55,,Barcelona,EASYJET,,2024-10-27 09:34:20
15:55,,Naples,EASYJET,,2024-10-27 09:34:20
16:00,,Tunis,TUNISAIR,,2024-10-27 09:34:20
16:00,,Athens,AEGEAN AIRLINES,,2024-10-27 09:34:20
16:00,,Bristol,EASYJET,,2024-10-27 09:34:20
16:05,,Frankfurt,LUFTHANSA,,2024-10-27 09:34:20
16:10,,Brussels,BRUSSELS AIRLINES,,2024-10-27 09:34:20
16:15,,Paris,AIR FRANCE,,2024-10-27 09:34:20
16:20,,Luxembourg,LUXAIR,,2024-10-27 09:34:20
16:30,,Munich,AIR DOLOMITI,,2024-10-27 09:34:20
16:40,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 09:34:20
16:50,,Marrakech,EASYJET,,2024-10-27 09:34:20
16:55,,Athens,SWISS,,2024-10-27 09:34:20
16:55,,Vienna,AUSTRIAN,,2024-10-27 09:34:20
17:00,,Hurghada,SWISS,,2024-10-27 09:34:20
17:05,,London,SWISS,,2024-10-27 09:34:20
17:05,,Lisbon,SWISS,,2024-10-27 09:34:20
17:10,,Istanbul,TURKISH AIRLINES,Aheaded,2024-10-27 09:34:20
17:15,,Lille,EASYJET,,2024-10-27 09:34:20
17:25,,Paris,AIR FRANCE,,2024-10-27 09:34:20
17:25,,Naples,EASYJET,,2024-10-27 09:34:20
17:30,,Barcelona,VUELING,,2024-10-27 09:34:20
17:30,,Lisbon,TAP PORTUGAL,,2024-10-27 09:34:20
17:35,,Zurich,SWISS,,2024-10-27 09:34:20
17:45,,Frankfurt,AIR DOLOMITI,,2024-10-27 09:34:20
17:45,,Cagliari,EASYJET,,2024-10-27 09:34:20
17:45,,Nice,EASYJET,,2024-10-27 09:34:20
17:50,,Madrid,IBERIA,,2024-10-27 09:34:20
17:50,,London,BRITISH AIRWAYS,,2024-10-27 09:34:20
18:00,,Rome,ITA AIRWAYS,,2024-10-27 09:34:20
18:00,,BRI,EASYJET,,2024-10-27 09:34:20
18:05,,Seville,EASYJET,,2024-10-27 09:34:20
18:05,,Split,EASYJET,,2024-10-27 09:34:20
18:10,,Hamburg,SWISS,,2024-10-27 09:34:20
18:10,,Manchester,EASYJET,,2024-10-27 09:34:20
18:15,,Helsinki,FINNAIR,,2024-10-27 09:34:20
18:20,,Catania,EASYJET,,2024-10-27 09:34:20
18:25,,Lisbon,EASYJET,,2024-10-27 09:34:20
18:30,,Budapest,EASYJET,,2024-10-27 09:34:20
18:40,,Porto,EASYJET,,2024-10-27 09:34:20
18:40,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 09:34:20
18:45,,Dubai,EMIRATES,,2024-10-27 09:34:20
18:50,,Zurich,SWISS,,2024-10-27 09:34:20
19:00,,Prague,EASYJET,,2024-10-27 09:34:20
19:00,,Warsaw,LOT POLISH AIRLINES,,2024-10-27 09:34:20
19:10,,Vienna,AUSTRIAN,,2024-10-27 09:34:20
19:15,,Barcelona,EASYJET,,2024-10-27 09:34:20
19:25,,Munich,AIR DOLOMITI,,2024-10-27 09:34:20
19:30,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-27 09:34:20
19:35,,Nantes,EASYJET,,2024-10-27 09:34:20
19:40,,Paris,AIR FRANCE,,2024-10-27 09:34:20
20:00,,Madrid,IBERIA,,2024-10-27 09:34:20
20:00,,Barcelona,EASYJET,,2024-10-27 09:34:20
20:05,,London,SWISS,,2024-10-27 09:34:20
20:10,,Prague,EUROWINGS,,2024-10-27 09:34:20
20:20,,Berlin,EASYJET,,2024-10-27 09:34:20
20:20,,Brussels,BRUSSELS AIRLINES,,2024-10-27 09:34:20
20:40,,Nice,SWISS,,2024-10-27 09:34:20
21:00,,Brussels,SWISS,,2024-10-27 09:34:20
21:05,,Pristina,EASYJET,,2024-10-27 09:34:20
21:20,,Manchester,ETHIOPIAN AIRLINES,,2024-10-27 09:34:20
21:50,,Porto,SWISS,,2024-10-27 09:34:20
21:50,,Zurich,SWISS,,2024-10-27 09:34:20
21:55,,Toulouse,EASYJET,,2024-10-27 09:34:20
21:55,,Frankfurt,LUFTHANSA,,2024-10-27 09:34:20
22:05,,London,BRITISH AIRWAYS,,2024-10-27 09:34:20
22:05,,London,SWISS,,2024-10-27 09:34:20
22:15,,Bordeaux,EASYJET,,2024-10-27 09:34:20
22:20,,Madrid,IBERIA,,2024-10-27 09:34:20
22:25,,Brussels,SWISS,,2024-10-27 09:34:20
22:25,,Rome,EASYJET,,2024-10-27 09:34:20
22:30,,Ibiza,EASYJET,,2024-10-27 09:34:20
22:30,,Brussels,EASYJET,,2024-10-27 09:34:20
22:30,,Lisbon,EASYJET,,2024-10-27 09:34:20
22:30,,Paris,EASYJET,,2024-10-27 09:34:20
22:35,,Barcelona,EASYJET,,2024-10-27 09:34:20
22:35,,London,EASYJET,,2024-10-27 09:34:20
22:40,,Copenhagen,EASYJET,,2024-10-27 09:34:20
22:45,,Nice,EASYJET,,2024-10-27 09:34:20
22:45,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 09:34:20
22:50,,Alicante,EASYJET,,2024-10-27 09:34:20
22:50,,Agadir,EASYJET,,2024-10-27 09:34:20
22:50,,Porto,EASYJET,,2024-10-27 09:34:20
23:00,,London,EASYJET,,2024-10-27 09:34:20
23:00,,Nantes,EASYJET,,2024-10-27 09:34:20
23:00,,Paris,AIR FRANCE,,2024-10-27 09:34:20
23:05,,Munich,AIR DOLOMITI,,2024-10-27 09:34:20
23:15,,Lisbon,TAP PORTUGAL,,2024-10-27 09:34:20
23:35,,Zurich,SWISS,,2024-10-27 09:34:20
