time,expected,destination,airline,status,scrape_time
15:25,,Brussels,EASYJET,Took off,2024-10-25 16:23:03
15:35,,Bucharest,WIZZ AIR,Took off,2024-10-25 16:23:03
15:4016:45,16:45,London,EASYJET,Boarding,2024-10-25 16:23:03
15:4016:00,16:00,Malaga,EASYJET,Took off,2024-10-25 16:23:03
15:4516:15,16:15,Bordeaux,EASYJET,Departed,2024-10-25 16:23:03
15:5015:50,15:50,London,SWISS,Took off,2024-10-25 16:23:03
15:5516:10,16:10,Marrakech,EASYJET,Took off,2024-10-25 16:23:03
15:5516:30,16:30,Porto,EASYJET,Boarding,2024-10-25 16:23:03
16:0016:30,16:30,Naples,EASYJET,Boarding,2024-10-25 16:23:03
16:0016:10,16:10,Riyadh,SAUDIA,Departed,2024-10-25 16:23:03
16:20,,Nice,EASYJET,Departed,2024-10-25 16:23:03
16:3016:55,16:55,Amsterdam,EASYJET,Go to gate,2024-10-25 16:23:03
16:4518:00,18:00,London,EASYJET,,2024-10-25 16:23:03
16:55,,Antalya,SUN EXPRESS,Boarding,2024-10-25 16:23:03
16:55,,Skopje,EASYJET,Boarding,2024-10-25 16:23:03
17:00,,Paris,AIR FRANCE,Boarding,2024-10-25 16:23:03
17:05,,Athens,SWISS,Go to gate,2024-10-25 16:23:03
17:10,,Barcelona,EASYJET,Next info at 16:30,2024-10-25 16:23:03
17:10,,London,BRITISH AIRWAYS,Go to gate,2024-10-25 16:23:03
17:10,,Dublin,AER LINGUS,Go to gate,2024-10-25 16:23:03
17:1517:40,17:40,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 16:23:03
17:15,,Lisbon,EASYJET,,2024-10-25 16:23:03
17:15,,Luxembourg,LUXAIR,,2024-10-25 16:23:03
17:20,,Munich,AIR DOLOMITI,,2024-10-25 16:23:03
17:25,,Porto,EASYJET,,2024-10-25 16:23:03
17:30,,Algiers,AIR ALGERIE,,2024-10-25 16:23:03
17:30,,Palma de Mallorca,EASYJET,,2024-10-25 16:23:03
17:45,,Manchester,EASYJET,,2024-10-25 16:23:03
17:45,,Porto,SWISS,,2024-10-25 16:23:03
17:50,,London,SWISS,,2024-10-25 16:23:03
17:50,,Vienna,SWISS,,2024-10-25 16:23:03
17:50,,Dublin,SWISS,,2024-10-25 16:23:03
17:55,,Frankfurt,AIR DOLOMITI,,2024-10-25 16:23:03
17:55,,Toulouse,EASYJET,,2024-10-25 16:23:03
17:55,,Casablanca,ROYAL AIR MAROC,,2024-10-25 16:23:03
18:00,,Valencia,EASYJET,,2024-10-25 16:23:03
18:00,,Tunis,TUNISAIR,,2024-10-25 16:23:03
18:10,,Bristol,EASYJET,,2024-10-25 16:23:03
18:15,,Paris,AIR FRANCE,,2024-10-25 16:23:03
18:20,,Lisbon,TAP PORTUGAL,,2024-10-25 16:23:03
18:20,,Copenhagen,EASYJET,,2024-10-25 16:23:03
18:20,,Biarritz,SWISS,,2024-10-25 16:23:03
18:25,,Catania,SWISS,,2024-10-25 16:23:03
18:45,,Frankfurt,SWISS,,2024-10-25 16:23:03
18:50,,Zurich,SWISS,,2024-10-25 16:23:03
18:50,,Rome,EASYJET,,2024-10-25 16:23:03
18:55,,Nantes,EASYJET,,2024-10-25 16:23:03
18:55,,Rome,ITA AIRWAYS,,2024-10-25 16:23:03
18:55,,Helsinki,FINNAIR,,2024-10-25 16:23:03
19:05,,Istanbul,TURKISH AIRLINES,,2024-10-25 16:23:03
19:05,,London,EASYJET,,2024-10-25 16:23:03
19:10,,Olbia,EASYJET,,2024-10-25 16:23:03
19:10,,Nice,SWISS,,2024-10-25 16:23:03
19:10,,Brussels,BRUSSELS AIRLINES,,2024-10-25 16:23:03
19:15,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 16:23:03
19:15,,Amsterdam,EASYJET,,2024-10-25 16:23:03
19:30,,Frankfurt,LUFTHANSA,,2024-10-25 16:23:03
19:35,,Paris,EASYJET,,2024-10-25 16:23:03
19:40,,Bordeaux,EASYJET,,2024-10-25 16:23:03
19:40,,Brussels,EASYJET,,2024-10-25 16:23:03
19:45,,Warsaw,LOT POLISH AIRLINES,,2024-10-25 16:23:03
19:50,,Vienna,AUSTRIAN,,2024-10-25 16:23:03
19:55,,Luxembourg,LUXAIR,,2024-10-25 16:23:03
20:00,,Munich,AIR DOLOMITI,,2024-10-25 16:23:03
20:05,,Prague,EUROWINGS,,2024-10-25 16:23:03
20:10,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-25 16:23:03
20:10,,Zurich,SWISS,,2024-10-25 16:23:03
20:10,,Nice,EASYJET,,2024-10-25 16:23:03
20:15,,Barcelona,VUELING,,2024-10-25 16:23:03
20:20,,Athens,AEGEAN AIRLINES,,2024-10-25 16:23:03
20:40,,Paris,AIR FRANCE,,2024-10-25 16:23:03
20:40,,Palma de Mallorca,EASYJET,,2024-10-25 16:23:03
20:45,,Düsseldorf,EUROWINGS,,2024-10-25 16:23:03
20:45,,Madrid,IBERIA,,2024-10-25 16:23:03
20:50,,London,SWISS,,2024-10-25 16:23:03
20:55,,Edinburgh,EASYJET,,2024-10-25 16:23:03
20:55,,London,EASYJET,,2024-10-25 16:23:03
20:55,,Berlin,EASYJET,,2024-10-25 16:23:03
20:55,,Barcelona,EASYJET,,2024-10-25 16:23:03
21:00,,Lisbon,EASYJET,,2024-10-25 16:23:03
21:10,,Brussels,BRUSSELS AIRLINES,,2024-10-25 16:23:03
21:10,,Maurice,AIR MAURITIUS,,2024-10-25 16:23:03
21:15,,Porto,EASYJET,,2024-10-25 16:23:03
21:20,,Dubai,EMIRATES,,2024-10-25 16:23:03
21:25,,London,BRITISH AIRWAYS,,2024-10-25 16:23:03
