time,expected,destination,airline,status,scrape_time
06:00,,Paris,EASYJET,,2024-11-08 21:17:01
06:00,,Marrakech,EASYJET,,2024-11-08 21:17:01
06:00,,Madrid,IBERIA,,2024-11-08 21:17:01
06:05,,Lisbon,TAP PORTUGAL,,2024-11-08 21:17:01
06:05,,Djerba,EASYJET,,2024-11-08 21:17:01
06:10,,Brussels,EASYJET,,2024-11-08 21:17:01
06:10,,Mykonos,EASYJET,,2024-11-08 21:17:01
06:10,,Athens,EASYJET,,2024-11-08 21:17:01
06:10,,Zurich,SWISS,,2024-11-08 21:17:01
06:15,,Lanzarote,EASYJET,,2024-11-08 21:17:01
06:20,,Porto,EASYJET,,2024-11-08 21:17:01
06:20,,Lisbon,EASYJET,,2024-11-08 21:17:01
06:20,,Munich,AIR DOLOMITI,,2024-11-08 21:17:01
06:30,,Paris,AIR FRANCE,,2024-11-08 21:17:01
06:35,,Tenerife,EASYJET,,2024-11-08 21:17:01
06:55,,Frankfurt,LUFTHANSA,,2024-11-08 21:17:01
07:00,,Brussels,SWISS,,2024-11-08 21:17:01
07:05,,London,BRITISH AIRWAYS,,2024-11-08 21:17:01
07:05,,Bordeaux,EASYJET,,2024-11-08 21:17:01
07:05,,Athens,SWISS,,2024-11-08 21:17:01
07:10,,Pristina,SWISS,,2024-11-08 21:17:01
07:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-08 21:17:01
07:15,,Manchester,ETHIOPIAN AIRLINES,,2024-11-08 21:17:01
07:20,,Alicante,EASYJET,,2024-11-08 21:17:01
07:25,,London,SWISS,,2024-11-08 21:17:01
07:40,,Zurich,SWISS,,2024-11-08 21:17:01
07:40,,Sharm El-Sheikh,EASYJET,,2024-11-08 21:17:01
07:45,,Malaga,EASYJET,,2024-11-08 21:17:01
08:05,,Hurghada,EASYJET,,2024-11-08 21:17:01
08:05,,London,BRITISH AIRWAYS,,2024-11-08 21:17:01
08:15,,Olbia,EASYJET,,2024-11-08 21:17:01
08:15,,Ajaccio,EASYJET,,2024-11-08 21:17:01
08:25,,Porto,SWISS,,2024-11-08 21:17:01
08:35,,Nice,SWISS,,2024-11-08 21:17:01
08:35,,Barcelona,EASYJET,,2024-11-08 21:17:01
08:35,,Brussels,BRUSSELS AIRLINES,,2024-11-08 21:17:01
08:45,,Nice,EASYJET,,2024-11-08 21:17:01
08:45,,Frankfurt,LUFTHANSA,,2024-11-08 21:17:01
08:50,,Berlin,EASYJET,,2024-11-08 21:17:01
08:55,,Barcelona,VUELING,,2024-11-08 21:17:01
08:55,,Madrid,IBERIA,,2024-11-08 21:17:01
09:05,,Paris,AIR FRANCE,,2024-11-08 21:17:01
09:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-08 21:17:01
09:15,,New York,UNITED AIRLINES,,2024-11-08 21:17:01
09:20,,Munich,AIR DOLOMITI,,2024-11-08 21:17:01
09:25,,Amsterdam,EASYJET,,2024-11-08 21:17:01
09:35,,Vienna,AUSTRIAN,,2024-11-08 21:17:01
09:50,,Figari,EASYJET,,2024-11-08 21:17:01
09:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-08 21:17:01
09:55,,Porto,EASYJET,,2024-11-08 21:17:01
10:10,,Zurich,SWISS,,2024-11-08 21:17:01
10:20,,Warsaw,LOT POLISH AIRLINES,,2024-11-08 21:17:01
10:30,,Athens,SWISS,,2024-11-08 21:17:01
10:30,,Paris,AIR FRANCE,,2024-11-08 21:17:01
