time,expected,origin,airline,status,scrape_time
11:00,,London,EASYJET,Cancelled,2024-10-27 21:37:12
18:30,,Budapest,EASYJET,Cancelled,2024-10-27 21:37:12
20:4020:55,20:55,Nice,SWISS,Arrived,2024-10-27 21:37:12
21:0021:06,21:06,Brussels,SWISS,Arrived,2024-10-27 21:37:12
21:0521:11,21:11,Pristina,EASYJET,Arrived,2024-10-27 21:37:12
21:2021:02,21:02,Manchester,ETHIOPIAN AIRLINES,Arrived,2024-10-27 21:37:12
21:5021:33,21:33,Porto,SWISS,Arrived,2024-10-27 21:37:12
21:5022:02,22:02,Zurich,SWISS,,2024-10-27 21:37:12
21:5522:24,22:24,Toulouse,EASYJET,,2024-10-27 21:37:12
21:5522:03,22:03,Frankfurt,LUFTHANSA,,2024-10-27 21:37:12
22:0522:02,22:02,London,BRITISH AIRWAYS,,2024-10-27 21:37:12
22:0522:06,22:06,London,SWISS,,2024-10-27 21:37:12
22:15,,Bordeaux,EASYJET,Cancelled,2024-10-27 21:37:12
22:2022:40,22:40,Madrid,IBERIA,,2024-10-27 21:37:12
22:25,,Brussels,SWISS,,2024-10-27 21:37:12
22:25,,Rome,EASYJET,Delayed,2024-10-27 21:37:12
22:30,,Ibiza,EASYJET,Delayed,2024-10-27 21:37:12
22:30,,Brussels,EASYJET,Delayed,2024-10-27 21:37:12
22:3023:08,23:08,Lisbon,EASYJET,,2024-10-27 21:37:12
22:30,,Paris,EASYJET,Delayed,2024-10-27 21:37:12
22:35,,Barcelona,EASYJET,Delayed,2024-10-27 21:37:12
22:35,,London,EASYJET,Delayed,2024-10-27 21:37:12
22:40,,Copenhagen,EASYJET,Delayed,2024-10-27 21:37:12
22:45,,Nice,EASYJET,Delayed,2024-10-27 21:37:12
22:45,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Delayed,2024-10-27 21:37:12
22:50,,Alicante,EASYJET,Delayed,2024-10-27 21:37:12
22:5022:48,22:48,Agadir,EASYJET,,2024-10-27 21:37:12
22:5022:44,22:44,Porto,EASYJET,,2024-10-27 21:37:12
23:00,,London,EASYJET,Delayed,2024-10-27 21:37:12
23:00,,Nantes,EASYJET,Delayed,2024-10-27 21:37:12
23:00,,Paris,AIR FRANCE,Delayed,2024-10-27 21:37:12
23:05,,Munich,AIR DOLOMITI,,2024-10-27 21:37:12
23:1523:36,23:36,Lisbon,TAP PORTUGAL,,2024-10-27 21:37:12
23:35,,Zurich,SWISS,,2024-10-27 21:37:12
