time,expected,origin,airline,status,scrape_time
12:4012:38,12:38,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-25 13:21:55
12:4013:55,13:55,Athens,EASYJET,,2024-10-25 13:21:55
12:4512:59,12:59,Zurich,SWISS,Arrived,2024-10-25 13:21:55
13:0513:29,13:29,Pristina,GP AVIATION,,2024-10-25 13:21:55
13:1015:52,15:52,Marrakech,EASYJET,,2024-10-25 13:21:55
13:1513:16,13:16,Dubai,EMIRATES,Arrived,2024-10-25 13:21:55
13:2013:13,13:13,Istanbul,PEGASUS,Arrived,2024-10-25 13:21:55
13:25,,Frankfurt,AIR DOLOMITI,Delayed,2024-10-25 13:21:55
13:25,,Madrid,IBERIA,Delayed,2024-10-25 13:21:55
13:3514:02,14:02,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 13:21:55
13:4514:19,14:19,Istanbul,TURKISH AIRLINES,,2024-10-25 13:21:55
13:5013:59,13:59,Paris,AIR FRANCE,,2024-10-25 13:21:55
13:5514:08,14:08,Manchester,EASYJET,,2024-10-25 13:21:55
13:55,,Zurich,SWISS,,2024-10-25 13:21:55
13:55,,Bordeaux,EASYJET,Delayed,2024-10-25 13:21:55
14:0014:12,14:12,Ibiza,EASYJET,,2024-10-25 13:21:55
14:0014:13,14:13,Cairo,EGYPTAIR,,2024-10-25 13:21:55
14:0014:00,14:00,Kuwait,KUWAIT AIRWAYS,,2024-10-25 13:21:55
14:0514:03,14:03,Frankfurt,SWISS,,2024-10-25 13:21:55
14:1013:57,13:57,London,BRITISH AIRWAYS,,2024-10-25 13:21:55
14:1014:16,14:16,Izmir,SUN EXPRESS,,2024-10-25 13:21:55
14:2514:29,14:29,Budapest,EASYJET,,2024-10-25 13:21:55
14:3514:21,14:21,Riyadh,SAUDIA,,2024-10-25 13:21:55
14:50,,Lille,EASYJET,,2024-10-25 13:21:55
14:5015:01,15:01,Marrakech,SWISS,,2024-10-25 13:21:55
14:5014:38,14:38,Bucharest,WIZZ AIR,,2024-10-25 13:21:55
14:55,,Nice,EASYJET,,2024-10-25 13:21:55
14:55,,Birmingham,EASYJET,,2024-10-25 13:21:55
15:0515:01,15:01,Malaga,EASYJET,,2024-10-25 13:21:55
15:20,,Porto,EASYJET,Delayed,2024-10-25 13:21:55
15:25,,Naples,EASYJET,,2024-10-25 13:21:55
15:35,,Belgrade,EASYJET,,2024-10-25 13:21:55
15:55,,Amsterdam,EASYJET,,2024-10-25 13:21:55
16:0015:47,15:47,Antalya,SUN EXPRESS,,2024-10-25 13:21:55
16:0515:50,15:50,Gran Canaria,EASYJET,,2024-10-25 13:21:55
16:10,,Prague,EASYJET,,2024-10-25 13:21:55
16:10,,London,EASYJET,,2024-10-25 13:21:55
16:10,,London,BRITISH AIRWAYS,,2024-10-25 13:21:55
16:10,,Paris,AIR FRANCE,,2024-10-25 13:21:55
16:15,,Brindisi,EASYJET,,2024-10-25 13:21:55
16:30,,Algiers,AIR ALGERIE,,2024-10-25 13:21:55
16:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-25 13:21:55
