time,expected,destination,airline,status,scrape_time
14:20,,Istanbul,PEGASUS,Took off,2024-11-09 08:14:27
14:3514:25,14:25,Toulouse,EASYJET,Took off,2024-11-09 08:14:27
14:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Took off,2024-11-09 08:14:27
14:4014:45,14:45,London,BRITISH AIRWAYS,Took off,2024-11-09 08:14:27
14:45,,Algiers,AIR ALGERIE,Took off,2024-11-09 08:14:27
14:45,,Istanbul,TURKISH AIRLINES,Took off,2024-11-09 08:14:27
14:5014:50,14:50,Zurich,SWISS,Took off,2024-11-09 08:14:27
15:00,,Paris,AIR FRANCE,Departed,2024-11-09 08:14:27
15:00,,Dubai,EMIRATES,Took off,2024-11-09 08:14:27
15:0015:20,15:20,Jeddah,SAUDIA,Departed,2024-11-09 08:14:27
15:10,,Amman,ROYAL JORDANIAN,Departed,2024-11-09 08:14:27
15:15,,Rabat,EASYJET,Departed,2024-11-09 08:14:27
15:25,,Doha,QATAR AIRWAYS,Departed,2024-11-09 08:14:27
15:30,,Lisbon,SWISS,Boarding,2024-11-09 08:14:27
15:35,,Cairo,EGYPTAIR,Boarding,2024-11-09 08:14:27
15:45,,Lisbon,EASYJET,Go to gate,2024-11-09 08:14:27
15:55,,London,SWISS,Go to gate,2024-11-09 08:14:27
15:55,,Edinburgh,EASYJET,Go to gate,2024-11-09 08:14:27
16:00,,Pristina,EASYJET,Go to gate,2024-11-09 08:14:27
16:15,,London,BRITISH AIRWAYS,,2024-11-09 08:14:27
16:30,,Copenhagen,EASYJET,,2024-11-09 08:14:27
16:45,,Malaga,EASYJET,,2024-11-09 08:14:27
16:55,,Casablanca,ROYAL AIR MAROC,,2024-11-09 08:14:27
17:00,,Brussels,BRUSSELS AIRLINES,,2024-11-09 08:14:27
17:00,,Munich,AIR DOLOMITI,,2024-11-09 08:14:27
17:05,,Malta,EASYJET,,2024-11-09 08:14:27
17:10,,Bastia,EASYJET,,2024-11-09 08:14:27
17:20,,Split,EASYJET,,2024-11-09 08:14:27
17:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-09 08:14:27
17:35,,Palma de Mallorca,EASYJET,,2024-11-09 08:14:27
17:45,,Berlin,SWISS,,2024-11-09 08:14:27
17:45,,Barcelona,VUELING,,2024-11-09 08:14:27
17:50,,London,BRITISH AIRWAYS,,2024-11-09 08:14:27
17:50,,London,SWISS,,2024-11-09 08:14:27
18:10,,Barcelona,EASYJET,,2024-11-09 08:14:27
18:1518:40,18:40,Paris,AIR FRANCE,,2024-11-09 08:14:27
18:20,,Istanbul,TURKISH AIRLINES,,2024-11-09 08:14:27
18:20,,Nantes,EASYJET,,2024-11-09 08:14:27
18:25,,Frankfurt,AIR DOLOMITI,,2024-11-09 08:14:27
18:35,,Madrid,IBERIA,,2024-11-09 08:14:27
18:55,,Zurich,SWISS,,2024-11-09 08:14:27
19:00,,Bordeaux,EASYJET,,2024-11-09 08:14:27
19:00,,Helsinki,FINNAIR,,2024-11-09 08:14:27
19:10,,Tunis,TUNISAIR,,2024-11-09 08:14:27
19:10,,Brussels,SWISS,,2024-11-09 08:14:27
19:15,,Porto,TAP PORTUGAL,,2024-11-09 08:14:27
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-09 08:14:27
19:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-09 08:14:27
19:55,,Vienna,AUSTRIAN,,2024-11-09 08:14:27
20:15,,Zurich,SWISS,,2024-11-09 08:14:27
20:30,,Paris,AIR FRANCE,,2024-11-09 08:14:27
20:40,,Dubai,EMIRATES,,2024-11-09 08:14:27
20:45,,Madrid,IBERIA,,2024-11-09 08:14:27
20:50,,London,SWISS,,2024-11-09 08:14:27
21:10,,Porto,EASYJET,,2024-11-09 08:14:27
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-09 08:14:27
