time,expected,origin,airline,status,scrape_time
09:1509:22,09:22,New York,SWISS,Arrived,2024-10-24 10:13:45
09:1509:09,09:09,Madrid,IBERIA,Arrived,2024-10-24 10:13:45
09:2509:07,09:07,Brussels,EASYJET,Arrived,2024-10-24 10:13:45
09:3009:17,09:17,Dublin,AER LINGUS,Arrived,2024-10-24 10:13:45
09:3509:29,09:29,London,SWISS,Arrived,2024-10-24 10:13:45
09:4010:10,10:10,Paris,AIR FRANCE,Arrived,2024-10-24 10:13:45
09:4509:49,09:49,Warsaw,LOT POLISH AIRLINES,Arrived,2024-10-24 10:13:45
09:4509:54,09:54,Porto,EASYJET,Arrived,2024-10-24 10:13:45
09:5509:47,09:47,Cagliari,EASYJET,Arrived,2024-10-24 10:13:45
10:0010:12,10:12,Tunis,TUNISAIR,,2024-10-24 10:13:45
10:0009:51,09:51,Zurich,SWISS,Arrived,2024-10-24 10:13:45
10:0510:19,10:19,Brussels,SWISS,,2024-10-24 10:13:45
10:0509:58,09:58,Frankfurt,SWISS,Arrived,2024-10-24 10:13:45
10:0509:36,09:36,Faro,EASYJET,Arrived,2024-10-24 10:13:45
10:1010:01,10:01,Berlin,EASYJET,Arrived,2024-10-24 10:13:45
10:2010:27,10:27,Rome,EASYJET,,2024-10-24 10:13:45
10:2510:04,10:04,Copenhagen,SAS SCANDINAVIAN AIRLINES,Arrived,2024-10-24 10:13:45
10:3010:23,10:23,Athens,AEGEAN AIRLINES,,2024-10-24 10:13:45
10:3010:29,10:29,Bordeaux,EASYJET,,2024-10-24 10:13:45
10:4010:35,10:35,London,BRITISH AIRWAYS,,2024-10-24 10:13:45
10:4510:33,10:33,New York,DELTA AIR LINES,,2024-10-24 10:13:45
10:4511:01,11:01,Rome,ITA AIRWAYS,,2024-10-24 10:13:45
10:5010:43,10:43,Lisbon,EASYJET,,2024-10-24 10:13:45
10:5510:36,10:36,Catania,EASYJET,,2024-10-24 10:13:45
11:0011:22,11:22,London,EASYJET,,2024-10-24 10:13:45
11:00,,Tel AvivVIA Larnaca,ARKIA,Delayed,2024-10-24 10:13:45
11:0511:08,11:08,Santiago de Compostela,EASYJET,,2024-10-24 10:13:45
11:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,Delayed,2024-10-24 10:13:45
11:10,,Paris,AIR FRANCE,,2024-10-24 10:13:45
11:1510:58,10:58,Porto,EASYJET,,2024-10-24 10:13:45
11:2011:34,11:34,Oslo,NORWEGIAN AIR SHUTTLE,,2024-10-24 10:13:45
11:2011:36,11:36,Valencia,SWISS,,2024-10-24 10:13:45
11:3511:26,11:26,London,SWISS,,2024-10-24 10:13:45
11:3511:24,11:24,Pristina,EASYJET,,2024-10-24 10:13:45
11:40,,Alicante,SWISS,,2024-10-24 10:13:45
11:50,,Madrid,IBERIA,,2024-10-24 10:13:45
11:55,,Copenhagen,EASYJET,,2024-10-24 10:13:45
12:0011:49,11:49,Casablanca,AIR ARABIA MAROC,,2024-10-24 10:13:45
12:10,,Lisbon,TAP PORTUGAL,,2024-10-24 10:13:45
12:1011:59,11:59,Pristina,SWISS,,2024-10-24 10:13:45
12:30,,Munich,AIR DOLOMITI,,2024-10-24 10:13:45
12:40,,Nice,EASYJET,,2024-10-24 10:13:45
12:45,,Zurich,SWISS,,2024-10-24 10:13:45
12:50,,Porto,EASYJET,,2024-10-24 10:13:45
13:05,,Marrakech,EASYJET,,2024-10-24 10:13:45
13:1012:42,12:42,Santorin,EASYJET,,2024-10-24 10:13:45
13:1513:18,13:18,Dubai,EMIRATES,,2024-10-24 10:13:45
13:20,,Istanbul,PEGASUS,,2024-10-24 10:13:45
13:25,,Frankfurt,AIR DOLOMITI,,2024-10-24 10:13:45
13:25,,Madrid,IBERIA,,2024-10-24 10:13:45
13:25,,Athens,EASYJET,,2024-10-24 10:13:45
13:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-24 10:13:45
13:40,,Barcelona,VUELING,,2024-10-24 10:13:45
13:45,,Istanbul,TURKISH AIRLINES,,2024-10-24 10:13:45
13:50,,Paris,AIR FRANCE,,2024-10-24 10:13:45
13:55,,Zurich,SWISS,,2024-10-24 10:13:45
14:00,,Manchester,EASYJET,,2024-10-24 10:13:45
14:00,,Edinburgh,EASYJET,,2024-10-24 10:13:45
14:05,,Frankfurt,SWISS,,2024-10-24 10:13:45
14:10,,Nantes,EASYJET,,2024-10-24 10:13:45
14:10,,London,BRITISH AIRWAYS,,2024-10-24 10:13:45
14:2014:22,14:22,Doha,QATAR AIRWAYS,,2024-10-24 10:13:45
14:30,,Barcelona,EASYJET,,2024-10-24 10:13:45
14:30,,Tunis,NOUVELAIR TUNISIE,,2024-10-24 10:13:45
14:3514:18,14:18,Jeddah,SAUDIA,,2024-10-24 10:13:45
14:40,,Budapest,EASYJET,,2024-10-24 10:13:45
14:40,,Ajaccio,EASYJET,,2024-10-24 10:13:45
14:45,,Heraklion,SWISS,,2024-10-24 10:13:45
14:50,,Marrakech,SWISS,,2024-10-24 10:13:45
14:50,,Enfidha,EASYJET,,2024-10-24 10:13:45
14:55,,Nice,EASYJET,,2024-10-24 10:13:45
15:00,,Malaga,EASYJET,,2024-10-24 10:13:45
15:10,,Alicante,EASYJET,,2024-10-24 10:13:45
15:15,,Olbia,EASYJET,,2024-10-24 10:13:45
15:35,,Porto,EASYJET,,2024-10-24 10:13:45
15:35,,Lisbon,EASYJET,,2024-10-24 10:13:45
15:45,,Ibiza,EASYJET,,2024-10-24 10:13:45
15:55,,Larnaca,SWISS,,2024-10-24 10:13:45
16:00,,Barcelona,EASYJET,,2024-10-24 10:13:45
16:10,,Paris,AIR FRANCE,,2024-10-24 10:13:45
16:15,,London,EASYJET,,2024-10-24 10:13:45
16:15,,Bristol,EASYJET,,2024-10-24 10:13:45
16:20,,Manchester,EASYJET,,2024-10-24 10:13:45
16:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-24 10:13:45
16:30,,Algiers,AIR ALGERIE,,2024-10-24 10:13:45
16:35,,Luxembourg,LUXAIR,,2024-10-24 10:13:45
16:35,,Hurghada,EASYJET,,2024-10-24 10:13:45
16:40,,Seville,EASYJET,,2024-10-24 10:13:45
16:40,,Stockholm,SWISS,,2024-10-24 10:13:45
16:45,,Munich,AIR DOLOMITI,,2024-10-24 10:13:45
16:45,,A Coruna,EASYJET,,2024-10-24 10:13:45
16:45,,London,BRITISH AIRWAYS,,2024-10-24 10:13:45
16:55,,Palma de Mallorca,EASYJET,,2024-10-24 10:13:45
16:55,,Casablanca,ROYAL AIR MAROC,,2024-10-24 10:13:45
17:05,,London,SWISS,,2024-10-24 10:13:45
17:15,,Frankfurt,LUFTHANSA,,2024-10-24 10:13:45
17:25,,Paris,AIR FRANCE,,2024-10-24 10:13:45
