time,expected,destination,airline,status,scrape_time
06:00,,Paris,EASYJET,,2024-11-01 20:25:19
06:00,,Marrakech,EASYJET,,2024-11-01 20:25:19
06:00,,Madrid,IBERIA,,2024-11-01 20:25:19
06:05,,Lisbon,TAP PORTUGAL,,2024-11-01 20:25:19
06:05,,Djerba,EASYJET,,2024-11-01 20:25:19
06:10,,Athens,EASYJET,,2024-11-01 20:25:19
06:10,,Brussels,EASYJET,,2024-11-01 20:25:19
06:10,,Zurich,SWISS,,2024-11-01 20:25:19
06:15,,Lanzarote,EASYJET,,2024-11-01 20:25:19
06:20,,Porto,EASYJET,,2024-11-01 20:25:19
06:20,,Lisbon,EASYJET,,2024-11-01 20:25:19
06:20,,Munich,AIR DOLOMITI,,2024-11-01 20:25:19
06:30,,Paris,AIR FRANCE,,2024-11-01 20:25:19
06:35,,Tenerife,EASYJET,,2024-11-01 20:25:19
06:40,,Ibiza,EASYJET,,2024-11-01 20:25:19
06:55,,Frankfurt,LUFTHANSA,,2024-11-01 20:25:19
07:00,,Brussels,SWISS,,2024-11-01 20:25:19
07:05,,Athens,SWISS,,2024-11-01 20:25:19
07:05,,Bordeaux,EASYJET,,2024-11-01 20:25:19
07:05,,London,BRITISH AIRWAYS,,2024-11-01 20:25:19
07:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 20:25:19
07:10,,Pristina,SWISS,,2024-11-01 20:25:19
07:15,,Manchester,ETHIOPIAN AIRLINES,,2024-11-01 20:25:19
07:20,,Alicante,EASYJET,,2024-11-01 20:25:19
07:25,,Bari,EASYJET,,2024-11-01 20:25:19
07:25,,London,SWISS,,2024-11-01 20:25:19
07:40,,Zurich,SWISS,,2024-11-01 20:25:19
07:40,,Sharm El-Sheikh,EASYJET,,2024-11-01 20:25:19
07:45,,Malaga,EASYJET,,2024-11-01 20:25:19
08:00,,Figari,EASYJET,,2024-11-01 20:25:19
08:05,,Hurghada,EASYJET,,2024-11-01 20:25:19
08:05,,London,BRITISH AIRWAYS,,2024-11-01 20:25:19
08:25,,Porto,SWISS,,2024-11-01 20:25:19
08:30,,Palma de Mallorca,EASYJET,,2024-11-01 20:25:19
08:35,,Brussels,BRUSSELS AIRLINES,,2024-11-01 20:25:19
08:35,,Barcelona,EASYJET,,2024-11-01 20:25:19
08:35,,Nice,SWISS,,2024-11-01 20:25:19
08:40,,Naples,EASYJET,,2024-11-01 20:25:19
08:45,,Frankfurt,LUFTHANSA,,2024-11-01 20:25:19
08:45,,Nice,EASYJET,,2024-11-01 20:25:19
08:50,,Berlin,EASYJET,,2024-11-01 20:25:19
08:55,,Barcelona,VUELING,,2024-11-01 20:25:19
08:55,,Madrid,IBERIA,,2024-11-01 20:25:19
09:05,,Paris,AIR FRANCE,,2024-11-01 20:25:19
09:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 20:25:19
09:15,,New York,UNITED AIRLINES,,2024-11-01 20:25:19
09:20,,Munich,AIR DOLOMITI,,2024-11-01 20:25:19
09:25,,Amsterdam,EASYJET,,2024-11-01 20:25:19
09:25,,Bristol,EASYJET,,2024-11-01 20:25:19
09:35,,Vienna,AUSTRIAN,,2024-11-01 20:25:19
09:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-01 20:25:19
09:55,,Porto,EASYJET,,2024-11-01 20:25:19
10:10,,Zurich,SWISS,,2024-11-01 20:25:19
10:10,,Ajaccio,EASYJET,,2024-11-01 20:25:19
10:20,,Warsaw,LOT POLISH AIRLINES,,2024-11-01 20:25:19
10:20,,Washington,UNITED AIRLINES,,2024-11-01 20:25:19
10:25,,Nice,EASYJET,,2024-11-01 20:25:19
10:25,,Faro,EASYJET,,2024-11-01 20:25:19
10:25,,London,EASYJET,,2024-11-01 20:25:19
10:30,,Athens,SWISS,,2024-11-01 20:25:19
10:35,,London,EASYJET,,2024-11-01 20:25:19
