time,expected,destination,airline,status,scrape_time
09:25,,Amsterdam,EASYJET,Took off,2024-10-25 10:21:29
09:25,,Doha,QATAR AIRWAYS,Took off,2024-10-25 10:21:29
09:3010:25,10:25,Munich,AIR DOLOMITI,Departed,2024-10-25 10:21:29
09:3509:35,09:35,Vienna,AUSTRIAN,Took off,2024-10-25 10:21:29
09:3509:28,09:28,Barcelona,VUELING,Took off,2024-10-25 10:21:29
09:40,,Alicante,EASYJET,Took off,2024-10-25 10:21:29
09:40,,Nice,EASYJET,Took off,2024-10-25 10:21:29
09:5009:40,09:40,Ibiza,EASYJET,Departed,2024-10-25 10:21:29
09:50,,Madrid,IBERIA,Took off,2024-10-25 10:21:29
09:50,,London,EASYJET,Departed,2024-10-25 10:21:29
09:55,,Barcelona,EASYJET,Departed,2024-10-25 10:21:29
10:0010:00,10:00,Zurich,SWISS,Departed,2024-10-25 10:21:29
10:0510:25,10:25,Porto,EASYJET,Departed,2024-10-25 10:21:29
10:1010:15,10:15,Budapest,EASYJET,Departed,2024-10-25 10:21:29
10:15,,London,BRITISH AIRWAYS,Departed,2024-10-25 10:21:29
10:20,,Faro,EASYJET,Departed,2024-10-25 10:21:29
10:25,,Istanbul,TURKISH AIRLINES,Departed,2024-10-25 10:21:29
10:25,,Warsaw,LOT POLISH AIRLINES,Go to gate,2024-10-25 10:21:29
10:30,,Paris,AIR FRANCE,Boarding,2024-10-25 10:21:29
10:3510:35,10:35,Stockholm,SWISS,Departed,2024-10-25 10:21:29
10:40,,Abu Dhabi,ETIHAD AIRWAYS,Boarding,2024-10-25 10:21:29
10:45,,Frankfurt,SWISS,Boarding,2024-10-25 10:21:29
10:45,,Bordeaux,EASYJET,Boarding,2024-10-25 10:21:29
10:50,,Zurich,SWISS,Go to gate,2024-10-25 10:21:29
10:50,,Helsinki,FINNAIR,Boarding,2024-10-25 10:21:29
10:50,,London,EASYJET,Boarding,2024-10-25 10:21:29
10:55,,Birmingham,EASYJET,Go to gate,2024-10-25 10:21:29
11:00,,Washington,UNITED AIRLINES,Boarding,2024-10-25 10:21:29
11:00,,Belgrade,EASYJET,Go to gate,2024-10-25 10:21:29
11:00,,Edinburgh,EASYJET,Go to gate,2024-10-25 10:21:29
11:00,,Copenhagen,SAS SCANDINAVIAN AIRLINES,Go to gate,2024-10-25 10:21:29
11:05,,Lisbon,EASYJET,Go to gate,2024-10-25 10:21:29
11:15,,Zurich,SWISS,,2024-10-25 10:21:29
11:15,,Malaga,SWISS,,2024-10-25 10:21:29
11:35,,Rome,ITA AIRWAYS,,2024-10-25 10:21:29
11:3512:00,12:00,Lille,EASYJET,,2024-10-25 10:21:29
11:45,,Brindisi,EASYJET,,2024-10-25 10:21:29
11:45,,New York,SWISS,,2024-10-25 10:21:29
11:45,,Beirut,MEA MIDDLE EAST AIRLINES,,2024-10-25 10:21:29
11:50,,Athens,AEGEAN AIRLINES,,2024-10-25 10:21:29
11:55,,London,BRITISH AIRWAYS,,2024-10-25 10:21:29
12:00,,Paris,AIR FRANCE,,2024-10-25 10:21:29
12:10,,Lisbon,SWISS,,2024-10-25 10:21:29
12:10,,Stockholm,EASYJET,,2024-10-25 10:21:29
12:15,,Copenhagen,SWISS,,2024-10-25 10:21:29
12:15,,Montreal,AIR CANADA,,2024-10-25 10:21:29
12:20,,Nice,EASYJET,,2024-10-25 10:21:29
12:25,,Santiago de Compostela,EASYJET,,2024-10-25 10:21:29
12:25,,Porto,SWISS,,2024-10-25 10:21:29
12:30,,Prague,EASYJET,,2024-10-25 10:21:29
12:35,,Madrid,IBERIA,,2024-10-25 10:21:29
12:45,,Alicante,EASYJET,,2024-10-25 10:21:29
12:45,,New York,DELTA AIR LINES,,2024-10-25 10:21:29
12:50,,Copenhagen,EASYJET,,2024-10-25 10:21:29
12:55,,London,SWISS,,2024-10-25 10:21:29
13:00,,Lisbon,TAP PORTUGAL,,2024-10-25 10:21:29
13:15,,London,BRITISH AIRWAYS,,2024-10-25 10:21:29
13:20,,Beijing,AIR CHINA,,2024-10-25 10:21:29
13:20,,Palma de Mallorca,SWISS,,2024-10-25 10:21:29
13:30,,Brindisi,EASYJET,,2024-10-25 10:21:29
13:30,,Warsaw,LOT POLISH AIRLINES,,2024-10-25 10:21:29
13:35,,Pristina,EASYJET,,2024-10-25 10:21:29
13:45,,Hamburg,SWISS,,2024-10-25 10:21:29
13:55,,Pristina,GP AVIATION,,2024-10-25 10:21:29
14:00,,Ibiza,EASYJET,,2024-10-25 10:21:29
