time,expected,origin,airline,status,scrape_time
17:35,,Ankara,AJET,Cancelled,2024-10-26 22:30:23
21:3521:26,21:26,Palma de Mallorca,SWISS,Arrived,2024-10-26 22:30:23
21:3522:02,22:02,Tenerife,EASYJET,Arrived,2024-10-26 22:30:23
21:4021:29,21:29,Mykonos,EASYJET,Arrived,2024-10-26 22:30:23
21:5021:48,21:48,Zurich,SWISS,Arrived,2024-10-26 22:30:23
21:5521:56,21:56,Paris,AIR FRANCE,Arrived,2024-10-26 22:30:23
22:0021:54,21:54,Vienna,SWISS,Arrived,2024-10-26 22:30:23
22:0022:19,22:19,London,SWISS,Arrived,2024-10-26 22:30:23
22:1021:41,21:41,Oslo,SWISS,Arrived,2024-10-26 22:30:23
22:1023:50,23:50,Enfidha,EASYJET,,2024-10-26 22:30:23
22:1022:06,22:06,Frankfurt,SWISS,Arrived,2024-10-26 22:30:23
22:1522:22,22:22,Amsterdam,KLM ROYAL DUTCH AIRLINES,Arrived,2024-10-26 22:30:23
22:2022:42,22:42,Madrid,IBERIA,,2024-10-26 22:30:23
22:3522:32,22:32,Bordeaux,EASYJET,,2024-10-26 22:30:23
22:3522:47,22:47,Porto,EASYJET,,2024-10-26 22:30:23
22:4022:54,22:54,Palermo,EASYJET,,2024-10-26 22:30:23
22:4023:46,23:46,Brindisi,EASYJET,,2024-10-26 22:30:23
22:4522:37,22:37,Heraklion,EASYJET,,2024-10-26 22:30:23
22:4523:10,23:10,Antalya,SWISS,,2024-10-26 22:30:23
22:5022:40,22:40,Malta,EASYJET,,2024-10-26 22:30:23
22:50,,Nantes,EASYJET,Delayed,2024-10-26 22:30:23
22:50,,Nice,EASYJET,Delayed,2024-10-26 22:30:23
22:5023:30,23:30,Agadir,EASYJET,,2024-10-26 22:30:23
22:5523:22,23:22,Funchal,EASYJET,,2024-10-26 22:30:23
22:5523:22,23:22,Hurghada,EASYJET,,2024-10-26 22:30:23
23:0022:49,22:49,Lisbon,EASYJET,,2024-10-26 22:30:23
23:0022:24,22:24,Santorin,EASYJET,Arrived,2024-10-26 22:30:23
23:1023:11,23:11,Munich,AIR DOLOMITI,,2024-10-26 22:30:23
23:1023:20,23:20,London,BRITISH AIRWAYS,,2024-10-26 22:30:23
23:1523:46,23:46,Lisbon,TAP PORTUGAL,,2024-10-26 22:30:23
23:3023:18,23:18,Athens,SWISS,,2024-10-26 22:30:23
23:35,,Zurich,SWISS,,2024-10-26 22:30:23
