time,expected,origin,airline,status,scrape_time
12:5513:05,13:05,Pristina,GP AVIATION,Arrived,2024-11-10 13:53:06
13:0513:03,13:03,Marrakech,EASYJET,Arrived,2024-11-10 13:53:06
13:0513:32,13:32,Frankfurt,LUFTHANSA,Arrived,2024-11-10 13:53:06
13:1013:00,13:00,Porto,EASYJET,Arrived,2024-11-10 13:53:06
13:2013:16,13:16,Istanbul,PEGASUS,Arrived,2024-11-10 13:53:06
13:2513:14,13:14,Madrid,IBERIA,Arrived,2024-11-10 13:53:06
13:3013:08,13:08,Dublin,AER LINGUS,Arrived,2024-11-10 13:53:06
13:3013:21,13:21,Nice,EASYJET,Arrived,2024-11-10 13:53:06
13:3513:45,13:45,Jeddah,SAUDIA,Arrived,2024-11-10 13:53:06
13:4513:12,13:12,Doha,QATAR AIRWAYS,Arrived,2024-11-10 13:53:06
13:4513:24,13:24,Pristina,EASYJET,Arrived,2024-11-10 13:53:06
13:4514:00,14:00,Zurich,SWISS,,2024-11-10 13:53:06
13:5013:53,13:53,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-10 13:53:06
13:5013:10,13:10,Istanbul,TURKISH AIRLINES,Arrived,2024-11-10 13:53:06
13:5013:34,13:34,London,EASYJET,Arrived,2024-11-10 13:53:06
13:5513:36,13:36,A Coruna,EASYJET,Arrived,2024-11-10 13:53:06
14:0013:39,13:39,Athens,EASYJET,Arrived,2024-11-10 13:53:06
14:1014:03,14:03,Paris,AIR FRANCE,,2024-11-10 13:53:06
14:2014:08,14:08,Malaga,SWISS,,2024-11-10 13:53:06
14:2014:16,14:16,Cairo,EGYPTAIR,,2024-11-10 13:53:06
14:2014:09,14:09,Brussels,EASYJET,,2024-11-10 13:53:06
14:4514:30,14:30,London,EASYJET,,2024-11-10 13:53:06
14:4515:37,15:37,Lisbon,EASYJET,,2024-11-10 13:53:06
15:2515:19,15:19,Marrakech,SWISS,,2024-11-10 13:53:06
15:3015:23,15:23,Porto,TAP PORTUGAL,,2024-11-10 13:53:06
15:30,,Berlin,EASYJET,,2024-11-10 13:53:06
15:35,,Paris,EASYJET,,2024-11-10 13:53:06
15:40,,London,BRITISH AIRWAYS,,2024-11-10 13:53:06
15:40,,Amsterdam,EASYJET,,2024-11-10 13:53:06
15:50,,Bristol,EASYJET,,2024-11-10 13:53:06
15:55,,Barcelona,EASYJET,,2024-11-10 13:53:06
