time,expected,destination,airline,status,scrape_time
06:00,,Ajaccio,EASYJET,,2024-11-02 21:36:12
06:00,,Marrakech,EASYJET,,2024-11-02 21:36:12
06:00,,Zurich,SWISS,,2024-11-02 21:36:12
06:00,,Valencia,SWISS,,2024-11-02 21:36:12
06:00,,Madrid,IBERIA,,2024-11-02 21:36:12
06:05,,Lisbon,TAP PORTUGAL,,2024-11-02 21:36:12
06:25,,London,BRITISH AIRWAYS,,2024-11-02 21:36:12
06:30,,Paris,AIR FRANCE,,2024-11-02 21:36:12
06:30,,Barcelona,EASYJET,,2024-11-02 21:36:12
06:35,,Malaga,EASYJET,,2024-11-02 21:36:12
06:35,,Hurghada,SWISS,,2024-11-02 21:36:12
06:40,,Santiago de Compostela,EASYJET,,2024-11-02 21:36:12
06:45,,Rome,EASYJET,,2024-11-02 21:36:12
06:55,,Frankfurt,LUFTHANSA,,2024-11-02 21:36:12
07:00,,Malaga,SWISS,,2024-11-02 21:36:12
07:00,,Brussels,SWISS,,2024-11-02 21:36:12
07:00,,Belgrade,EASYJET,,2024-11-02 21:36:12
07:00,,London,EASYJET,,2024-11-02 21:36:12
07:00,,Nantes,EASYJET,,2024-11-02 21:36:12
07:10,,Enfidha,EASYJET,,2024-11-02 21:36:12
07:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-02 21:36:12
07:15,,Manchester,ETHIOPIAN AIRLINES,,2024-11-02 21:36:12
07:15,,Copenhagen,EASYJET,,2024-11-02 21:36:12
07:25,,London,SWISS,,2024-11-02 21:36:12
07:30,,Porto,EASYJET,,2024-11-02 21:36:12
07:40,,Zurich,SWISS,,2024-11-02 21:36:12
08:00,,Porto,EASYJET,,2024-11-02 21:36:12
08:05,,Brindisi,EASYJET,,2024-11-02 21:36:12
08:05,,Marrakech,SWISS,,2024-11-02 21:36:12
08:20,,Pristina,EASYJET,,2024-11-02 21:36:12
08:25,,Palma de Mallorca,EASYJET,,2024-11-02 21:36:12
08:35,,Brussels,BRUSSELS AIRLINES,,2024-11-02 21:36:12
08:35,,Munich,AIR DOLOMITI,,2024-11-02 21:36:12
08:45,,Frankfurt,LUFTHANSA,,2024-11-02 21:36:12
08:50,,A Coruna,EASYJET,,2024-11-02 21:36:12
08:55,,Venice,EASYJET,,2024-11-02 21:36:12
09:00,,London,BRITISH AIRWAYS,,2024-11-02 21:36:12
09:05,,Paris,AIR FRANCE,,2024-11-02 21:36:12
09:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-02 21:36:12
09:15,,New York,UNITED AIRLINES,,2024-11-02 21:36:12
09:20,,Malaga,EASYJET,,2024-11-02 21:36:12
09:20,,Antalya,SUN EXPRESS,,2024-11-02 21:36:12
09:25,,Bordeaux,EASYJET,,2024-11-02 21:36:12
09:35,,Casablanca,AIR ARABIA MAROC,,2024-11-02 21:36:12
09:35,,Vienna,AUSTRIAN,,2024-11-02 21:36:12
09:40,,Barcelona,VUELING,,2024-11-02 21:36:12
09:50,,Amsterdam,EASYJET,,2024-11-02 21:36:12
09:50,,Marrakech,EASYJET,,2024-11-02 21:36:12
09:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-02 21:36:12
10:05,,Zurich,SWISS,,2024-11-02 21:36:12
10:15,,Porto,EASYJET,,2024-11-02 21:36:12
10:20,,Amsterdam,EASYJET,,2024-11-02 21:36:12
10:20,,Warsaw,LOT POLISH AIRLINES,,2024-11-02 21:36:12
10:30,,Athens,SWISS,,2024-11-02 21:36:12
10:30,,Paris,AIR FRANCE,,2024-11-02 21:36:12
10:35,,Zurich,SWISS,,2024-11-02 21:36:12
10:45,,Faro,EASYJET,,2024-11-02 21:36:12
10:45,,Manchester,EASYJET,,2024-11-02 21:36:12
10:45,,Edinburgh,EASYJET,,2024-11-02 21:36:12
10:50,,Helsinki,FINNAIR,,2024-11-02 21:36:12
10:50,,Nice,EASYJET,,2024-11-02 21:36:12
10:50,,Frankfurt,AIR DOLOMITI,,2024-11-02 21:36:12
10:55,,London,EASYJET,,2024-11-02 21:36:12
11:00,,Istanbul,TURKISH AIRLINES,,2024-11-02 21:36:12
11:05,,Lisbon,SWISS,,2024-11-02 21:36:12
11:10,,Brussels,EASYJET,,2024-11-02 21:36:12
11:10,,Zurich,SWISS,,2024-11-02 21:36:12
11:20,,Washington,UNITED AIRLINES,,2024-11-02 21:36:12
