time,expected,origin,airline,status,scrape_time
11:00,,London,EASYJET,Cancelled,2024-10-27 15:36:00
14:4514:58,14:58,London,EASYJET,Arrived,2024-10-27 15:36:00
14:4515:22,15:22,Lisbon,EASYJET,Arrived,2024-10-27 15:36:00
15:1515:30,15:30,Palma de Mallorca,EASYJET,Arrived,2024-10-27 15:36:00
15:2515:16,15:16,Marrakech,SWISS,Arrived,2024-10-27 15:36:00
15:3015:57,15:57,Porto,TAP PORTUGAL,,2024-10-27 15:36:00
15:3015:27,15:27,Berlin,EASYJET,Arrived,2024-10-27 15:36:00
15:3515:56,15:56,Paris,EASYJET,,2024-10-27 15:36:00
15:4015:34,15:34,London,BRITISH AIRWAYS,,2024-10-27 15:36:00
15:4015:34,15:34,Amsterdam,EASYJET,,2024-10-27 15:36:00
15:5515:48,15:48,Porto,EASYJET,,2024-10-27 15:36:00
15:5515:55,15:55,Casablanca,ROYAL AIR MAROC,,2024-10-27 15:36:00
15:55,,Barcelona,EASYJET,Delayed,2024-10-27 15:36:00
15:5515:44,15:44,Naples,EASYJET,,2024-10-27 15:36:00
16:00,,Tunis,TUNISAIR,Delayed,2024-10-27 15:36:00
16:0015:32,15:32,Athens,AEGEAN AIRLINES,Arrived,2024-10-27 15:36:00
16:0016:00,16:00,Bristol,EASYJET,,2024-10-27 15:36:00
16:05,,Frankfurt,LUFTHANSA,Delayed,2024-10-27 15:36:00
16:10,,Brussels,BRUSSELS AIRLINES,Delayed,2024-10-27 15:36:00
16:15,,Paris,AIR FRANCE,,2024-10-27 15:36:00
16:2016:12,16:12,Luxembourg,LUXAIR,,2024-10-27 15:36:00
16:30,,Munich,AIR DOLOMITI,,2024-10-27 15:36:00
16:40,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-27 15:36:00
16:5018:21,18:21,Marrakech,EASYJET,,2024-10-27 15:36:00
16:5517:13,17:13,Athens,SWISS,,2024-10-27 15:36:00
16:55,,Vienna,AUSTRIAN,,2024-10-27 15:36:00
17:0017:54,17:54,Hurghada,SWISS,,2024-10-27 15:36:00
17:05,,London,SWISS,,2024-10-27 15:36:00
17:0517:45,17:45,Lisbon,SWISS,,2024-10-27 15:36:00
17:1016:49,16:49,Istanbul,TURKISH AIRLINES,,2024-10-27 15:36:00
17:15,,Lille,EASYJET,Delayed,2024-10-27 15:36:00
17:25,,Paris,AIR FRANCE,Delayed,2024-10-27 15:36:00
17:25,,Naples,EASYJET,,2024-10-27 15:36:00
17:30,,Barcelona,VUELING,,2024-10-27 15:36:00
17:30,,Lisbon,TAP PORTUGAL,Delayed,2024-10-27 15:36:00
17:35,,Zurich,SWISS,,2024-10-27 15:36:00
17:45,,Frankfurt,AIR DOLOMITI,,2024-10-27 15:36:00
17:45,,Cagliari,EASYJET,Delayed,2024-10-27 15:36:00
17:45,,Nice,EASYJET,Delayed,2024-10-27 15:36:00
17:50,,Madrid,IBERIA,,2024-10-27 15:36:00
17:50,,London,BRITISH AIRWAYS,,2024-10-27 15:36:00
18:00,,Rome,ITA AIRWAYS,,2024-10-27 15:36:00
18:00,,Bari,EASYJET,,2024-10-27 15:36:00
18:05,,Seville,EASYJET,Delayed,2024-10-27 15:36:00
18:05,,Split,EASYJET,Delayed,2024-10-27 15:36:00
18:10,,Hamburg,SWISS,,2024-10-27 15:36:00
18:10,,Manchester,EASYJET,Delayed,2024-10-27 15:36:00
18:1518:29,18:29,Helsinki,FINNAIR,,2024-10-27 15:36:00
18:20,,Catania,EASYJET,,2024-10-27 15:36:00
18:25,,Lisbon,EASYJET,,2024-10-27 15:36:00
18:30,,Budapest,EASYJET,Cancelled,2024-10-27 15:36:00
18:40,,Porto,EASYJET,,2024-10-27 15:36:00
